,Date,Cases
0,2020-03-25,2
1,2020-03-26,2
2,2020-03-27,2
3,2020-03-28,2
4,2020-03-29,2
5,2020-03-30,8
6,2020-03-31,8
7,2020-04-01,9
8,2020-04-02,9
9,2020-04-03,15
10,2020-04-04,18
11,2020-04-05,18
12,2020-04-06,18
13,2020-04-07,33
14,2020-04-08,33
15,2020-04-09,36
16,2020-04-10,36
17,2020-04-11,38
18,2020-04-12,38
19,2020-04-13,38
20,2020-04-14,38
21,2020-04-15,43
22,2020-04-16,43
23,2020-04-17,43
24,2020-04-18,46
25,2020-04-19,50
26,2020-04-20,50
27,2020-04-21,50
28,2020-04-22,50
29,2020-04-23,50
30,2020-04-24,52
31,2020-04-25,52
32,2020-04-26,53
33,2020-04-27,73
34,2020-04-28,73
35,2020-04-29,205
36,2020-04-30,205
37,2020-05-01,257
38,2020-05-02,257
39,2020-05-03,257
40,2020-05-04,413
41,2020-05-05,413
42,2020-05-06,475
43,2020-05-07,564
44,2020-05-08,594
45,2020-05-09,641
46,2020-05-10,726
47,2020-05-11,761
48,2020-05-12,820
49,2020-05-13,836
50,2020-05-14,913
51,2020-05-15,913
52,2020-05-16,969
53,2020-05-17,990
54,2020-05-18,1032
55,2020-05-19,1038
56,2020-05-20,1089
57,2020-05-21,1109
58,2020-05-22,1114
59,2020-05-23,1114
60,2020-05-24,1114
61,2020-05-25,1178
62,2020-05-26,1178
63,2020-05-27,1195
64,2020-05-28,1195
65,2020-05-29,1256
66,2020-05-30,1256
67,2020-05-31,1256
68,2020-06-01,1339
69,2020-06-02,1339
70,2020-06-03,1339
71,2020-06-04,1339
72,2020-06-05,1368
73,2020-06-06,1368
74,2020-06-07,1368
75,2020-06-08,1389
76,2020-06-09,1389
77,2020-06-10,1389
78,2020-06-11,1389
79,2020-06-12,1460
80,2020-06-13,1460
81,2020-06-14,1460
82,2020-06-15,1492
83,2020-06-16,1492
84,2020-06-17,1492
85,2020-06-18,1492
86,2020-06-19,1541
87,2020-06-20,1541
88,2020-06-21,1541
89,2020-06-22,1556
90,2020-06-23,1556
91,2020-06-24,1556
92,2020-06-25,1556
93,2020-06-26,1614
94,2020-06-27,1614
95,2020-06-28,1614
96,2020-06-29,1654
97,2020-06-30,1654
98,2020-07-01,1654
99,2020-07-02,1654
100,2020-07-03,1765
101,2020-07-04,1765
102,2020-07-05,1765
103,2020-07-06,1790
104,2020-07-07,1790
105,2020-07-08,1790
106,2020-07-09,1790
107,2020-07-10,1842
108,2020-07-11,1842
109,2020-07-12,1842
110,2020-07-13,1842
111,2020-07-14,1842
112,2020-07-15,1842
113,2020-07-16,1902
114,2020-07-17,1927
115,2020-07-18,1949
116,2020-07-19,1949
117,2020-07-20,1949
118,2020-07-21,1954
119,2020-07-22,1954
120,2020-07-23,1954
121,2020-07-24,1954
122,2020-07-25,1954
123,2020-07-26,1954
124,2020-07-27,1954
125,2020-07-28,1954
126,2020-07-29,1954
127,2020-07-30,1981
128,2020-07-31,1981
129,2020-08-01,1981
130,2020-08-02,1981
131,2020-08-03,1981
132,2020-08-04,1981
133,2020-08-05,2032
134,2020-08-06,2032
135,2020-08-07,2032
136,2020-08-08,2052
137,2020-08-09,2052
138,2020-08-10,2052
139,2020-08-11,2088
140,2020-08-12,2088
141,2020-08-13,2088
142,2020-08-14,2088
143,2020-08-15,2117
144,2020-08-16,2117
145,2020-08-17,2117
146,2020-08-18,2117
147,2020-08-19,2117
148,2020-08-20,2149
149,2020-08-21,2149
150,2020-08-22,2149
151,2020-08-23,2149
152,2020-08-24,2149
153,2020-08-25,2149
154,2020-08-26,2205
155,2020-08-27,2205
156,2020-08-28,2205
157,2020-08-29,2205
158,2020-08-30,2205
159,2020-08-31,2205
160,2020-09-01,2205
161,2020-09-02,2205
162,2020-09-03,2205
163,2020-09-04,2245
164,2020-09-05,2245
165,2020-09-06,2245
166,2020-09-07,2245
167,2020-09-08,2245
168,2020-09-09,2245
169,2020-09-10,2275
170,2020-09-11,2275
171,2020-09-12,2275
172,2020-09-13,2275
173,2020-09-14,2275
174,2020-09-15,2275
175,2020-09-16,2275
176,2020-09-17,2275
177,2020-09-18,2303
178,2020-09-19,2303
179,2020-09-20,2303
180,2020-09-21,2303
181,2020-09-22,2324
182,2020-09-23,2324
183,2020-09-24,2324
184,2020-09-25,2324
185,2020-09-26,2324
186,2020-09-27,2324
187,2020-09-28,2324
188,2020-09-29,2324
189,2020-09-30,2324
190,2020-10-01,2324
191,2020-10-02,2362
192,2020-10-03,2362
193,2020-10-04,2362
194,2020-10-05,2385
195,2020-10-06,2385
196,2020-10-07,2385
197,2020-10-08,2385
198,2020-10-09,2385
199,2020-10-10,2385
200,2020-10-11,2385
201,2020-10-12,2389
202,2020-10-13,2389
203,2020-10-14,2389
204,2020-10-15,2389
205,2020-10-16,2389
206,2020-10-17,2389
207,2020-10-18,2389
208,2020-10-19,2403
209,2020-10-20,2403
210,2020-10-21,2403
211,2020-10-22,2403
212,2020-10-23,2403
213,2020-10-24,2403
214,2020-10-25,2403
215,2020-10-26,2403
216,2020-10-27,2403
217,2020-10-28,2403
218,2020-10-29,2403
219,2020-10-30,2403
220,2020-10-31,2413
221,2020-11-01,2413
222,2020-11-02,2413
223,2020-11-03,2413
224,2020-11-04,2414
225,2020-11-05,2414
226,2020-11-06,2414
227,2020-11-07,2414
228,2020-11-08,2414
229,2020-11-09,2419
230,2020-11-10,2419
231,2020-11-11,2419
232,2020-11-12,2419
233,2020-11-13,2419
234,2020-11-14,2419
235,2020-11-15,2419
236,2020-11-16,2419
237,2020-11-17,2419
238,2020-11-18,2421
239,2020-11-19,2421
240,2020-11-20,2421
241,2020-11-21,2421
242,2020-11-22,2421
243,2020-11-23,2422
244,2020-11-24,2422
245,2020-11-25,2422
246,2020-11-26,2422
247,2020-11-27,2422
248,2020-11-28,2422
249,2020-11-29,2422
250,2020-11-30,2441
251,2020-12-01,2441
252,2020-12-02,2441
253,2020-12-03,2441
254,2020-12-04,2441
255,2020-12-05,2441
256,2020-12-06,2441
257,2020-12-07,2444
258,2020-12-08,2444
259,2020-12-09,2444
260,2020-12-10,2444
261,2020-12-11,2444
262,2020-12-12,2444
263,2020-12-13,2444
264,2020-12-14,2444
265,2020-12-15,2447
266,2020-12-16,2447
267,2020-12-17,2447
268,2020-12-18,2447
269,2020-12-19,2447
270,2020-12-20,2447
271,2020-12-21,2447
272,2020-12-22,2447
273,2020-12-23,2447
274,2020-12-24,2447
275,2020-12-25,2447
276,2020-12-26,2447
277,2020-12-27,2447
278,2020-12-28,2447
279,2020-12-29,2452
280,2020-12-30,2452
281,2020-12-31,2452
282,2021-01-01,2452
283,2021-01-02,2452
284,2021-01-03,2455
285,2021-01-04,2455
286,2021-01-05,2455
287,2021-01-06,2455
288,2021-01-07,2455
289,2021-01-08,2455
290,2021-01-09,2455
291,2021-01-10,2478
292,2021-01-11,2478
293,2021-01-12,2478
294,2021-01-13,2478
295,2021-01-14,2478
296,2021-01-15,2478
297,2021-01-16,2478
298,2021-01-17,2509
299,2021-01-18,2509
300,2021-01-19,2510
301,2021-01-20,2510
302,2021-01-21,2510
303,2021-01-22,2510
304,2021-01-23,2510
305,2021-01-24,2532
306,2021-01-25,2532
307,2021-01-26,2532
308,2021-01-27,2532
309,2021-01-28,2532
