,Date,Cases
0,2020-03-13,1
1,2020-03-14,1
2,2020-03-15,1
3,2020-03-16,1
4,2020-03-17,1
5,2020-03-18,1
6,2020-03-19,1
7,2020-03-20,1
8,2020-03-21,2
9,2020-03-22,2
10,2020-03-23,4
11,2020-03-24,4
12,2020-03-25,4
13,2020-03-26,4
14,2020-03-27,8
15,2020-03-28,8
16,2020-03-29,16
17,2020-03-30,22
18,2020-03-31,22
19,2020-04-01,30
20,2020-04-02,52
21,2020-04-03,73
22,2020-04-04,111
23,2020-04-05,121
24,2020-04-06,128
25,2020-04-07,144
26,2020-04-08,164
27,2020-04-09,194
28,2020-04-10,212
29,2020-04-11,250
30,2020-04-12,250
31,2020-04-13,319
32,2020-04-14,363
33,2020-04-15,404
34,2020-04-16,438
35,2020-04-17,477
36,2020-04-18,518
37,2020-04-19,579
38,2020-04-20,622
39,2020-04-21,688
40,2020-04-22,761
41,2020-04-23,862
42,2020-04-24,954
43,2020-04-25,996
44,2020-04-26,996
45,2020-04-27,1163
46,2020-04-28,1240
47,2020-04-29,1351
48,2020-04-30,1495
49,2020-05-01,1537
50,2020-05-02,1586
51,2020-05-03,1586
52,2020-05-04,1710
53,2020-05-05,1811
54,2020-05-06,1856
55,2020-05-07,1927
56,2020-05-08,2009
57,2020-05-09,2042
58,2020-05-10,2146
59,2020-05-11,2146
60,2020-05-12,2298
61,2020-05-13,2374
62,2020-05-14,2473
63,2020-05-15,2473
64,2020-05-16,2658
65,2020-05-17,2658
66,2020-05-18,2796
67,2020-05-19,2863
68,2020-05-20,2863
69,2020-05-21,3067
70,2020-05-22,3067
71,2020-05-23,3176
72,2020-05-24,3275
73,2020-05-25,3275
74,2020-05-26,3275
75,2020-05-27,3275
76,2020-05-28,3553
77,2020-05-29,3656
78,2020-05-30,3706
79,2020-05-31,3706
80,2020-06-01,3844
81,2020-06-02,3886
82,2020-06-03,3933
83,2020-06-04,3991
84,2020-06-05,4060
85,2020-06-06,4117
86,2020-06-07,4117
87,2020-06-08,4216
88,2020-06-09,4258
89,2020-06-10,4258
90,2020-06-11,4372
91,2020-06-12,4426
92,2020-06-13,4484
93,2020-06-14,4532
94,2020-06-15,4572
95,2020-06-16,4639
96,2020-06-17,4668
97,2020-06-18,4841
98,2020-06-19,4904
99,2020-06-20,4960
100,2020-06-21,4988
101,2020-06-22,4988
102,2020-06-23,5040
103,2020-06-24,5174
104,2020-06-25,5174
105,2020-06-26,5260
106,2020-06-27,5291
107,2020-06-28,5342
108,2020-06-29,5351
109,2020-06-30,5391
110,2020-07-01,5404
111,2020-07-02,5450
112,2020-07-03,5521
113,2020-07-04,5570
114,2020-07-05,5610
115,2020-07-06,5610
116,2020-07-07,5636
117,2020-07-08,5697
118,2020-07-09,5881
119,2020-07-10,5969
