,Date,Cases
0,2020-03-12,1
1,2020-03-13,1
2,2020-03-14,1
3,2020-03-15,4
4,2020-03-16,4
5,2020-03-17,7
6,2020-03-18,7
7,2020-03-19,7
8,2020-03-20,7
9,2020-03-21,7
10,2020-03-22,19
11,2020-03-23,20
12,2020-03-24,5
13,2020-03-25,5
14,2020-03-26,5
15,2020-03-27,5
16,2020-03-28,8
17,2020-03-29,8
18,2020-03-30,8
19,2020-03-31,12
20,2020-04-01,19
21,2020-04-02,19
22,2020-04-03,23
23,2020-04-04,23
24,2020-04-05,24
25,2020-04-06,31
26,2020-04-07,33
27,2020-04-08,37
28,2020-04-09,37
29,2020-04-10,37
30,2020-04-11,45
31,2020-04-12,45
32,2020-04-13,45
33,2020-04-14,47
34,2020-04-15,55
35,2020-04-16,55
36,2020-04-17,63
37,2020-04-18,63
38,2020-04-19,65
39,2020-04-20,65
40,2020-04-21,66
41,2020-04-22,67
42,2020-04-23,70
43,2020-04-24,73
44,2020-04-25,73
45,2020-04-26,74
46,2020-04-27,74
47,2020-04-28,74
48,2020-04-29,78
49,2020-04-30,82
50,2020-05-01,82
51,2020-05-02,82
52,2020-05-03,82
53,2020-05-04,92
54,2020-05-05,93
55,2020-05-06,93
56,2020-05-07,93
57,2020-05-08,94
58,2020-05-09,94
59,2020-05-10,104
60,2020-05-11,109
61,2020-05-12,113
62,2020-05-13,113
63,2020-05-14,113
64,2020-05-15,116
65,2020-05-16,117
66,2020-05-17,117
67,2020-05-18,124
68,2020-05-19,125
69,2020-05-20,125
70,2020-05-21,127
71,2020-05-22,127
72,2020-05-23,127
73,2020-05-24,135
74,2020-05-25,137
75,2020-05-26,139
76,2020-05-27,139
77,2020-05-28,150
78,2020-05-29,150
79,2020-05-30,152
80,2020-05-31,153
81,2020-06-01,153
82,2020-06-02,153
83,2020-06-03,153
84,2020-06-04,153
85,2020-06-05,153
86,2020-06-06,154
87,2020-06-07,154
88,2020-06-08,154
89,2020-06-09,156
90,2020-06-10,156
91,2020-06-11,158
92,2020-06-12,159
93,2020-06-13,159
94,2020-06-14,159
95,2020-06-15,159
96,2020-06-16,171
97,2020-06-17,171
98,2020-06-18,183
99,2020-06-19,183
100,2020-06-20,183
101,2020-06-21,184
102,2020-06-22,205
103,2020-06-23,206
104,2020-06-24,209
105,2020-06-25,215
106,2020-06-26,215
107,2020-06-27,230
108,2020-06-28,230
109,2020-06-29,235
110,2020-06-30,245
111,2020-07-01,248
112,2020-07-02,250
113,2020-07-03,256
114,2020-07-04,272
115,2020-07-05,273
116,2020-07-06,273
117,2020-07-07,284
118,2020-07-08,284
119,2020-07-09,286
120,2020-07-10,290
121,2020-07-11,291
122,2020-07-12,297
123,2020-07-13,300
124,2020-07-14,308
125,2020-07-15,313
126,2020-07-16,315
127,2020-07-17,320
128,2020-07-18,327
129,2020-07-19,336
130,2020-07-20,337
131,2020-07-21,339
132,2020-07-22,350
133,2020-07-23,351
134,2020-07-24,352
135,2020-07-25,360
136,2020-07-26,370
137,2020-07-27,389
138,2020-07-28,396
139,2020-07-29,398
140,2020-07-30,401
141,2020-07-31,413
142,2020-08-01,430
143,2020-08-02,474
144,2020-08-03,474
145,2020-08-04,497
146,2020-08-05,509
147,2020-08-06,538
148,2020-08-07,538
149,2020-08-08,554
150,2020-08-09,568
151,2020-08-10,568
152,2020-08-11,602
153,2020-08-12,623
154,2020-08-13,631
155,2020-08-14,649
156,2020-08-15,674
157,2020-08-16,709
158,2020-08-17,709
159,2020-08-18,737
160,2020-08-19,776
161,2020-08-20,846
162,2020-08-21,881
163,2020-08-22,925
164,2020-08-23,955
165,2020-08-24,1029
166,2020-08-25,1060
167,2020-08-26,1093
168,2020-08-27,1140
169,2020-08-28,1180
170,2020-08-29,1184
171,2020-08-30,1234
172,2020-08-31,1306
173,2020-09-01,1373
174,2020-09-02,1382
175,2020-09-03,1401
176,2020-09-04,1401
177,2020-09-05,1459
178,2020-09-06,1468
179,2020-09-07,1560
180,2020-09-08,1613
181,2020-09-09,1703
182,2020-09-10,1750
183,2020-09-11,1763
184,2020-09-12,1812
185,2020-09-13,1853
186,2020-09-14,1884
187,2020-09-15,1958
188,2020-09-16,1958
189,2020-09-17,2027
190,2020-09-18,2102
191,2020-09-19,2168
192,2020-09-20,2269
193,2020-09-21,2402
194,2020-09-22,2437
195,2020-09-23,2535
196,2020-09-24,2579
197,2020-09-25,2709
198,2020-09-26,2725
199,2020-09-27,2772
200,2020-09-28,2787
201,2020-09-29,2846
202,2020-09-30,2894
203,2020-10-01,2929
204,2020-10-02,2968
205,2020-10-03,2968
206,2020-10-04,3093
207,2020-10-05,3188
208,2020-10-06,3188
209,2020-10-07,3292
210,2020-10-08,3329
211,2020-10-09,3358
212,2020-10-10,3405
213,2020-10-11,3469
214,2020-10-12,3521
215,2020-10-13,3565
216,2020-10-14,3589
217,2020-10-15,3620
218,2020-10-16,3672
219,2020-10-17,3710
220,2020-10-18,3734
221,2020-10-19,3765
222,2020-10-20,3796
223,2020-10-21,3850
224,2020-10-22,3877
225,2020-10-23,3960
226,2020-10-24,3994
227,2020-10-25,4023
228,2020-10-26,4026
229,2020-10-27,4061
230,2020-10-28,4074
231,2020-10-29,4098
232,2020-10-30,4143
233,2020-10-31,4162
234,2020-11-01,4208
235,2020-11-02,4238
236,2020-11-03,4245
237,2020-11-04,4324
238,2020-11-05,4393
239,2020-11-06,4457
240,2020-11-07,4484
241,2020-11-08,4514
242,2020-11-09,4524
243,2020-11-10,4530
244,2020-11-11,4618
245,2020-11-12,4662
246,2020-11-13,4724
247,2020-11-14,4794
248,2020-11-15,4823
249,2020-11-16,4874
