,Date,Cases
0,2020-03-20,2
1,2020-03-21,2
2,2020-03-22,2
3,2020-03-23,2
4,2020-03-24,7
5,2020-03-25,7
6,2020-03-26,8
7,2020-03-27,8
8,2020-03-28,8
9,2020-03-29,8
10,2020-03-30,15
11,2020-03-31,15
12,2020-04-01,15
13,2020-04-02,16
14,2020-04-03,16
15,2020-04-04,18
16,2020-04-05,18
17,2020-04-06,21
18,2020-04-07,24
19,2020-04-08,25
20,2020-04-09,27
21,2020-04-10,30
22,2020-04-11,30
23,2020-04-12,31
24,2020-04-13,31
25,2020-04-14,40
26,2020-04-15,40
27,2020-04-16,41
28,2020-04-17,41
29,2020-04-18,43
30,2020-04-19,44
31,2020-04-20,44
32,2020-04-21,47
33,2020-04-22,57
34,2020-04-23,58
35,2020-04-24,62
36,2020-04-25,72
37,2020-04-26,72
38,2020-04-27,72
39,2020-04-28,74
40,2020-04-29,76
41,2020-04-30,76
42,2020-05-01,76
43,2020-05-02,81
44,2020-05-03,85
45,2020-05-04,85
46,2020-05-05,88
47,2020-05-06,100
48,2020-05-07,101
49,2020-05-08,108
50,2020-05-09,129
51,2020-05-10,146
52,2020-05-11,151
53,2020-05-12,172
54,2020-05-13,209
55,2020-05-14,219
56,2020-05-15,234
57,2020-05-16,273
58,2020-05-17,310
59,2020-05-18,358
60,2020-05-19,456
61,2020-05-20,533
62,2020-05-21,596
63,2020-05-22,663
64,2020-05-23,734
65,2020-05-24,812
66,2020-05-25,865
67,2020-05-26,958
68,2020-05-27,1063
69,2020-05-28,1174
70,2020-05-29,1320
71,2020-05-30,1443
72,2020-05-31,1584
73,2020-06-01,1865
74,2020-06-02,2124
75,2020-06-03,2226
76,2020-06-04,2507
77,2020-06-05,2604
78,2020-06-06,2640
79,2020-06-07,2924
80,2020-06-08,3072
81,2020-06-09,3334
82,2020-06-10,3538
83,2020-06-11,3662
84,2020-06-12,3796
85,2020-06-13,3941
86,2020-06-14,3941
87,2020-06-15,4165
88,2020-06-16,4309
89,2020-06-17,4441
90,2020-06-18,4547
91,2020-06-19,4688
92,2020-06-20,4916
93,2020-06-21,4980
94,2020-06-22,5077
95,2020-06-23,5211
96,2020-06-24,5216
97,2020-06-25,5324
98,2020-06-26,5429
99,2020-06-27,5543
100,2020-06-28,5722
101,2020-06-29,5722
102,2020-06-30,5847
103,2020-07-01,5933
104,2020-07-02,5975
105,2020-07-03,6040
106,2020-07-04,6101
107,2020-07-05,6230
108,2020-07-06,6294
109,2020-07-07,6333
110,2020-07-08,6371
111,2020-07-09,6432
112,2020-07-10,6486
113,2020-07-11,6582
114,2020-07-12,6617
115,2020-07-13,6690
116,2020-07-14,6727
117,2020-07-15,6727
118,2020-07-16,6831
119,2020-07-17,6902
120,2020-07-18,6948
121,2020-07-19,6975
122,2020-07-20,7053
123,2020-07-21,7063
124,2020-07-22,7100
125,2020-07-23,7146
126,2020-07-24,7167
127,2020-07-25,7197
128,2020-07-26,7260
129,2020-07-27,7297
130,2020-07-28,7315
131,2020-07-29,7340
132,2020-07-30,7371
133,2020-07-31,7378
134,2020-08-01,7412
135,2020-08-02,7424
136,2020-08-03,7468
137,2020-08-04,7476
138,2020-08-05,7511
139,2020-08-06,7532
140,2020-08-07,7544
141,2020-08-08,7582
142,2020-08-09,7599
143,2020-08-10,7611
144,2020-08-11,7634
145,2020-08-12,7649
146,2020-08-13,7743
147,2020-08-14,7781
148,2020-08-15,7810
149,2020-08-16,7831
150,2020-08-17,7879
151,2020-08-18,7897
152,2020-08-19,7921
153,2020-08-20,7949
154,2020-08-21,7997
155,2020-08-22,8016
156,2020-08-23,8050
157,2020-08-24,8082
158,2020-08-25,8110
159,2020-08-26,8112
160,2020-08-27,8122
161,2020-08-28,8151
162,2020-08-29,8161
163,2020-08-30,8174
164,2020-08-31,8209
165,2020-09-01,8224
166,2020-09-02,8224
167,2020-09-03,8258
168,2020-09-04,8258
169,2020-09-05,8326
170,2020-09-06,8326
171,2020-09-07,8360
172,2020-09-08,8360
173,2020-09-09,8362
174,2020-09-10,8376
175,2020-09-11,8429
176,2020-09-12,8457
177,2020-09-13,8457
178,2020-09-14,8478
179,2020-09-15,8493
180,2020-09-16,8499
181,2020-09-17,8530
182,2020-09-18,8556
183,2020-09-19,8556
184,2020-09-20,8600
185,2020-09-21,8600
186,2020-09-22,8624
187,2020-09-23,8624
188,2020-09-24,8646
189,2020-09-25,8646
190,2020-09-26,8684
191,2020-09-27,8684
192,2020-09-28,8723
193,2020-09-29,8740
194,2020-09-30,8740
195,2020-10-01,8766
196,2020-10-02,8766
197,2020-10-03,8792
198,2020-10-04,8792
199,2020-10-05,8819
200,2020-10-06,8819
201,2020-10-07,8819
202,2020-10-08,8838
203,2020-10-09,8854
204,2020-10-10,8854
205,2020-10-11,8860
206,2020-10-12,8882
207,2020-10-13,8882
208,2020-10-14,8887
209,2020-10-15,8908
210,2020-10-16,8908
211,2020-10-17,8925
212,2020-10-18,8925
213,2020-10-19,8925
214,2020-10-20,8925
215,2020-10-21,8976
216,2020-10-22,8979
217,2020-10-23,8979
218,2020-10-24,8999
219,2020-10-25,9015
220,2020-10-26,9026
221,2020-10-27,9026
222,2020-10-28,9026
223,2020-10-29,9046
224,2020-10-30,9054
225,2020-10-31,9054
226,2020-11-01,9054
227,2020-11-02,9054
228,2020-11-03,9054
229,2020-11-04,9054
