,Date,Cases
0,2020-03-06,1
1,2020-03-07,1
2,2020-03-08,1
3,2020-03-09,1
4,2020-03-10,1
5,2020-03-11,1
6,2020-03-12,1
7,2020-03-13,1
8,2020-03-14,1
9,2020-03-15,1
10,2020-03-16,1
11,2020-03-17,1
12,2020-03-18,1
13,2020-03-19,1
14,2020-03-20,1
15,2020-03-21,1
16,2020-03-22,1
17,2020-03-23,1
18,2020-03-24,4
19,2020-03-25,4
20,2020-03-26,4
21,2020-03-27,4
22,2020-03-28,6
23,2020-03-29,6
24,2020-03-30,6
25,2020-03-31,6
26,2020-04-01,6
27,2020-04-02,7
28,2020-04-03,7
29,2020-04-04,7
30,2020-04-05,7
31,2020-04-06,7
32,2020-04-07,7
33,2020-04-08,8
34,2020-04-09,8
35,2020-04-10,8
36,2020-04-11,8
37,2020-04-12,8
38,2020-04-13,8
39,2020-04-14,8
40,2020-04-15,8
41,2020-04-16,8
42,2020-04-17,8
43,2020-04-18,8
44,2020-04-19,8
45,2020-04-20,9
46,2020-04-21,9
47,2020-04-22,9
48,2020-04-23,9
49,2020-04-24,9
50,2020-04-25,9
51,2020-04-26,9
52,2020-04-27,9
53,2020-04-28,10
54,2020-04-29,10
55,2020-04-30,11
56,2020-05-01,11
57,2020-05-02,11
58,2020-05-03,11
59,2020-05-04,11
60,2020-05-05,11
61,2020-05-06,12
62,2020-05-07,12
63,2020-05-08,12
64,2020-05-09,12
65,2020-05-10,12
66,2020-05-11,12
67,2020-05-12,12
68,2020-05-13,12
69,2020-05-14,12
70,2020-05-15,12
71,2020-05-16,12
72,2020-05-17,12
73,2020-05-18,12
74,2020-05-19,12
75,2020-05-20,12
76,2020-05-21,12
77,2020-05-22,12
78,2020-05-23,12
79,2020-05-24,12
80,2020-05-25,12
81,2020-05-26,12
82,2020-05-27,12
83,2020-05-28,12
84,2020-05-29,12
85,2020-05-30,12
86,2020-05-31,12
87,2020-06-01,12
88,2020-06-02,12
89,2020-06-03,12
90,2020-06-04,12
91,2020-06-05,12
92,2020-06-06,12
93,2020-06-07,12
94,2020-06-08,12
95,2020-06-09,12
96,2020-06-10,12
97,2020-06-11,12
98,2020-06-12,12
99,2020-06-13,12
100,2020-06-14,12
101,2020-06-15,12
102,2020-06-16,12
103,2020-06-17,12
104,2020-06-18,12
105,2020-06-19,12
106,2020-06-20,12
107,2020-06-21,12
108,2020-06-22,12
109,2020-06-23,12
110,2020-06-24,12
111,2020-06-25,12
112,2020-06-26,12
113,2020-06-27,12
114,2020-06-28,12
115,2020-06-29,12
116,2020-06-30,12
117,2020-07-01,12
118,2020-07-02,12
119,2020-07-03,12
120,2020-07-04,12
121,2020-07-05,12
122,2020-07-06,12
123,2020-07-07,12
124,2020-07-08,12
125,2020-07-09,12
126,2020-07-10,12
127,2020-07-11,12
128,2020-07-12,12
129,2020-07-13,12
130,2020-07-14,12
131,2020-07-15,12
132,2020-07-16,12
133,2020-07-17,12
134,2020-07-18,12
135,2020-07-19,12
136,2020-07-20,12
137,2020-07-21,12
138,2020-07-22,12
139,2020-07-23,12
140,2020-07-24,12
141,2020-07-25,12
142,2020-07-26,12
143,2020-07-27,12
144,2020-07-28,12
145,2020-07-29,12
146,2020-07-30,12
147,2020-07-31,12
148,2020-08-01,12
149,2020-08-02,12
150,2020-08-03,12
151,2020-08-04,12
152,2020-08-05,12
153,2020-08-06,12
154,2020-08-07,12
