,Date,Cases
0,2020-03-11,2
1,2020-03-12,2
2,2020-03-13,2
3,2020-03-14,2
4,2020-03-15,3
5,2020-03-16,6
6,2020-03-17,8
7,2020-03-18,9
8,2020-03-19,12
9,2020-03-20,24
10,2020-03-21,24
11,2020-03-22,26
12,2020-03-23,30
13,2020-03-24,30
14,2020-03-25,36
15,2020-03-26,52
16,2020-03-27,68
17,2020-03-28,95
18,2020-03-29,110
19,2020-03-30,139
20,2020-03-31,141
21,2020-04-01,172
22,2020-04-02,219
23,2020-04-03,222
24,2020-04-04,264
25,2020-04-05,268
26,2020-04-06,298
27,2020-04-07,305
28,2020-04-08,312
29,2020-04-09,343
30,2020-04-10,382
31,2020-04-11,392
32,2020-04-12,393
33,2020-04-13,397
34,2020-04-14,407
35,2020-04-15,419
36,2020-04-16,426
37,2020-04-17,442
38,2020-04-18,457
39,2020-04-19,472
40,2020-04-20,477
41,2020-04-21,494
42,2020-04-22,510
43,2020-04-23,519
44,2020-04-24,591
45,2020-04-25,627
46,2020-04-26,627
47,2020-04-27,661
48,2020-04-28,702
49,2020-04-29,738
50,2020-04-30,771
51,2020-05-01,804
52,2020-05-02,1010
53,2020-05-03,1055
54,2020-05-04,1178
55,2020-05-05,1270
56,2020-05-06,1461
57,2020-05-07,1685
58,2020-05-08,1771
59,2020-05-09,1830
60,2020-05-10,1972
61,2020-05-11,2100
62,2020-05-12,2080
63,2020-05-13,2255
64,2020-05-14,2318
65,2020-05-15,2460
66,2020-05-16,2565
67,2020-05-17,2646
68,2020-05-18,2798
69,2020-05-19,2955
70,2020-05-20,2955
71,2020-05-21,3204
72,2020-05-22,3477
73,2020-05-23,3477
74,2020-05-24,3950
75,2020-05-25,4189
76,2020-05-26,4401
77,2020-05-27,4640
78,2020-05-28,4752
79,2020-05-29,4752
80,2020-05-30,5094
81,2020-05-31,5202
82,2020-06-01,5362
83,2020-06-02,5527
84,2020-06-03,5690
85,2020-06-04,5880
86,2020-06-05,5971
87,2020-06-06,6155
88,2020-06-07,6327
89,2020-06-08,6450
90,2020-06-09,6935
91,2020-06-10,7360
92,2020-06-11,7669
93,2020-06-12,8132
94,2020-06-13,8455
95,2020-06-14,8858
96,2020-06-15,9178
97,2020-06-16,9656
98,2020-06-17,10299
99,2020-06-18,10739
100,2020-06-19,11258
101,2020-06-20,12306
102,2020-06-21,12769
103,2020-06-22,13356
104,2020-06-23,13943
105,2020-06-24,14571
106,2020-06-25,15366
107,2020-06-26,15994
108,2020-06-27,17007
109,2020-06-28,18082
110,2020-06-29,18818
111,2020-06-30,19558
112,2020-07-01,20262
113,2020-07-02,21120
114,2020-07-03,22116
115,2020-07-04,22921
116,2020-07-05,23943
117,2020-07-06,24665
118,2020-07-07,25428
119,2020-07-08,25978
120,2020-07-09,26384
121,2020-07-10,27053
122,2020-07-11,27583
123,2020-07-12,28090
124,2020-07-13,28579
125,2020-07-14,29106
126,2020-07-15,30036
127,2020-07-16,30867
128,2020-07-17,31745
129,2020-07-18,32793
130,2020-07-19,33835
131,2020-07-20,34611
132,2020-07-21,35345
133,2020-07-22,36102
134,2020-07-23,36902
135,2020-07-24,37559
136,2020-07-25,38438
137,2020-07-26,39276
138,2020-07-27,39741
139,2020-07-28,40460
140,2020-07-29,40944
141,2020-07-30,41426
142,2020-07-31,42014
143,2020-08-01,42685
144,2020-08-02,43197
145,2020-08-03,43794
146,2020-08-04,44299
147,2020-08-05,45098
148,2020-08-06,45755
149,2020-08-07,46365
150,2020-08-08,46973
151,2020-08-09,47454
152,2020-08-10,47872
153,2020-08-11,48403
154,2020-08-12,48657
155,2020-08-13,49042
156,2020-08-14,49467
157,2020-08-15,49979
158,2020-08-16,50502
159,2020-08-17,50995
160,2020-08-18,51670
161,2020-08-19,52298
162,2020-08-20,52819
163,2020-08-21,53381
164,2020-08-22,53983
165,2020-08-23,54511
166,2020-08-24,55479
167,2020-08-25,55877
168,2020-08-26,56649
169,2020-08-27,57669
170,2020-08-28,58810
171,2020-08-29,59645
172,2020-08-30,60174
173,2020-08-31,61014
174,2020-09-01,61769
175,2020-09-02,62526
176,2020-09-03,63158
177,2020-09-04,63798
178,2020-09-05,64352
179,2020-09-06,64764
180,2020-09-07,64814
181,2020-09-08,65218
182,2020-09-09,65597
183,2020-09-10,65802
184,2020-09-11,66049
185,2020-09-12,67136
186,2020-09-13,67789
187,2020-09-14,68620
188,2020-09-15,68620
189,2020-09-16,69660
190,2020-09-17,70120
191,2020-09-18,70611
192,2020-09-19,71143
193,2020-09-20,71616
194,2020-09-21,72075
195,2020-09-22,72306
196,2020-09-23,72675
197,2020-09-24,73193
198,2020-09-25,73840
199,2020-09-26,74548
200,2020-09-27,74548
201,2020-09-28,75537
