,Date,Cases
0,2020-03-04,2
1,2020-03-05,2
2,2020-03-06,2
3,2020-03-07,4
4,2020-03-08,7
5,2020-03-09,9
6,2020-03-10,9
7,2020-03-11,13
8,2020-03-12,13
9,2020-03-13,19
10,2020-03-14,30
11,2020-03-15,32
12,2020-03-16,39
13,2020-03-17,50
14,2020-03-18,58
15,2020-03-19,73
16,2020-03-20,85
17,2020-03-21,103
18,2020-03-22,131
19,2020-03-23,167
20,2020-03-24,187
21,2020-03-25,226
22,2020-03-26,261
23,2020-03-27,300
24,2020-03-28,343
25,2020-03-29,408
26,2020-03-30,447
27,2020-03-31,492
28,2020-04-01,525
29,2020-04-02,585
30,2020-04-03,623
31,2020-04-04,678
32,2020-04-05,733
33,2020-04-06,744
34,2020-04-07,817
35,2020-04-08,895
36,2020-04-09,980
37,2020-04-10,1190
38,2020-04-11,1310
39,2020-04-12,1410
40,2020-04-13,1458
41,2020-04-14,1512
42,2020-04-15,1579
43,2020-04-16,1652
44,2020-04-17,1763
45,2020-04-18,1834
46,2020-04-19,1916
47,2020-04-20,1984
48,2020-04-21,2098
49,2020-04-22,2168
50,2020-04-23,2284
51,2020-04-24,2443
52,2020-04-25,2443
53,2020-04-26,2500
54,2020-04-27,2583
55,2020-04-28,2649
56,2020-04-29,2727
57,2020-04-30,2775
58,2020-05-01,2863
59,2020-05-02,2942
60,2020-05-03,2998
61,2020-05-04,3035
62,2020-05-05,3065
63,2020-05-06,3111
64,2020-05-07,3150
65,2020-05-08,3178
66,2020-05-09,3213
67,2020-05-10,3263
68,2020-05-11,3284
69,2020-05-12,3313
70,2020-05-13,3341
71,2020-05-14,3380
72,2020-05-15,3417
73,2020-05-16,3473
74,2020-05-17,3509
75,2020-05-18,3535
76,2020-05-19,3556
77,2020-05-20,3598
78,2020-05-21,3641
79,2020-05-22,3678
80,2020-05-23,3713
81,2020-05-24,3741
82,2020-05-25,3756
83,2020-05-26,3771
84,2020-05-27,3793
85,2020-05-28,3816
86,2020-05-29,3841
87,2020-05-30,3867
88,2020-05-31,3876
89,2020-06-01,3892
90,2020-06-02,3921
91,2020-06-03,3931
92,2020-06-04,3954
93,2020-06-05,3970
94,2020-06-06,3990
95,2020-06-07,4008
96,2020-06-08,4014
97,2020-06-09,4017
98,2020-06-10,4027
99,2020-06-11,4039
100,2020-06-12,4053
101,2020-06-13,4064
102,2020-06-14,4069
103,2020-06-15,4076
104,2020-06-16,4077
105,2020-06-17,4078
106,2020-06-18,4079
107,2020-06-19,4081
108,2020-06-20,4086
109,2020-06-21,4094
110,2020-06-22,4102
111,2020-06-23,4107
112,2020-06-24,4114
113,2020-06-25,4123
114,2020-06-26,4127
115,2020-06-27,4138
116,2020-06-28,4142
117,2020-06-29,4145
118,2020-06-30,4155
