,Date,Cases
0,2020-02-28,1
1,2020-02-29,1
2,2020-03-01,3
3,2020-03-02,6
4,2020-03-03,11
5,2020-03-04,26
6,2020-03-05,34
7,2020-03-06,43
8,2020-03-07,50
9,2020-03-08,50
10,2020-03-09,58
11,2020-03-10,69
12,2020-03-11,85
13,2020-03-12,103
14,2020-03-13,134
15,2020-03-14,156
16,2020-03-15,171
17,2020-03-16,180
18,2020-03-17,220
19,2020-03-18,250
20,2020-03-19,330
21,2020-03-20,409
22,2020-03-21,473
23,2020-03-22,568
24,2020-03-23,588
25,2020-03-24,648
26,2020-03-25,737
27,2020-03-26,802
28,2020-03-27,890
29,2020-03-28,963
30,2020-03-29,1020
31,2020-03-30,1086
32,2020-03-31,1135
33,2020-04-01,1220
34,2020-04-02,1319
35,2020-04-03,1364
36,2020-04-04,1417
37,2020-04-05,1486
38,2020-04-06,1562
39,2020-04-07,1586
40,2020-04-08,1616
41,2020-04-09,1648
42,2020-04-10,1675
43,2020-04-11,1689
44,2020-04-12,1701
45,2020-04-13,1711
46,2020-04-14,1720
47,2020-04-15,1727
48,2020-04-16,1739
49,2020-04-17,1754
50,2020-04-18,1760
51,2020-04-19,1771
52,2020-04-20,1773
53,2020-04-21,1778
54,2020-04-22,1785
55,2020-04-23,1789
56,2020-04-24,1789
57,2020-04-25,1790
58,2020-04-26,1792
59,2020-04-27,1792
60,2020-04-28,1795
61,2020-04-29,1797
62,2020-04-30,1797
63,2020-05-01,1798
64,2020-05-02,1798
65,2020-05-03,1799
66,2020-05-04,1799
67,2020-05-05,1799
68,2020-05-06,1799
69,2020-05-07,1801
70,2020-05-08,1801
71,2020-05-09,1801
72,2020-05-10,1801
73,2020-05-11,1801
74,2020-05-12,1801
75,2020-05-13,1802
76,2020-05-14,1802
77,2020-05-15,1802
78,2020-05-16,1802
79,2020-05-17,1802
80,2020-05-18,1802
81,2020-05-19,1802
82,2020-05-20,1803
83,2020-05-21,1803
84,2020-05-22,1803
85,2020-05-23,1804
86,2020-05-24,1804
87,2020-05-25,1804
88,2020-05-26,1804
89,2020-05-27,1805
90,2020-05-28,1805
91,2020-05-29,1805
92,2020-05-30,1806
93,2020-05-31,1806
94,2020-06-01,1806
95,2020-06-02,1806
96,2020-06-03,1806
97,2020-06-04,1806
98,2020-06-05,1806
99,2020-06-06,1806
100,2020-06-07,1807
101,2020-06-08,1807
102,2020-06-09,1807
103,2020-06-10,1807
104,2020-06-11,1807
105,2020-06-12,1807
106,2020-06-13,1808
107,2020-06-14,1810
108,2020-06-15,1811
109,2020-06-16,1812
110,2020-06-17,1812
111,2020-06-18,1814
112,2020-06-19,1815
113,2020-06-20,1815
114,2020-06-21,1815
115,2020-06-22,1815
116,2020-06-23,1815
117,2020-06-24,1817
118,2020-06-25,1818
119,2020-06-26,1820
120,2020-06-27,1820
121,2020-06-28,1821
122,2020-06-29,1822
123,2020-06-30,1824
124,2020-07-01,1825
125,2020-07-02,1830
126,2020-07-03,1830
127,2020-07-04,1830
128,2020-07-05,1830
129,2020-07-06,1832
130,2020-07-07,1833
131,2020-07-08,1833
132,2020-07-09,1833
133,2020-07-10,1833
134,2020-07-11,1833
135,2020-07-12,1833
136,2020-07-13,1833
137,2020-07-14,1835
138,2020-07-15,1835
139,2020-07-16,1836
140,2020-07-17,1836
141,2020-07-18,1838
142,2020-07-19,1839
143,2020-07-20,1839
144,2020-07-21,1839
