,Date,Cases
0,2020-01-30,1
1,2020-01-31,1
2,2020-02-01,1
3,2020-02-02,2
4,2020-02-03,3
5,2020-02-04,3
6,2020-02-05,3
7,2020-02-06,3
8,2020-02-07,3
9,2020-02-08,3
10,2020-02-09,3
11,2020-02-10,3
12,2020-02-11,3
13,2020-02-12,3
14,2020-02-13,3
15,2020-02-14,3
16,2020-02-15,3
17,2020-02-16,3
18,2020-02-17,3
19,2020-02-18,3
20,2020-02-19,3
21,2020-02-20,3
22,2020-02-21,3
23,2020-02-22,3
24,2020-02-23,3
25,2020-02-24,3
26,2020-02-25,3
27,2020-02-26,3
28,2020-02-27,3
29,2020-02-28,3
30,2020-02-29,3
31,2020-03-01,3
32,2020-03-02,5
33,2020-03-03,5
34,2020-03-04,28
35,2020-03-05,30
36,2020-03-06,31
37,2020-03-07,34
38,2020-03-08,39
39,2020-03-09,43
40,2020-03-10,56
41,2020-03-11,62
42,2020-03-12,73
43,2020-03-13,82
44,2020-03-14,102
45,2020-03-15,113
46,2020-03-16,119
47,2020-03-17,142
48,2020-03-18,156
49,2020-03-19,194
50,2020-03-20,244
51,2020-03-21,330
52,2020-03-22,396
53,2020-03-23,499
54,2020-03-24,536
55,2020-03-25,657
56,2020-03-26,727
57,2020-03-27,887
58,2020-03-28,987
59,2020-03-29,1024
60,2020-03-30,1251
61,2020-03-31,1397
62,2020-04-01,1998
63,2020-04-02,2543
64,2020-04-03,2567
65,2020-04-04,3082
66,2020-04-05,3588
67,2020-04-06,4778
68,2020-04-07,5311
69,2020-04-08,5916
70,2020-04-09,6725
71,2020-04-10,7598
72,2020-04-11,8446
73,2020-04-12,9205
74,2020-04-13,10453
75,2020-04-14,11487
76,2020-04-15,12322
77,2020-04-16,13430
78,2020-04-17,14352
79,2020-04-18,15722
80,2020-04-19,17615
81,2020-04-20,18539
82,2020-04-21,20080
83,2020-04-22,21370
84,2020-04-23,23077
85,2020-04-24,24530
86,2020-04-25,26283
87,2020-04-26,27890
88,2020-04-27,29451
89,2020-04-28,31324
90,2020-04-29,33062
91,2020-04-30,34863
92,2020-05-01,37257
93,2020-05-02,39699
94,2020-05-03,42505
95,2020-05-04,46437
96,2020-05-05,49400
97,2020-05-06,52987
98,2020-05-07,56351
99,2020-05-08,59695
100,2020-05-09,62808
101,2020-05-10,67161
102,2020-05-11,70768
103,2020-05-12,74292
104,2020-05-13,78055
105,2020-05-14,81997
106,2020-05-15,85784
107,2020-05-16,90648
108,2020-05-17,95698
109,2020-05-18,100328
110,2020-05-19,106475
111,2020-05-20,112028
112,2020-05-21,118226
113,2020-05-22,124794
114,2020-05-23,131423
115,2020-05-24,138536
116,2020-05-25,144950
117,2020-05-26,150793
118,2020-05-27,158086
119,2020-05-28,165386
120,2020-05-29,173491
121,2020-05-30,181827
122,2020-05-31,190609
123,2020-06-01,198370
124,2020-06-02,207191
125,2020-06-03,216824
126,2020-06-04,226713
127,2020-06-05,236184
128,2020-06-06,246622
129,2020-06-07,257486
130,2020-06-08,265928
131,2020-06-09,276146
