,Date,Cases
0,2020-03-02,2
1,2020-03-03,2
2,2020-03-04,2
3,2020-03-05,2
4,2020-03-06,4
5,2020-03-07,4
6,2020-03-08,6
7,2020-03-09,19
8,2020-03-10,27
9,2020-03-11,34
10,2020-03-12,34
11,2020-03-13,69
12,2020-03-14,96
13,2020-03-15,117
14,2020-03-16,134
15,2020-03-17,172
16,2020-03-18,227
17,2020-03-19,311
18,2020-03-20,369
19,2020-03-21,450
20,2020-03-22,514
21,2020-03-23,579
22,2020-03-24,686
23,2020-03-25,790
24,2020-03-26,893
25,2020-03-27,1046
26,2020-03-28,1155
27,2020-03-29,1285
28,2020-03-30,1414
29,2020-03-31,1528
30,2020-04-01,1677
31,2020-04-02,1790
32,2020-04-03,1986
33,2020-04-04,2092
34,2020-04-05,2273
35,2020-04-06,2491
36,2020-04-07,2738
37,2020-04-08,2956
38,2020-04-09,3293
39,2020-04-10,3512
40,2020-04-11,3842
41,2020-04-12,4241
42,2020-04-13,4557
43,2020-04-14,4839
44,2020-04-15,5136
45,2020-04-16,5516
46,2020-04-17,5923
47,2020-04-18,6248
48,2020-04-19,6575
49,2020-04-20,6760
50,2020-04-21,7135
51,2020-04-22,7418
52,2020-04-23,7775
53,2020-04-24,8211
54,2020-04-25,8607
55,2020-04-26,8882
56,2020-04-27,9096
57,2020-04-28,9511
58,2020-04-29,9771
59,2020-04-30,10118
60,2020-05-01,10551
61,2020-05-02,10843
62,2020-05-03,11192
63,2020-05-04,11587
64,2020-05-05,12071
65,2020-05-06,12438
66,2020-05-07,12776
67,2020-05-08,13112
68,2020-05-09,13645
69,2020-05-10,14032
70,2020-05-11,14265
71,2020-05-12,14749
72,2020-05-13,15438
73,2020-05-14,16006
74,2020-05-15,16496
75,2020-05-16,17025
76,2020-05-17,17514
77,2020-05-18,18010
78,2020-05-19,18496
79,2020-05-20,19189
80,2020-05-21,20162
81,2020-05-22,20796
82,2020-05-23,21745
83,2020-05-24,22271
84,2020-05-25,22750
85,2020-05-26,23165
86,2020-05-27,23851
87,2020-05-28,24538
88,2020-05-29,25216
89,2020-05-30,25773
90,2020-05-31,26473
91,2020-06-01,26940
92,2020-06-02,27549
93,2020-06-03,28233
94,2020-06-04,28818
95,2020-06-05,29521
96,2020-06-06,30514
97,2020-06-07,31186
98,2020-06-08,32033
99,2020-06-09,33076
100,2020-06-10,34316
101,2020-06-11,35295
102,2020-06-12,36406
103,2020-06-13,37420
104,2020-06-14,38277
105,2020-06-15,39294
106,2020-06-16,40400
107,2020-06-17,41431
108,2020-06-18,42762
109,2020-06-19,43803
110,2020-06-20,45029
111,2020-06-21,45891
112,2020-06-22,46845
113,2020-06-23,47896
114,2020-06-24,49009
115,2020-06-25,50187
116,2020-06-26,51427
117,2020-06-27,52812
118,2020-06-28,54010
119,2020-06-29,55092
120,2020-06-30,56385
121,2020-07-01,57770
122,2020-07-02,59394
123,2020-07-03,60695
124,2020-07-04,62142
125,2020-07-05,63749
126,2020-07-06,64958
127,2020-07-07,66226
128,2020-07-08,68079
129,2020-07-09,70736
130,2020-07-10,72347
131,2020-07-11,74018
132,2020-07-12,75699
133,2020-07-13,76981
134,2020-07-14,78572
135,2020-07-15,80094
136,2020-07-16,81668
