,Date,Cases
0,2020-02-19,2
1,2020-02-20,5
2,2020-02-21,18
3,2020-02-22,28
4,2020-02-23,43
5,2020-02-24,61
6,2020-02-25,95
7,2020-02-26,139
8,2020-02-27,245
9,2020-02-28,388
10,2020-02-29,593
11,2020-03-01,978
12,2020-03-02,1501
13,2020-03-03,2336
14,2020-03-04,2922
15,2020-03-05,3513
16,2020-03-06,4747
17,2020-03-07,5823
18,2020-03-08,6566
19,2020-03-09,7161
20,2020-03-10,8042
21,2020-03-11,9000
22,2020-03-12,10075
23,2020-03-13,11364
24,2020-03-14,12729
25,2020-03-15,13938
26,2020-03-16,14991
27,2020-03-17,16169
28,2020-03-18,17361
29,2020-03-19,18407
30,2020-03-20,19644
31,2020-03-21,20610
32,2020-03-22,21638
33,2020-03-23,23049
34,2020-03-24,24811
35,2020-03-25,27017
36,2020-03-26,29406
37,2020-03-27,32332
38,2020-03-28,35408
39,2020-03-29,38309
40,2020-03-30,41495
41,2020-03-31,44605
42,2020-04-01,47593
43,2020-04-02,50468
44,2020-04-03,53183
45,2020-04-04,55743
46,2020-04-05,58226
47,2020-04-06,60500
48,2020-04-07,62589
49,2020-04-08,64586
50,2020-04-09,66220
51,2020-04-10,68192
52,2020-04-11,70029
53,2020-04-12,71686
54,2020-04-13,73303
55,2020-04-14,74877
56,2020-04-15,76389
57,2020-04-16,77995
58,2020-04-17,79494
59,2020-04-18,80868
60,2020-04-19,82211
61,2020-04-20,83505
62,2020-04-21,84802
63,2020-04-22,85996
64,2020-04-23,87026
65,2020-04-24,88194
66,2020-04-25,89328
67,2020-04-26,90481
68,2020-04-27,91472
69,2020-04-28,92584
70,2020-04-29,93657
71,2020-04-30,94640
72,2020-05-01,95646
73,2020-05-02,96448
74,2020-05-03,97424
75,2020-05-04,98647
76,2020-05-05,99970
77,2020-05-06,101650
78,2020-05-07,103135
79,2020-05-08,104691
80,2020-05-09,106220
81,2020-05-10,107603
82,2020-05-11,109286
83,2020-05-12,110767
84,2020-05-13,112725
85,2020-05-14,114533
86,2020-05-15,116635
87,2020-05-16,118392
88,2020-05-17,120198
89,2020-05-18,122492
90,2020-05-19,124603
91,2020-05-20,126949
92,2020-05-21,129341
93,2020-05-22,131652
94,2020-05-23,133521
95,2020-05-24,135701
96,2020-05-25,137724
97,2020-05-26,139511
98,2020-05-27,141591
99,2020-05-28,143849
100,2020-05-29,146668
