,Date,Cases
0,2020-02-29,1
1,2020-03-01,1
2,2020-03-02,1
3,2020-03-03,2
4,2020-03-04,6
5,2020-03-05,6
6,2020-03-06,18
7,2020-03-07,18
8,2020-03-08,19
9,2020-03-09,21
10,2020-03-10,34
11,2020-03-11,43
12,2020-03-12,43
13,2020-03-13,90
14,2020-03-14,129
15,2020-03-15,129
16,2020-03-16,169
17,2020-03-17,223
18,2020-03-18,292
19,2020-03-19,557
20,2020-03-20,683
21,2020-03-21,785
22,2020-03-22,906
23,2020-03-23,1125
24,2020-03-24,1329
25,2020-03-25,1564
26,2020-03-26,1819
27,2020-03-27,2121
28,2020-03-28,2415
29,2020-03-29,2615
30,2020-03-30,2910
31,2020-03-31,3235
32,2020-04-01,3447
33,2020-04-02,3849
34,2020-04-03,4273
35,2020-04-04,4604
36,2020-04-05,4994
37,2020-04-06,5364
38,2020-04-07,5709
39,2020-04-08,6074
40,2020-04-09,6574
41,2020-04-10,8089
42,2020-04-11,8928
43,2020-04-12,9655
44,2020-04-13,10647
45,2020-04-14,11479
46,2020-04-15,12547
47,2020-04-16,13271
48,2020-04-17,13980
49,2020-04-18,14758
50,2020-04-19,15251
51,2020-04-20,15652
52,2020-04-21,16040
53,2020-04-22,16671
54,2020-04-23,17607
55,2020-04-24,18184
56,2020-04-25,18561
57,2020-04-26,19262
58,2020-04-27,19648
59,2020-04-28,19877
60,2020-04-29,20253
61,2020-04-30,20612
62,2020-05-01,20833
63,2020-05-02,21176
64,2020-05-03,21506
65,2020-05-04,21772
66,2020-05-05,21983
67,2020-05-06,22248
68,2020-05-07,22385
69,2020-05-08,22541
70,2020-05-09,22760
71,2020-05-10,22996
72,2020-05-11,23135
73,2020-05-12,23242
74,2020-05-13,23401
75,2020-05-14,23827
76,2020-05-15,23956
77,2020-05-16,24048
78,2020-05-17,24112
79,2020-05-18,24200
80,2020-05-19,24251
81,2020-05-20,24315
82,2020-05-21,24391
83,2020-05-22,24506
84,2020-05-23,24582
85,2020-05-24,24639
86,2020-05-25,24698
87,2020-05-26,24735
88,2020-05-27,24803
89,2020-05-28,24841
90,2020-05-29,24876
91,2020-05-30,24929
92,2020-05-31,24990
93,2020-06-01,25062
94,2020-06-02,25066
95,2020-06-03,25111
96,2020-06-04,25142
97,2020-06-05,25163
98,2020-06-06,25183
99,2020-06-07,25201
100,2020-06-08,25207
101,2020-06-09,25215
102,2020-06-10,25231
103,2020-06-11,25238
104,2020-06-12,25250
105,2020-06-13,25295
106,2020-06-14,25303
107,2020-06-15,25321
108,2020-06-16,25334
109,2020-06-17,25341
110,2020-06-18,25355
111,2020-06-19,25368
112,2020-06-20,25374
113,2020-06-21,25379
114,2020-06-22,25383
115,2020-06-23,25391
116,2020-06-24,25396
117,2020-06-25,25405
118,2020-06-26,25414
119,2020-06-27,25437
120,2020-06-28,25439
121,2020-06-29,25462
122,2020-06-30,25473
123,2020-07-01,25477
124,2020-07-02,25489
125,2020-07-03,25498
126,2020-07-04,25509
127,2020-07-05,25527
