,Date,Cases
0,2020-02-21,1
1,2020-02-22,1
2,2020-02-23,1
3,2020-02-24,1
4,2020-02-25,1
5,2020-02-26,2
6,2020-02-27,3
7,2020-02-28,6
8,2020-02-29,6
9,2020-03-01,7
10,2020-03-02,12
11,2020-03-03,15
12,2020-03-04,15
13,2020-03-05,21
14,2020-03-06,37
15,2020-03-07,47
16,2020-03-08,56
17,2020-03-09,60
18,2020-03-10,88
19,2020-03-11,60
20,2020-03-12,81
21,2020-03-13,112
22,2020-03-14,138
23,2020-03-15,177
24,2020-03-16,251
25,2020-03-17,295
26,2020-03-18,371
27,2020-03-19,386
28,2020-03-20,628
29,2020-03-21,843
30,2020-03-22,1080
31,2020-03-23,1249
32,2020-03-24,1351
33,2020-03-25,2468
34,2020-03-26,2988
35,2020-03-27,3421
36,2020-03-28,3901
37,2020-03-29,4433
38,2020-03-30,4979
39,2020-03-31,5717
40,2020-04-01,6413
41,2020-04-02,7132
42,2020-04-03,7729
43,2020-04-04,8157
44,2020-04-05,8740
45,2020-04-06,9191
46,2020-04-07,9568
47,2020-04-08,9906
48,2020-04-09,10249
49,2020-04-10,10607
50,2020-04-11,10952
51,2020-04-12,11504
52,2020-04-13,11942
53,2020-04-14,12341
54,2020-04-15,12652
55,2020-04-16,12948
56,2020-04-17,13246
57,2020-04-18,13537
58,2020-04-19,13813
59,2020-04-20,14112
60,2020-04-21,14394
61,2020-04-22,14619
62,2020-04-23,14895
63,2020-04-24,15143
64,2020-04-25,15302
65,2020-04-26,15385
66,2020-04-27,15513
67,2020-04-28,15672
68,2020-04-29,15754
69,2020-04-30,15896
70,2020-05-01,16012
71,2020-05-02,16069
72,2020-05-03,16096
73,2020-05-04,16149
74,2020-05-05,16181
75,2020-05-06,16246
76,2020-05-07,16307
77,2020-05-08,16340
78,2020-05-09,16359
79,2020-05-10,16388
80,2020-05-11,16427
81,2020-05-12,16450
82,2020-05-13,16489
83,2020-05-14,16511
84,2020-05-15,16523
85,2020-05-16,16528
86,2020-05-17,16543
87,2020-05-18,16570
88,2020-05-19,16592
89,2020-05-20,16607
90,2020-05-21,16624
91,2020-05-22,16643
92,2020-05-23,16648
93,2020-05-24,16661
94,2020-05-25,16683
95,2020-05-26,16733
96,2020-05-27,16773
97,2020-05-28,16850
98,2020-05-29,16963
99,2020-05-30,16992
100,2020-05-31,17079
101,2020-06-01,17179
102,2020-06-02,17300
103,2020-06-03,17397
104,2020-06-04,17539
105,2020-06-05,17666
106,2020-06-06,17744
107,2020-06-07,17884
108,2020-06-08,18063
109,2020-06-09,18236
110,2020-06-10,18476
111,2020-06-11,18667
112,2020-06-12,18851
113,2020-06-13,19000
114,2020-06-14,19136
115,2020-06-15,19334
116,2020-06-16,19634
117,2020-06-17,19905
118,2020-06-18,20207
119,2020-06-19,20517
120,2020-06-20,20676
121,2020-06-21,20849
122,2020-06-22,21194
123,2020-06-23,21645
124,2020-06-24,22132
125,2020-06-25,22648
126,2020-06-26,23112
127,2020-06-27,23510
128,2020-06-28,23895
129,2020-06-29,24652
130,2020-06-30,25438
131,2020-07-01,26410
132,2020-07-02,27556
133,2020-07-03,28495
134,2020-07-04,29316
135,2020-07-05,30147
136,2020-07-06,31281
137,2020-07-07,32671
138,2020-07-08,33998
139,2020-07-09,35523
140,2020-07-10,36932
141,2020-07-11,38100
142,2020-07-12,39338
143,2020-07-13,41058
144,2020-07-14,42662
145,2020-07-15,44539
146,2020-07-16,46478
147,2020-07-17,48083
148,2020-07-18,49531
149,2020-07-19,50547
150,2020-07-20,52434
151,2020-07-21,54440
152,2020-07-22,56484
153,2020-07-23,58474
154,2020-07-24,60304
155,2020-07-25,61416
156,2020-07-26,62458
157,2020-07-27,64506
158,2020-07-28,66631
159,2020-07-29,68585
160,2020-07-30,70372
161,2020-07-31,71734
162,2020-08-01,72359
163,2020-08-02,73067
164,2020-08-03,74867
165,2020-08-04,76596
166,2020-08-05,78286
167,2020-08-06,79963
168,2020-08-07,81727
169,2020-08-08,82481
170,2020-08-09,83405
171,2020-08-10,85109
172,2020-08-11,86932
173,2020-08-12,88554
174,2020-08-13,90197
175,2020-08-14,91585
176,2020-08-15,92342
177,2020-08-16,93410
178,2020-08-17,95060
179,2020-08-18,96709
180,2020-08-19,98349
181,2020-08-20,99836
182,2020-08-21,101329
183,2020-08-22,102040
184,2020-08-23,103005
185,2020-08-24,104905
186,2020-08-25,106861
187,2020-08-26,108814
188,2020-08-27,110885
189,2020-08-28,112717
190,2020-08-29,113627
191,2020-08-30,114728
192,2020-08-31,116906
193,2020-09-01,119158
194,2020-09-02,122351
195,2020-09-03,125012
196,2020-09-04,127635
197,2020-09-05,129140
198,2020-09-06,131317
199,2020-09-07,134705
200,2020-09-08,138194
201,2020-09-09,142190
202,2020-09-10,146351
203,2020-09-11,150326
204,2020-09-12,153045
205,2020-09-13,156220
206,2020-09-14,161025
207,2020-09-15,166564
208,2020-09-16,171138
209,2020-09-17,176523
210,2020-09-18,181863
211,2020-09-19,185672
212,2020-09-20,188251
213,2020-09-21,192117
214,2020-09-22,199138
215,2020-09-23,206263
216,2020-09-24,214497
217,2020-09-25,222887
218,2020-09-26,228769
219,2020-09-27,232183
220,2020-09-28,233342
221,2020-09-29,238333
222,2020-09-30,247411
223,2020-10-01,255142
224,2020-10-02,262200
225,2020-10-03,264793
226,2020-10-04,267730
227,2020-10-05,273451
228,2020-10-06,278175
229,2020-10-07,282340
230,2020-10-08,286095
231,2020-10-09,289058
232,2020-10-10,289974
233,2020-10-11,291620
234,2020-10-12,294789
235,2020-10-13,297125
236,2020-10-14,299242
237,2020-10-15,300854
238,2020-10-16,302354
239,2020-10-17,302765
240,2020-10-18,303687
241,2020-10-19,305204
242,2020-10-20,306397
243,2020-10-21,307569
244,2020-10-22,308601
245,2020-10-23,309450
246,2020-10-24,309696
247,2020-10-25,310303
248,2020-10-26,311187
249,2020-10-27,312074
250,2020-10-28,312797
251,2020-10-29,313441
252,2020-10-30,314121
253,2020-10-31,314349
254,2020-11-01,315007
255,2020-11-02,315795
256,2020-11-03,316641
257,2020-11-04,317410
258,2020-11-05,317980
259,2020-11-06,318671
260,2020-11-07,318883
261,2020-11-08,319417
262,2020-11-09,320136
263,2020-11-10,320811
264,2020-11-11,321574
265,2020-11-12,322410
266,2020-11-13,323171
267,2020-11-14,323463
