,Date,Cases
0,2020-01-31,2
1,2020-02-01,2
2,2020-02-02,2
3,2020-02-03,2
4,2020-02-04,2
5,2020-02-05,2
6,2020-02-06,2
7,2020-02-07,3
8,2020-02-08,3
9,2020-02-09,3
10,2020-02-10,3
11,2020-02-11,3
12,2020-02-12,3
13,2020-02-13,3
14,2020-02-14,3
15,2020-02-15,3
16,2020-02-16,3
17,2020-02-17,3
18,2020-02-18,3
19,2020-02-19,3
20,2020-02-20,3
21,2020-02-21,20
22,2020-02-22,62
23,2020-02-23,155
24,2020-02-24,229
25,2020-02-25,322
26,2020-02-26,453
27,2020-02-27,655
28,2020-02-28,888
29,2020-02-29,1128
30,2020-03-01,1694
31,2020-03-02,2036
32,2020-03-03,2502
33,2020-03-04,3089
34,2020-03-05,3858
35,2020-03-06,4636
36,2020-03-07,5883
37,2020-03-08,7375
38,2020-03-09,9172
39,2020-03-10,10149
40,2020-03-11,12462
41,2020-03-12,15113
42,2020-03-13,17660
43,2020-03-14,21157
44,2020-03-15,24747
45,2020-03-16,27980
46,2020-03-17,31506
47,2020-03-18,35713
48,2020-03-19,41035
49,2020-03-20,47021
50,2020-03-21,53578
51,2020-03-22,59138
52,2020-03-23,63927
53,2020-03-24,69176
54,2020-03-25,74386
55,2020-03-26,80589
56,2020-03-27,86498
57,2020-03-28,92472
58,2020-03-29,97689
59,2020-03-30,101739
60,2020-03-31,105792
61,2020-04-01,110574
62,2020-04-02,115242
63,2020-04-03,119827
64,2020-04-04,124632
65,2020-04-05,128948
66,2020-04-06,132547
67,2020-04-07,135586
68,2020-04-08,139422
69,2020-04-09,143626
70,2020-04-10,147577
71,2020-04-11,152271
72,2020-04-12,156363
73,2020-04-13,159516
74,2020-04-14,162488
75,2020-04-15,165155
76,2020-04-16,168941
77,2020-04-17,172434
78,2020-04-18,175925
79,2020-04-19,178972
80,2020-04-20,181228
81,2020-04-21,183957
82,2020-04-22,187327
83,2020-04-23,189973
84,2020-04-24,192994
85,2020-04-25,195351
86,2020-04-26,197675
87,2020-04-27,199414
88,2020-04-28,201505
89,2020-04-29,203591
90,2020-04-30,205463
91,2020-05-01,207428
92,2020-05-02,209328
93,2020-05-03,210717
94,2020-05-04,211938
95,2020-05-05,213013
96,2020-05-06,214457
97,2020-05-07,215858
98,2020-05-08,217185
99,2020-05-09,218268
100,2020-05-10,219070
101,2020-05-11,219814
102,2020-05-12,221216
103,2020-05-13,222104
104,2020-05-14,223096
105,2020-05-15,223885
106,2020-05-16,224760
107,2020-05-17,225435
108,2020-05-18,225886
109,2020-05-19,226699
110,2020-05-20,227364
111,2020-05-21,228006
112,2020-05-22,228658
113,2020-05-23,229327
114,2020-05-24,229858
115,2020-05-25,230158
116,2020-05-26,230555
117,2020-05-27,231139
118,2020-05-28,231732
119,2020-05-29,232248
120,2020-05-30,232664
121,2020-05-31,232997
122,2020-06-01,233197
123,2020-06-02,233515
124,2020-06-03,233836
125,2020-06-04,234013
126,2020-06-05,234531
127,2020-06-06,234801
128,2020-06-07,234998
129,2020-06-08,235278
130,2020-06-09,235561
131,2020-06-10,235763
132,2020-06-11,236142
133,2020-06-12,236305
134,2020-06-13,236651
135,2020-06-14,236989
136,2020-06-15,237290
137,2020-06-16,237500
138,2020-06-17,237828
139,2020-06-18,238159
140,2020-06-19,238011
141,2020-06-20,238275
142,2020-06-21,238499
143,2020-06-22,238720
144,2020-06-23,238833
145,2020-06-24,239410
146,2020-06-25,239706
147,2020-06-26,239961
148,2020-06-27,240136
149,2020-06-28,240310
150,2020-06-29,240436
151,2020-06-30,240578
152,2020-07-01,240760
153,2020-07-02,240961
154,2020-07-03,241184
155,2020-07-04,241419
156,2020-07-05,241611
157,2020-07-06,241819
158,2020-07-07,241956
159,2020-07-08,242149
160,2020-07-09,242363
161,2020-07-10,242639
162,2020-07-11,242827
163,2020-07-12,243061
164,2020-07-13,243230
165,2020-07-14,243344
166,2020-07-15,243506
167,2020-07-16,243736
168,2020-07-17,243967
169,2020-07-18,244216
170,2020-07-19,244434
171,2020-07-20,244624
172,2020-07-21,244752
173,2020-07-22,245032
174,2020-07-23,245338
175,2020-07-24,245590
176,2020-07-25,245864
177,2020-07-26,246118
178,2020-07-27,246286
179,2020-07-28,246488
180,2020-07-29,246776
181,2020-07-30,247158
182,2020-07-31,247537
183,2020-08-01,247832
184,2020-08-02,248070
185,2020-08-03,248229
186,2020-08-04,248419
187,2020-08-05,248803
188,2020-08-06,249204
189,2020-08-07,249756
190,2020-08-08,250103
191,2020-08-09,250566
192,2020-08-10,250825
193,2020-08-11,251237
194,2020-08-12,251713
195,2020-08-13,252235
196,2020-08-14,252809
