,Date,Cases
0,2020-03-11,1
1,2020-03-12,2
2,2020-03-13,8
3,2020-03-14,8
4,2020-03-15,10
5,2020-03-16,10
6,2020-03-17,12
7,2020-03-18,13
8,2020-03-19,15
9,2020-03-20,16
10,2020-03-21,16
11,2020-03-22,19
12,2020-03-23,19
13,2020-03-24,21
14,2020-03-25,26
15,2020-03-26,26
16,2020-03-27,26
17,2020-03-28,30
18,2020-03-29,32
19,2020-03-30,36
20,2020-03-31,36
21,2020-04-01,44
22,2020-04-02,47
23,2020-04-03,47
24,2020-04-04,53
25,2020-04-05,58
26,2020-04-06,58
27,2020-04-07,63
28,2020-04-08,63
29,2020-04-09,63
30,2020-04-10,63
31,2020-04-11,65
32,2020-04-12,69
33,2020-04-13,73
34,2020-04-14,73
35,2020-04-15,125
36,2020-04-16,143
37,2020-04-17,143
38,2020-04-18,163
39,2020-04-19,173
40,2020-04-20,223
41,2020-04-21,223
42,2020-04-22,233
43,2020-04-23,257
44,2020-04-24,288
45,2020-04-25,305
46,2020-04-26,350
47,2020-04-27,364
48,2020-04-28,364
49,2020-04-29,396
50,2020-04-30,422
51,2020-05-01,432
52,2020-05-02,463
53,2020-05-03,469
54,2020-05-04,471
55,2020-05-05,473
56,2020-05-06,478
57,2020-05-07,488
58,2020-05-08,490
59,2020-05-09,490
60,2020-05-10,502
61,2020-05-11,505
62,2020-05-12,507
63,2020-05-13,509
64,2020-05-14,509
65,2020-05-15,511
66,2020-05-16,517
67,2020-05-17,520
68,2020-05-18,520
69,2020-05-19,520
70,2020-05-20,529
71,2020-05-21,534
72,2020-05-22,544
73,2020-05-23,550
74,2020-05-24,552
75,2020-05-25,556
76,2020-05-26,564
77,2020-05-27,569
78,2020-05-28,569
79,2020-05-29,575
80,2020-05-30,581
81,2020-05-31,586
82,2020-06-01,588
83,2020-06-02,590
84,2020-06-03,591
85,2020-06-04,591
86,2020-06-05,595
87,2020-06-06,596
88,2020-06-07,598
89,2020-06-08,599
90,2020-06-09,605
91,2020-06-10,605
92,2020-06-11,611
93,2020-06-12,614
94,2020-06-13,615
95,2020-06-14,617
96,2020-06-15,621
97,2020-06-16,621
98,2020-06-17,626
99,2020-06-18,638
100,2020-06-19,652
101,2020-06-20,657
102,2020-06-21,659
103,2020-06-22,665
104,2020-06-23,670
105,2020-06-24,678
106,2020-06-25,684
107,2020-06-26,686
108,2020-06-27,690
109,2020-06-28,696
110,2020-06-29,698
111,2020-06-30,702
112,2020-07-01,707
113,2020-07-02,715
114,2020-07-03,721
115,2020-07-04,728
116,2020-07-05,732
117,2020-07-06,737
118,2020-07-07,745
119,2020-07-08,751
120,2020-07-09,753
121,2020-07-10,753
122,2020-07-11,758
123,2020-07-12,758
124,2020-07-13,759
125,2020-07-14,762
126,2020-07-15,763
127,2020-07-16,765
128,2020-07-17,768
129,2020-07-18,774
130,2020-07-19,790
131,2020-07-20,809
132,2020-07-21,810
133,2020-07-22,816
134,2020-07-23,821
135,2020-07-24,831
136,2020-07-25,837
137,2020-07-26,842
138,2020-07-27,853
139,2020-07-28,855
140,2020-07-29,856
141,2020-07-30,864
142,2020-07-31,878
143,2020-08-01,883
144,2020-08-02,894
145,2020-08-03,905
146,2020-08-04,920
147,2020-08-05,928
148,2020-08-06,958
149,2020-08-07,987
150,2020-08-08,1003
151,2020-08-09,1023
152,2020-08-10,1031
153,2020-08-11,1047
154,2020-08-12,1065
155,2020-08-13,1071
156,2020-08-14,1082
157,2020-08-15,1082
158,2020-08-16,1113
159,2020-08-17,1129
160,2020-08-18,1146
161,2020-08-19,1192
162,2020-08-20,1290
163,2020-08-21,1346
164,2020-08-22,1346
165,2020-08-23,1529
166,2020-08-24,1612
167,2020-08-25,1732
168,2020-08-26,1804
169,2020-08-27,1870
170,2020-08-28,2011
171,2020-08-29,2113
172,2020-08-30,2357
173,2020-08-31,2459
174,2020-09-01,2459
175,2020-09-02,2683
176,2020-09-03,2896
177,2020-09-04,2964
178,2020-09-05,3024
179,2020-09-06,3103
180,2020-09-07,3183
181,2020-09-08,3323
182,2020-09-09,3437
183,2020-09-10,3511
184,2020-09-11,3511
185,2020-09-12,3623
186,2020-09-13,3771
187,2020-09-14,3933
188,2020-09-15,4042
189,2020-09-16,4164
190,2020-09-17,4374
191,2020-09-18,4571
192,2020-09-19,4758
193,2020-09-20,4988
194,2020-09-21,5143
195,2020-09-22,5270
196,2020-09-23,5395
197,2020-09-24,5588
198,2020-09-25,5723
199,2020-09-26,5854
200,2020-09-27,6017
201,2020-09-28,6170
202,2020-09-29,6408
203,2020-09-30,6482
204,2020-10-01,6555
205,2020-10-02,6704
206,2020-10-03,6795
207,2020-10-04,6895
208,2020-10-05,7012
209,2020-10-06,7109
210,2020-10-07,7191
211,2020-10-08,7273
212,2020-10-09,7363
213,2020-10-10,7559
214,2020-10-11,7718
215,2020-10-12,7813
216,2020-10-13,7910
217,2020-10-14,7989
218,2020-10-15,8067
219,2020-10-16,8132
220,2020-10-17,8195
221,2020-10-18,8274
222,2020-10-19,8321
223,2020-10-20,8374
224,2020-10-21,8445
225,2020-10-22,8600
226,2020-10-23,8638
227,2020-10-24,8670
228,2020-10-25,8714
229,2020-10-26,8749
230,2020-10-27,8787
231,2020-10-28,8851
232,2020-10-29,8927
233,2020-10-30,9005
234,2020-10-31,9094
235,2020-11-01,9131
236,2020-11-02,9257
237,2020-11-03,9296
238,2020-11-04,9326
239,2020-11-05,9373
240,2020-11-06,9426
241,2020-11-07,9472
242,2020-11-08,9506
243,2020-11-09,9542
244,2020-11-10,9573
245,2020-11-11,9581
246,2020-11-12,9634
247,2020-11-13,9723
248,2020-11-14,9780
249,2020-11-15,9884
250,2020-11-16,9929
251,2020-11-17,9959
252,2020-11-18,10019
253,2020-11-19,10088
254,2020-11-20,10151
255,2020-11-21,10240
256,2020-11-22,10284
257,2020-11-23,10343
258,2020-11-24,10422
259,2020-11-25,10488
260,2020-11-26,10541
261,2020-11-27,10600
262,2020-11-28,10669
263,2020-11-29,10709
264,2020-11-30,10763
265,2020-12-01,10810
266,2020-12-02,10864
267,2020-12-03,10911
268,2020-12-04,10987
269,2020-12-05,11063
270,2020-12-06,11120
271,2020-12-07,11184
272,2020-12-08,11271
273,2020-12-09,11369
274,2020-12-10,11443
275,2020-12-11,11509
276,2020-12-12,11608
277,2020-12-13,11710
278,2020-12-14,11792
279,2020-12-15,11875
280,2020-12-16,11907
281,2020-12-17,11968
282,2020-12-18,12039
283,2020-12-19,12135
284,2020-12-20,12224
285,2020-12-21,12289
286,2020-12-22,12354
287,2020-12-23,12423
288,2020-12-24,12519
289,2020-12-25,12597
290,2020-12-26,12684
291,2020-12-27,12723
292,2020-12-28,12732
293,2020-12-29,12752
294,2020-12-30,12793
295,2020-12-31,12827
296,2021-01-01,12915
297,2021-01-02,12931
298,2021-01-03,13049
299,2021-01-04,13203
300,2021-01-05,13246
301,2021-01-06,13330
302,2021-01-07,13368
303,2021-01-08,13411
304,2021-01-09,13455
305,2021-01-10,13548
306,2021-01-11,13637
307,2021-01-12,13760
308,2021-01-13,13852
309,2021-01-14,13915
310,2021-01-15,13992
311,2021-01-16,14096
312,2021-01-17,14161
313,2021-01-18,14274
314,2021-01-19,14419
315,2021-01-20,14487
316,2021-01-21,14550
317,2021-01-22,14658
318,2021-01-23,14772
319,2021-01-24,14879
320,2021-01-25,15012
321,2021-01-26,15153
322,2021-01-27,15241
323,2021-01-28,15435
