,Date,Cases
0,2020-01-22,2
1,2020-01-23,2
2,2020-01-24,2
3,2020-01-25,2
4,2020-01-26,4
5,2020-01-27,4
6,2020-01-28,7
7,2020-01-29,7
8,2020-01-30,11
9,2020-01-31,15
10,2020-02-01,20
11,2020-02-02,20
12,2020-02-03,20
13,2020-02-04,22
14,2020-02-05,23
15,2020-02-06,23
16,2020-02-07,23
17,2020-02-08,24
18,2020-02-09,24
19,2020-02-10,26
20,2020-02-11,27
21,2020-02-12,28
22,2020-02-13,33
23,2020-02-14,43
24,2020-02-15,54
25,2020-02-16,60
26,2020-02-17,67
27,2020-02-18,79
28,2020-02-19,85
29,2020-02-20,95
30,2020-02-21,112
31,2020-02-22,137
32,2020-02-23,149
33,2020-02-24,160
34,2020-02-25,173
35,2020-02-26,192
36,2020-02-27,218
37,2020-02-28,236
38,2020-02-29,245
39,2020-03-01,259
40,2020-03-02,278
41,2020-03-03,298
42,2020-03-04,333
43,2020-03-05,365
44,2020-03-06,420
45,2020-03-07,466
46,2020-03-08,499
47,2020-03-09,527
48,2020-03-10,585
49,2020-03-11,640
50,2020-03-12,696
51,2020-03-13,733
52,2020-03-14,795
53,2020-03-15,826
54,2020-03-16,843
55,2020-03-17,893
56,2020-03-18,928
57,2020-03-19,968
58,2020-03-20,1022
59,2020-03-21,1059
60,2020-03-22,1104
61,2020-03-23,1144
62,2020-03-24,1217
63,2020-03-25,1314
64,2020-03-26,1416
65,2020-03-27,1530
66,2020-03-28,1728
67,2020-03-29,1907
68,2020-03-30,2001
69,2020-03-31,2255
70,2020-04-01,2535
71,2020-04-02,2818
72,2020-04-03,3154
73,2020-04-04,3525
74,2020-04-05,3876
75,2020-04-06,4110
76,2020-04-07,4485
77,2020-04-08,5020
78,2020-04-09,5614
79,2020-04-10,6250
80,2020-04-11,6951
81,2020-04-12,7473
82,2020-04-13,7773
83,2020-04-14,8277
84,2020-04-15,8835
85,2020-04-16,9398
86,2020-04-17,9958
87,2020-04-18,10548
88,2020-04-19,10914
89,2020-04-20,11258
90,2020-04-21,11641
91,2020-04-22,12037
92,2020-04-23,12469
93,2020-04-24,12854
94,2020-04-25,13186
95,2020-04-26,13405
96,2020-04-27,13576
97,2020-04-28,13860
98,2020-04-29,14076
99,2020-04-30,14284
100,2020-05-01,14558
101,2020-05-02,14861
102,2020-05-03,15061
103,2020-05-04,15229
104,2020-05-05,15354
105,2020-05-06,15455
106,2020-05-07,15553
107,2020-05-08,15640
108,2020-05-09,15755
109,2020-05-10,15824
110,2020-05-11,15861
111,2020-05-12,15948
112,2020-05-13,15998
113,2020-05-14,16096
114,2020-05-15,16148
115,2020-05-16,16202
116,2020-05-17,16226
117,2020-05-18,16259
118,2020-05-19,16287
119,2020-05-20,16321
120,2020-05-21,16362
121,2020-05-22,16385
122,2020-05-23,16410
123,2020-05-24,16451
124,2020-05-25,16472
125,2020-05-26,16502
126,2020-05-27,16528
127,2020-05-28,16598
128,2020-05-29,16673
129,2020-05-30,16716
130,2020-05-31,16751
131,2020-06-01,16787
132,2020-06-02,16837
133,2020-06-03,16867
134,2020-06-04,16911
135,2020-06-05,16958
136,2020-06-06,17000
137,2020-06-07,17039
138,2020-06-08,17060
139,2020-06-09,17111
140,2020-06-10,17146
141,2020-06-11,17187
142,2020-06-12,17250
143,2020-06-13,17293
144,2020-06-14,17369
145,2020-06-15,17439
146,2020-06-16,17484
147,2020-06-17,17530
148,2020-06-18,17588
149,2020-06-19,17658
150,2020-06-20,17725
151,2020-06-21,17780
152,2020-06-22,17820
153,2020-06-23,17879
154,2020-06-24,17963
155,2020-06-25,18055
156,2020-06-26,18162
157,2020-06-27,18254
158,2020-06-28,18366
159,2020-06-29,18476
160,2020-06-30,18615
161,2020-07-01,18838
162,2020-07-02,19055
163,2020-07-03,19185
164,2020-07-04,19461
165,2020-07-05,19668
166,2020-07-06,19848
167,2020-07-07,20055
168,2020-07-08,20261
169,2020-07-09,20617
170,2020-07-10,21044
171,2020-07-11,21430
172,2020-07-12,21841
173,2020-07-13,22125
174,2020-07-14,22437
175,2020-07-15,23172
176,2020-07-16,23510
177,2020-07-17,24104
178,2020-07-18,24946
179,2020-07-19,25446
