,Date,Cases
0,2020-03-03,1
1,2020-03-04,1
2,2020-03-05,1
3,2020-03-06,1
4,2020-03-07,1
5,2020-03-08,1
6,2020-03-09,1
7,2020-03-10,1
8,2020-03-11,1
9,2020-03-12,1
10,2020-03-13,1
11,2020-03-14,1
12,2020-03-15,8
13,2020-03-16,17
14,2020-03-17,34
15,2020-03-18,52
16,2020-03-19,69
17,2020-03-20,85
18,2020-03-21,85
19,2020-03-22,112
20,2020-03-23,127
21,2020-03-24,154
22,2020-03-25,172
23,2020-03-26,212
24,2020-03-27,235
25,2020-03-28,246
26,2020-03-29,259
27,2020-03-30,268
28,2020-03-31,274
29,2020-04-01,278
30,2020-04-02,299
31,2020-04-03,310
32,2020-04-04,323
33,2020-04-05,345
34,2020-04-06,349
35,2020-04-07,353
36,2020-04-08,358
37,2020-04-09,372
38,2020-04-10,372
39,2020-04-11,381
40,2020-04-12,389
41,2020-04-13,391
42,2020-04-14,397
43,2020-04-15,401
44,2020-04-16,402
45,2020-04-17,407
46,2020-04-18,413
47,2020-04-19,417
48,2020-04-20,425
49,2020-04-21,428
50,2020-04-22,435
51,2020-04-23,437
52,2020-04-24,441
53,2020-04-25,444
54,2020-04-26,447
55,2020-04-27,449
56,2020-04-28,449
57,2020-04-29,451
58,2020-04-30,453
59,2020-05-01,459
60,2020-05-02,460
61,2020-05-03,461
62,2020-05-04,465
63,2020-05-05,471
64,2020-05-06,473
65,2020-05-07,494
66,2020-05-08,508
67,2020-05-09,522
68,2020-05-10,540
69,2020-05-11,562
70,2020-05-12,576
71,2020-05-13,582
72,2020-05-14,586
73,2020-05-15,596
74,2020-05-16,607
75,2020-05-17,613
76,2020-05-18,629
77,2020-05-19,649
78,2020-05-20,672
79,2020-05-21,684
80,2020-05-22,700
81,2020-05-23,704
82,2020-05-24,708
83,2020-05-25,711
84,2020-05-26,718
85,2020-05-27,720
86,2020-05-28,728
87,2020-05-29,730
88,2020-05-30,734
89,2020-05-31,739
90,2020-06-01,746
91,2020-06-02,755
92,2020-06-03,757
93,2020-06-04,765
94,2020-06-05,784
95,2020-06-06,795
96,2020-06-07,808
97,2020-06-08,831
98,2020-06-09,845
99,2020-06-10,863
100,2020-06-11,890
101,2020-06-12,915
102,2020-06-13,953
103,2020-06-14,961
104,2020-06-15,979
105,2020-06-16,981
106,2020-06-17,987
107,2020-06-18,1001
108,2020-06-19,1008
109,2020-06-20,1015
110,2020-06-21,1033
111,2020-06-22,1042
112,2020-06-23,1047
113,2020-06-24,1071
114,2020-06-25,1086
115,2020-06-26,1104
116,2020-06-27,1111
117,2020-06-28,1121
118,2020-06-29,1128
119,2020-06-30,1132
120,2020-07-01,1133
121,2020-07-02,1136
122,2020-07-03,1147
123,2020-07-04,1150
124,2020-07-05,1164
125,2020-07-06,1167
126,2020-07-07,1169
127,2020-07-08,1169
128,2020-07-09,1169
129,2020-07-10,1173
130,2020-07-11,1176
131,2020-07-12,1179
132,2020-07-13,1183
133,2020-07-14,1198
134,2020-07-15,1201
135,2020-07-16,1206
136,2020-07-17,1209
137,2020-07-18,1214
138,2020-07-19,1218
139,2020-07-20,1223
140,2020-07-21,1113
141,2020-07-22,1120
142,2020-07-23,1131
143,2020-07-24,1146
144,2020-07-25,1154
145,2020-07-26,1168
146,2020-07-27,1176
147,2020-07-28,1182
148,2020-07-29,1187
149,2020-07-30,1191
150,2020-07-31,1193
151,2020-08-01,1208
152,2020-08-02,1213
153,2020-08-03,1218
154,2020-08-04,1224
155,2020-08-05,1231
156,2020-08-06,1232
157,2020-08-07,1237
158,2020-08-08,1246
159,2020-08-09,1252
160,2020-08-10,1268
161,2020-08-11,1283
162,2020-08-12,1303
163,2020-08-13,1320
164,2020-08-14,1329
165,2020-08-15,1339
166,2020-08-16,1378
167,2020-08-17,1398
168,2020-08-18,1438
169,2020-08-19,1482
170,2020-08-20,1498
171,2020-08-21,1532
172,2020-08-22,1576
173,2020-08-23,1609
174,2020-08-24,1639
175,2020-08-25,1716
176,2020-08-26,1756
177,2020-08-27,1801
178,2020-08-28,1869
179,2020-08-29,1893
180,2020-08-30,1966
181,2020-08-31,2034
182,2020-09-01,2097
183,2020-09-02,2161
184,2020-09-03,2233
185,2020-09-04,2301
186,2020-09-05,2353
187,2020-09-06,2411
188,2020-09-07,2478
189,2020-09-08,2581
190,2020-09-09,2659
191,2020-09-10,2739
192,2020-09-11,2945
193,2020-09-12,3062
194,2020-09-13,3314
195,2020-09-14,3528
196,2020-09-15,3677
197,2020-09-16,3852
198,2020-09-17,4131
199,2020-09-18,4344
200,2020-09-19,4540
201,2020-09-20,4779
202,2020-09-21,5045
203,2020-09-22,5679
204,2020-09-23,6042
205,2020-09-24,6591
206,2020-09-25,7211
207,2020-09-26,8061
208,2020-09-27,8492
209,2020-09-28,9226
210,2020-09-29,10049
211,2020-09-30,11825
212,2020-10-01,13101
213,2020-10-02,13650
214,2020-10-03,14749
215,2020-10-04,15640
216,2020-10-05,17464
217,2020-10-06,19001
218,2020-10-07,20200
219,2020-10-08,21517
220,2020-10-09,22763
221,2020-10-10,23998
222,2020-10-11,24926
223,2020-10-12,26073
224,2020-10-13,28127
225,2020-10-14,30550
226,2020-10-15,33009
227,2020-10-16,34548
228,2020-10-17,36053
229,2020-10-18,37573
230,2020-10-19,38937
231,2020-10-20,40972
232,2020-10-21,43620
233,2020-10-22,46441
234,2020-10-23,48930
235,2020-10-24,50750
236,2020-10-25,53087
237,2020-10-26,55055
238,2020-10-27,58855
239,2020-10-28,61942
240,2020-10-29,65385
241,2020-10-30,69306
242,2020-10-31,72607
243,2020-11-01,75866
244,2020-11-02,81743
245,2020-11-03,86576
246,2020-11-04,91234
247,2020-11-05,95864
248,2020-11-06,101248
249,2020-11-07,104802
250,2020-11-08,109321
251,2020-11-09,114986
252,2020-11-10,120982
253,2020-11-11,126401
254,2020-11-12,132086
255,2020-11-13,136555
256,2020-11-14,141305
257,2020-11-15,143678
258,2020-11-16,149539
259,2020-11-17,155993
260,2020-11-18,163926
261,2020-11-19,169395
262,2020-11-20,174335
263,2020-11-21,178161
264,2020-11-22,183429
265,2020-11-23,188410
266,2020-11-24,192996
267,2020-11-25,198021
268,2020-11-26,203021
269,2020-11-27,207601
270,2020-11-28,210709
271,2020-11-29,214307
272,2020-11-30,219430
273,2020-12-01,223617
274,2020-12-02,227208
275,2020-12-03,231237
276,2020-12-04,234353
277,2020-12-05,237513
278,2020-12-06,240089
279,2020-12-07,244069
280,2020-12-08,247131
281,2020-12-09,250219
282,2020-12-10,253121
283,2020-12-11,255459
284,2020-12-12,257275
285,2020-12-13,259614
286,2020-12-14,262477
287,2020-12-15,265024
288,2020-12-16,267585
289,2020-12-17,269806
290,2020-12-18,271514
291,2020-12-19,272797
292,2020-12-20,274949
293,2020-12-21,277448
294,2020-12-22,279892
295,2020-12-23,281983
296,2020-12-24,283690
297,2020-12-25,285306
298,2020-12-26,286356
299,2020-12-27,287946
300,2020-12-28,289748
301,2020-12-29,291393
302,2020-12-30,293067
303,2020-12-31,294494
304,2021-01-01,295765
305,2021-01-02,296668
306,2021-01-03,298208
307,2021-01-04,299831
308,2021-01-05,301303
309,2021-01-06,302856
310,2021-01-07,304071
311,2021-01-08,305163
312,2021-01-09,305959
313,2021-01-10,307209
314,2021-01-11,308670
315,2021-01-12,309846
316,2021-01-13,310968
317,2021-01-14,312043
318,2021-01-15,312851
319,2021-01-16,313557
320,2021-01-17,314514
321,2021-01-18,315544
322,2021-01-19,316427
323,2021-01-20,317405
324,2021-01-21,318181
325,2021-01-22,318911
326,2021-01-23,319519
327,2021-01-24,320453
328,2021-01-25,321298
329,2021-01-26,322241
330,2021-01-27,323111
331,2021-01-28,324169
