,Date,Cases
0,2020-03-13,4
1,2020-03-14,6
2,2020-03-15,9
3,2020-03-16,10
4,2020-03-17,33
5,2020-03-18,35
6,2020-03-19,44
7,2020-03-20,49
8,2020-03-21,53
9,2020-03-22,61
10,2020-03-23,62
11,2020-03-24,72
12,2020-03-25,81
13,2020-03-26,111
14,2020-03-27,150
15,2020-03-28,228
16,2020-03-29,284
17,2020-03-30,302
18,2020-03-31,343
19,2020-04-01,380
20,2020-04-02,435
21,2020-04-03,464
22,2020-04-04,531
23,2020-04-05,584
24,2020-04-06,662
25,2020-04-07,697
26,2020-04-08,727
27,2020-04-09,781
28,2020-04-10,812
29,2020-04-11,865
30,2020-04-12,951
31,2020-04-13,1091
32,2020-04-14,1232
33,2020-04-15,1295
34,2020-04-16,1402
35,2020-04-17,1546
36,2020-04-18,1615
37,2020-04-19,1676
38,2020-04-20,1852
39,2020-04-21,1995
40,2020-04-22,2135
41,2020-04-23,2289
42,2020-04-24,2482
43,2020-04-25,2601
44,2020-04-26,2717
45,2020-04-27,2835
46,2020-04-28,3027
47,2020-04-29,3138
48,2020-04-30,3402
49,2020-05-01,3597
50,2020-05-02,3857
51,2020-05-03,3920
52,2020-05-04,4049
53,2020-05-05,4205
54,2020-05-06,4422
55,2020-05-07,4578
56,2020-05-08,4834
57,2020-05-09,4975
58,2020-05-10,5090
59,2020-05-11,5207
60,2020-05-12,5279
61,2020-05-13,5417
62,2020-05-14,5571
63,2020-05-15,5689
64,2020-05-16,5850
65,2020-05-17,6157
66,2020-05-18,6751
67,2020-05-19,6751
68,2020-05-20,6969
69,2020-05-21,7234
70,2020-05-22,7919
71,2020-05-23,7919
72,2020-05-24,8531
73,2020-05-25,8969
74,2020-05-26,8969
75,2020-05-27,9304
76,2020-05-28,9576
77,2020-05-29,9932
78,2020-05-30,10382
79,2020-05-31,10858
80,2020-06-01,11308
81,2020-06-02,11571
82,2020-06-03,12067
83,2020-06-04,12067
84,2020-06-05,12312
85,2020-06-06,12511
86,2020-06-07,12694
87,2020-06-08,12859
88,2020-06-09,13074
89,2020-06-10,13319
90,2020-06-11,13872
91,2020-06-12,13872
92,2020-06-13,14238
93,2020-06-14,14496
94,2020-06-15,15192
95,2020-06-16,15542
96,2020-06-17,15877
97,2020-06-18,15877
98,2020-06-19,16779
99,2020-06-20,17225
100,2020-06-21,17732
101,2020-06-22,18231
102,2020-06-23,18765
103,2020-06-24,19285
104,2020-06-25,19750
105,2020-06-26,20319
106,2020-06-27,20319
107,2020-06-28,21327
108,2020-06-29,21819
109,2020-06-30,22308
110,2020-07-01,41065
111,2020-07-02,42574
112,2020-07-03,45719
113,2020-07-04,47171
114,2020-07-05,48574
115,2020-07-06,49683
116,2020-07-07,51059
117,2020-07-08,51059
118,2020-07-09,54747
119,2020-07-10,56455
120,2020-07-11,58253
121,2020-07-12,58253
122,2020-07-13,61755
123,2020-07-14,63514
124,2020-07-15,65188
125,2020-07-16,66895
126,2020-07-17,68703
127,2020-07-18,68703
128,2020-07-19,71838
129,2020-07-20,73468
130,2020-07-21,75153
131,2020-07-22,75153
132,2020-07-23,78486
133,2020-07-24,80226
134,2020-07-25,81720
135,2020-07-26,83122
136,2020-07-27,84648
137,2020-07-28,86192
138,2020-07-29,87664
139,2020-07-30,89078
140,2020-07-31,90367
141,2020-08-01,90367
142,2020-08-02,96774
143,2020-08-03,98641
144,2020-08-04,100075
145,2020-08-05,102936
146,2020-08-06,105526
147,2020-08-07,107930
148,2020-08-08,109939
149,2020-08-09,111822
150,2020-08-10,112722
151,2020-08-11,113501
152,2020-08-12,115615
153,2020-08-13,117104
154,2020-08-14,118514
155,2020-08-15,119781
156,2020-08-16,121161
157,2020-08-17,121639
158,2020-08-18,121973
159,2020-08-19,123325
160,2020-08-20,124356
161,2020-08-21,125335
162,2020-08-22,126243
163,2020-08-23,127203
164,2020-08-24,127462
165,2020-08-25,127462
166,2020-08-26,127462
167,2020-08-27,127664
168,2020-08-28,128618
169,2020-08-29,130040
170,2020-08-30,130673
171,2020-08-31,130673
172,2020-09-01,131596
173,2020-09-02,131695
174,2020-09-03,132354
175,2020-09-04,132924
176,2020-09-05,133028
177,2020-09-06,133924
178,2020-09-07,134123
179,2020-09-08,134203
180,2020-09-09,134726
181,2020-09-10,135159
182,2020-09-11,135589
183,2020-09-12,135964
184,2020-09-13,136384
185,2020-09-14,136513
186,2020-09-15,136586
187,2020-09-16,137058
188,2020-09-17,137393
189,2020-09-18,137713
190,2020-09-19,138013
191,2020-09-20,138348
192,2020-09-21,138455
193,2020-09-22,138542
194,2020-09-23,138982
195,2020-09-24,139289
196,2020-09-25,139581
197,2020-09-26,139882
198,2020-09-27,140175
199,2020-09-28,140265
200,2020-09-29,140333
201,2020-09-30,140707
202,2020-10-01,140958
203,2020-10-02,141256
204,2020-10-03,141484
205,2020-10-04,141748
206,2020-10-05,141844
207,2020-10-06,141904
208,2020-10-07,142239
209,2020-10-08,142597
210,2020-10-09,142945
211,2020-10-10,143280
212,2020-10-11,143632
213,2020-10-12,143740
214,2020-10-13,143814
215,2020-10-14,144218
216,2020-10-15,144328
217,2020-10-16,144761
218,2020-10-17,145019
219,2020-10-18,145320
220,2020-10-19,145473
221,2020-10-20,145603
222,2020-10-21,145966
223,2020-10-22,146288
224,2020-10-23,146653
225,2020-10-24,146982
226,2020-10-25,147297
227,2020-10-26,147463
228,2020-10-27,147615
229,2020-10-28,148037
230,2020-10-29,148479
231,2020-10-30,149066
232,2020-10-31,149699
233,2020-11-01,150380
234,2020-11-02,150863
235,2020-11-03,151321
236,2020-11-04,152022
237,2020-11-05,152725
238,2020-11-06,153547
239,2020-11-07,154321
240,2020-11-08,155220
241,2020-11-09,155876
242,2020-11-10,156451
243,2020-11-11,157261
244,2020-11-12,158036
245,2020-11-13,158853
246,2020-11-14,159756
247,2020-11-15,160612
248,2020-11-16,161850
249,2020-11-17,162555
250,2020-11-18,163585
251,2020-11-19,164578
252,2020-11-20,165558
253,2020-11-21,166468
254,2020-11-22,167341
255,2020-11-23,167385
256,2020-11-24,168803
257,2020-11-25,169827
258,2020-11-26,170808
259,2020-11-27,171795
260,2020-11-28,172805
261,2020-11-29,173763
262,2020-11-30,174563
263,2020-12-01,175565
264,2020-12-02,176342
265,2020-12-03,177386
266,2020-12-04,178378
267,2020-12-05,179344
268,2020-12-06,180089
269,2020-12-07,180777
270,2020-12-08,181721
271,2020-12-09,182657
272,2020-12-10,183630
273,2020-12-11,184557
274,2020-12-12,185513
275,2020-12-13,186277
276,2020-12-14,186960
277,2020-12-15,187890
278,2020-12-16,188837
279,2020-12-17,189551
280,2020-12-18,190292
281,2020-12-19,190969
282,2020-12-20,191650
283,2020-12-21,192579
284,2020-12-22,193503
285,2020-12-23,194257
286,2020-12-24,194993
287,2020-12-25,196216
288,2020-12-26,197142
289,2020-12-27,197902
290,2020-12-28,198659
291,2020-12-29,199555
292,2020-12-30,200443
293,2020-12-31,201196
294,2021-01-01,202060
295,2021-01-02,202880
296,2021-01-03,203563
297,2021-01-04,204293
298,2021-01-05,205064
299,2021-01-06,205933
300,2021-01-07,206840
301,2021-01-08,207683
302,2021-01-09,208596
303,2021-01-10,209369
304,2021-01-11,210086
305,2021-01-12,210976
306,2021-01-13,211901
307,2021-01-14,212812
308,2021-01-15,213855
309,2021-01-16,214927
310,2021-01-17,215947
311,2021-01-18,216964
312,2021-01-19,218216
313,2021-01-20,219527
314,2021-01-21,221053
315,2021-01-22,222701
316,2021-01-23,224395
317,2021-01-24,225891
318,2021-01-25,227165
319,2021-01-26,228692
320,2021-01-27,230188
321,2021-01-28,230188
