,Date,Cases
0,2020-03-13,1
1,2020-03-14,1
2,2020-03-15,3
3,2020-03-16,3
4,2020-03-17,3
5,2020-03-18,3
6,2020-03-19,7
7,2020-03-20,7
8,2020-03-21,7
9,2020-03-22,15
10,2020-03-23,16
11,2020-03-24,25
12,2020-03-25,28
13,2020-03-26,31
14,2020-03-27,31
15,2020-03-28,38
16,2020-03-29,42
17,2020-03-30,50
18,2020-03-31,59
19,2020-04-01,81
20,2020-04-02,110
21,2020-04-03,122
22,2020-04-04,126
23,2020-04-05,142
24,2020-04-06,158
25,2020-04-07,172
26,2020-04-08,179
27,2020-04-09,184
28,2020-04-10,189
29,2020-04-11,191
30,2020-04-12,197
31,2020-04-13,208
32,2020-04-14,216
33,2020-04-15,225
34,2020-04-16,234
35,2020-04-17,246
36,2020-04-18,262
37,2020-04-19,270
38,2020-04-20,281
39,2020-04-21,296
40,2020-04-22,303
41,2020-04-23,320
42,2020-04-24,336
43,2020-04-25,343
44,2020-04-26,355
45,2020-04-27,363
46,2020-04-28,374
47,2020-04-29,384
48,2020-04-30,396
49,2020-05-01,411
50,2020-05-02,435
51,2020-05-03,465
52,2020-05-04,490
53,2020-05-05,535
54,2020-05-06,582
55,2020-05-07,607
56,2020-05-08,621
57,2020-05-09,649
58,2020-05-10,672
59,2020-05-11,700
60,2020-05-12,715
61,2020-05-13,737
62,2020-05-14,758
63,2020-05-15,781
64,2020-05-16,830
65,2020-05-17,887
66,2020-05-18,912
67,2020-05-19,963
68,2020-05-20,1029
69,2020-05-21,1109
70,2020-05-22,1161
71,2020-05-23,1192
72,2020-05-24,1214
73,2020-05-25,1286
74,2020-05-26,1348
75,2020-05-27,1471
76,2020-05-28,1618
77,2020-05-29,1745
78,2020-05-30,1888
79,2020-05-31,1962
80,2020-06-01,2021
81,2020-06-02,2093
82,2020-06-03,2216
83,2020-06-04,2340
84,2020-06-05,2474
85,2020-06-06,2600
86,2020-06-07,2767
87,2020-06-08,2872
88,2020-06-09,2989
89,2020-06-10,3094
90,2020-06-11,3215
91,2020-06-12,3305
92,2020-06-13,3457
93,2020-06-14,3594
94,2020-06-15,3727
95,2020-06-16,3860
96,2020-06-17,4044
97,2020-06-18,4257
98,2020-06-19,4374
99,2020-06-20,4478
100,2020-06-21,4738
101,2020-06-22,4797
102,2020-06-23,4952
103,2020-06-24,5206
104,2020-06-25,5384
105,2020-06-26,5533
106,2020-06-27,5811
107,2020-06-28,6070
108,2020-06-29,6190
109,2020-06-30,6366
110,2020-07-01,6673
111,2020-07-02,6941
112,2020-07-03,7188
113,2020-07-04,7577
114,2020-07-05,7886
115,2020-07-06,8067
116,2020-07-07,8250
117,2020-07-08,8528
118,2020-07-09,8975
119,2020-07-10,9448
120,2020-07-11,9726
121,2020-07-12,10105
