,Date,Cases
0,2020-01-22,1
1,2020-01-23,1
2,2020-01-24,2
3,2020-01-25,2
4,2020-01-26,3
5,2020-01-27,4
6,2020-01-28,4
7,2020-01-29,4
8,2020-01-30,4
9,2020-01-31,11
10,2020-02-01,12
11,2020-02-02,15
12,2020-02-03,15
13,2020-02-04,16
14,2020-02-05,19
15,2020-02-06,23
16,2020-02-07,24
17,2020-02-08,24
18,2020-02-09,25
19,2020-02-10,27
20,2020-02-11,28
21,2020-02-12,28
22,2020-02-13,28
23,2020-02-14,28
24,2020-02-15,28
25,2020-02-16,29
26,2020-02-17,30
27,2020-02-18,31
28,2020-02-19,31
29,2020-02-20,104
30,2020-02-21,204
31,2020-02-22,433
32,2020-02-23,602
33,2020-02-24,833
34,2020-02-25,977
35,2020-02-26,1261
36,2020-02-27,1766
37,2020-02-28,2337
38,2020-02-29,3150
39,2020-03-01,3736
40,2020-03-02,4335
41,2020-03-03,5186
42,2020-03-04,5621
43,2020-03-05,6088
44,2020-03-06,6593
45,2020-03-07,7041
46,2020-03-08,7314
47,2020-03-09,7478
48,2020-03-10,7513
49,2020-03-11,7755
50,2020-03-12,7869
51,2020-03-13,7979
52,2020-03-14,8086
53,2020-03-15,8162
54,2020-03-16,8236
55,2020-03-17,8320
56,2020-03-18,8413
57,2020-03-19,8565
58,2020-03-20,8652
59,2020-03-21,8799
60,2020-03-22,8961
61,2020-03-23,8961
62,2020-03-24,9037
63,2020-03-25,9137
64,2020-03-26,9241
65,2020-03-27,9332
66,2020-03-28,9478
67,2020-03-29,9583
68,2020-03-30,9661
69,2020-03-31,9786
70,2020-04-01,9887
71,2020-04-02,9976
72,2020-04-03,10062
73,2020-04-04,10156
74,2020-04-05,10237
75,2020-04-06,10284
76,2020-04-07,10331
77,2020-04-08,10384
78,2020-04-09,10423
79,2020-04-10,10450
80,2020-04-11,10480
81,2020-04-12,10512
82,2020-04-13,10537
83,2020-04-14,10564
84,2020-04-15,10591
85,2020-04-16,10613
86,2020-04-17,10635
87,2020-04-18,10653
88,2020-04-19,10661
89,2020-04-20,10674
90,2020-04-21,10683
91,2020-04-22,10694
92,2020-04-23,10708
93,2020-04-24,10718
94,2020-04-25,10728
95,2020-04-26,10738
96,2020-04-27,10752
97,2020-04-28,10761
98,2020-04-29,10765
99,2020-04-30,10774
100,2020-05-01,10780
101,2020-05-02,10793
102,2020-05-03,10801
103,2020-05-04,10804
104,2020-05-05,10806
105,2020-05-06,10810
106,2020-05-07,10822
107,2020-05-08,10840
108,2020-05-09,10874
109,2020-05-10,10909
110,2020-05-11,10936
111,2020-05-12,10962
112,2020-05-13,10991
113,2020-05-14,11018
114,2020-05-15,11037
115,2020-05-16,11050
116,2020-05-17,11065
117,2020-05-18,11078
118,2020-05-19,11110
119,2020-05-20,11122
120,2020-05-21,11142
121,2020-05-22,11165
122,2020-05-23,11190
123,2020-05-24,11206
124,2020-05-25,11225
125,2020-05-26,11265
126,2020-05-27,11344
127,2020-05-28,11402
128,2020-05-29,11441
129,2020-05-30,11468
130,2020-05-31,11503
131,2020-06-01,11541
132,2020-06-02,11590
133,2020-06-03,11629
134,2020-06-04,11668
135,2020-06-05,11719
136,2020-06-06,11776
137,2020-06-07,11814
138,2020-06-08,11852
139,2020-06-09,11902
140,2020-06-10,11947
141,2020-06-11,12003
142,2020-06-12,12051
143,2020-06-13,12085
144,2020-06-14,12121
145,2020-06-15,12155
146,2020-06-16,12198
147,2020-06-17,12257
148,2020-06-18,12306
149,2020-06-19,12373
150,2020-06-20,12421
151,2020-06-21,12438
152,2020-06-22,12484
153,2020-06-23,12535
154,2020-06-24,12563
155,2020-06-25,12602
156,2020-06-26,12653
157,2020-06-27,12715
158,2020-06-28,12757
159,2020-06-29,12800
160,2020-06-30,12850
161,2020-07-01,12904
162,2020-07-02,12967
163,2020-07-03,13030
164,2020-07-04,13091
165,2020-07-05,13137
166,2020-07-06,13181
167,2020-07-07,13244
168,2020-07-08,13293
169,2020-07-09,13338
170,2020-07-10,13373
171,2020-07-11,13417
172,2020-07-12,13479
173,2020-07-13,13512
174,2020-07-14,13551
175,2020-07-15,13612
176,2020-07-16,13672
177,2020-07-17,13711
178,2020-07-18,13745
179,2020-07-19,13771
180,2020-07-20,13816
181,2020-07-21,13879
182,2020-07-22,13938
183,2020-07-23,13979
184,2020-07-24,14092
185,2020-07-25,14150
186,2020-07-26,14175
187,2020-07-27,14203
188,2020-07-28,14251
189,2020-07-29,14269
190,2020-07-30,14305
191,2020-07-31,14336
192,2020-08-01,14366
193,2020-08-02,14389
194,2020-08-03,14423
195,2020-08-04,14456
196,2020-08-05,14499
197,2020-08-06,14519
198,2020-08-07,14562
199,2020-08-08,14598
200,2020-08-09,14626
201,2020-08-10,14660
202,2020-08-11,14714
203,2020-08-12,14770
204,2020-08-13,14873
205,2020-08-14,15039
206,2020-08-15,15318
207,2020-08-16,15515
208,2020-08-17,15761
209,2020-08-18,16058
210,2020-08-19,16346
211,2020-08-20,16670
212,2020-08-21,17002
213,2020-08-22,17399
214,2020-08-23,17665
215,2020-08-24,17945
216,2020-08-25,18265
217,2020-08-26,18706
218,2020-08-27,19077
219,2020-08-28,19400
220,2020-08-29,19699
