,Date,Cases
0,2020-03-14,2
1,2020-03-15,5
2,2020-03-16,13
3,2020-03-17,16
4,2020-03-18,19
5,2020-03-19,20
6,2020-03-20,21
7,2020-03-21,24
8,2020-03-22,31
9,2020-03-23,33
10,2020-03-24,61
11,2020-03-25,63
12,2020-03-26,71
13,2020-03-27,86
14,2020-03-28,88
15,2020-03-29,91
16,2020-03-30,94
17,2020-03-31,106
18,2020-04-01,112
19,2020-04-02,125
20,2020-04-03,126
21,2020-04-04,135
22,2020-04-05,140
23,2020-04-06,145
24,2020-04-07,165
25,2020-04-08,184
26,2020-04-09,224
27,2020-04-10,227
28,2020-04-11,250
29,2020-04-12,283
30,2020-04-13,362
31,2020-04-14,377
32,2020-04-15,387
33,2020-04-16,423
34,2020-04-17,449
35,2020-04-18,480
36,2020-04-19,510
37,2020-04-20,561
38,2020-04-21,598
39,2020-04-22,604
40,2020-04-23,630
41,2020-04-24,669
42,2020-04-25,703
43,2020-04-26,731
44,2020-04-27,763
45,2020-04-28,780
46,2020-04-29,790
47,2020-04-30,799
48,2020-05-01,806
49,2020-05-02,813
50,2020-05-03,823
51,2020-05-04,851
52,2020-05-05,855
53,2020-05-06,856
54,2020-05-07,860
55,2020-05-08,861
56,2020-05-09,862
57,2020-05-10,870
58,2020-05-11,884
59,2020-05-12,895
60,2020-05-13,919
61,2020-05-14,927
62,2020-05-15,945
63,2020-05-16,955
64,2020-05-17,978
65,2020-05-18,985
66,2020-05-19,988
67,2020-05-20,989
68,2020-05-21,1003
69,2020-05-22,1004
70,2020-05-23,1025
71,2020-05-24,1032
72,2020-05-25,1038
73,2020-05-26,1038
74,2020-05-27,1047
75,2020-05-28,1048
76,2020-05-29,1052
77,2020-05-30,1064
78,2020-05-31,1070
79,2020-06-01,1083
80,2020-06-02,1110
81,2020-06-03,1123
82,2020-06-04,1142
83,2020-06-05,1147
84,2020-06-06,1158
85,2020-06-07,1194
86,2020-06-08,1234
87,2020-06-09,1263
88,2020-06-10,1269
89,2020-06-11,1298
90,2020-06-12,1326
91,2020-06-13,1384
92,2020-06-14,1437
93,2020-06-15,1486
94,2020-06-16,1615
95,2020-06-17,1756
96,2020-06-18,1833
97,2020-06-19,1916
98,2020-06-20,1998
99,2020-06-21,2073
100,2020-06-22,2169
101,2020-06-23,2216
102,2020-06-24,2268
103,2020-06-25,2363
104,2020-06-26,2432
105,2020-06-27,2494
106,2020-06-28,2590
107,2020-06-29,2677
108,2020-06-30,2799
109,2020-07-01,2878
110,2020-07-02,2991
111,2020-07-03,3064
112,2020-07-04,3178
113,2020-07-05,3356
114,2020-07-06,3508
115,2020-07-07,3703
116,2020-07-08,3886
117,2020-07-09,4100
118,2020-07-10,4307
119,2020-07-11,4512
120,2020-07-12,4715
121,2020-07-13,4931
122,2020-07-14,5118
123,2020-07-15,5237
