,Date,Cases
0,2020-02-24,1
1,2020-02-25,11
2,2020-02-26,26
3,2020-02-27,43
4,2020-02-28,45
5,2020-02-29,45
6,2020-03-01,45
7,2020-03-02,56
8,2020-03-03,56
9,2020-03-04,56
10,2020-03-05,58
11,2020-03-06,58
12,2020-03-07,61
13,2020-03-08,64
14,2020-03-09,64
15,2020-03-10,69
16,2020-03-11,72
17,2020-03-12,80
18,2020-03-13,80
19,2020-03-14,104
20,2020-03-15,112
21,2020-03-16,123
22,2020-03-17,130
23,2020-03-18,142
24,2020-03-19,148
25,2020-03-20,159
26,2020-03-21,176
27,2020-03-22,188
28,2020-03-23,189
29,2020-03-24,191
30,2020-03-25,195
31,2020-03-26,208
32,2020-03-27,225
33,2020-03-28,235
34,2020-03-29,255
35,2020-03-30,266
36,2020-03-31,289
37,2020-04-01,317
38,2020-04-02,342
39,2020-04-03,417
40,2020-04-04,479
41,2020-04-05,556
42,2020-04-06,665
43,2020-04-07,743
44,2020-04-08,855
45,2020-04-09,910
46,2020-04-10,993
47,2020-04-11,1154
48,2020-04-12,1234
49,2020-04-13,1300
50,2020-04-14,1355
51,2020-04-15,1405
52,2020-04-16,1524
53,2020-04-17,1658
54,2020-04-18,1751
55,2020-04-19,1915
56,2020-04-20,1995
57,2020-04-21,2080
58,2020-04-22,2248
59,2020-04-23,2399
60,2020-04-24,2614
61,2020-04-25,2892
62,2020-04-26,3075
63,2020-04-27,3288
64,2020-04-28,3440
65,2020-04-29,3740
66,2020-04-30,4024
67,2020-05-01,4377
68,2020-05-02,4619
69,2020-05-03,4983
70,2020-05-04,5278
71,2020-05-05,5804
72,2020-05-06,6289
73,2020-05-07,6567
74,2020-05-08,7208
75,2020-05-09,7623
76,2020-05-10,8688
77,2020-05-11,9286
78,2020-05-12,10277
79,2020-05-13,11028
80,2020-05-14,11975
81,2020-05-15,12860
82,2020-05-16,13802
83,2020-05-17,14850
84,2020-05-18,15691
85,2020-05-19,16764
