,Date,Cases
0,2020-03-18,3
1,2020-03-19,3
2,2020-03-20,6
3,2020-03-21,14
4,2020-03-22,14
5,2020-03-23,16
6,2020-03-24,42
7,2020-03-25,44
8,2020-03-26,44
9,2020-03-27,58
10,2020-03-28,58
11,2020-03-29,84
12,2020-03-30,94
13,2020-03-31,107
14,2020-04-01,111
15,2020-04-02,116
16,2020-04-03,130
17,2020-04-04,144
18,2020-04-05,147
19,2020-04-06,216
20,2020-04-07,228
21,2020-04-08,270
22,2020-04-09,280
23,2020-04-10,298
24,2020-04-11,339
25,2020-04-12,377
26,2020-04-13,419
27,2020-04-14,430
28,2020-04-15,449
29,2020-04-16,466
30,2020-04-17,489
31,2020-04-18,506
32,2020-04-19,554
33,2020-04-20,568
34,2020-04-21,590
35,2020-04-22,612
36,2020-04-23,631
37,2020-04-24,665
38,2020-04-25,665
39,2020-04-26,682
40,2020-04-27,695
41,2020-04-28,708
42,2020-04-29,729
43,2020-04-30,746
44,2020-05-01,756
45,2020-05-02,769
46,2020-05-03,795
47,2020-05-04,830
48,2020-05-05,843
49,2020-05-06,871
50,2020-05-07,895
51,2020-05-08,906
52,2020-05-09,931
53,2020-05-10,1002
54,2020-05-11,1016
55,2020-05-12,1037
56,2020-05-13,1044
57,2020-05-14,1082
58,2020-05-15,1111
59,2020-05-16,1117
60,2020-05-17,1138
61,2020-05-18,1216
62,2020-05-19,1243
63,2020-05-20,1270
64,2020-05-21,1313
65,2020-05-22,1350
66,2020-05-23,1365
67,2020-05-24,1403
68,2020-05-25,1433
69,2020-05-26,1468
70,2020-05-27,1520
71,2020-05-28,1594
72,2020-05-29,1662
73,2020-05-30,1722
74,2020-05-31,1748
75,2020-06-01,1817
76,2020-06-02,1845
77,2020-06-03,1871
78,2020-06-04,1899
79,2020-06-05,1936
80,2020-06-06,1974
81,2020-06-07,2007
82,2020-06-08,2032
83,2020-06-09,2055
84,2020-06-10,2093
85,2020-06-11,2166
86,2020-06-12,2166
87,2020-06-13,2207
88,2020-06-14,2285
89,2020-06-15,2472
90,2020-06-16,2562
91,2020-06-17,2657
92,2020-06-18,2657
93,2020-06-19,2789
94,2020-06-20,2981
95,2020-06-21,3356
96,2020-06-22,3356
97,2020-06-23,3726
98,2020-06-24,3954
99,2020-06-25,4204
100,2020-06-26,4446
101,2020-06-27,4513
102,2020-06-28,5017
103,2020-06-29,5296
104,2020-06-30,5506
105,2020-07-01,6261
106,2020-07-02,6767
107,2020-07-03,6878
108,2020-07-04,7094
109,2020-07-05,7377
110,2020-07-06,8141
111,2020-07-07,8279
112,2020-07-08,8847
113,2020-07-09,9358
114,2020-07-10,9910
115,2020-07-11,10410
116,2020-07-12,11117
117,2020-07-13,11444
118,2020-07-14,11444
119,2020-07-15,12282
120,2020-07-16,12498
121,2020-07-17,13101
122,2020-07-18,24606
123,2020-07-19,27143
124,2020-07-20,27143
125,2020-07-21,28251
126,2020-07-22,28980
127,2020-07-23,31247
128,2020-07-24,31247
129,2020-07-25,32124
130,2020-07-26,32813
131,2020-07-27,33296
132,2020-07-28,33844
133,2020-07-29,34592
134,2020-07-30,35223
135,2020-07-31,35805
136,2020-08-01,36299
137,2020-08-02,36719
138,2020-08-03,37129
139,2020-08-04,37541
140,2020-08-05,38110
141,2020-08-06,38659
142,2020-08-07,39162
143,2020-08-08,39571
144,2020-08-09,39919
145,2020-08-10,40085
146,2020-08-11,40455
147,2020-08-12,40759
148,2020-08-13,41069
149,2020-08-14,41373
150,2020-08-15,41645
151,2020-08-16,41856
152,2020-08-17,41991
153,2020-08-18,42146
154,2020-08-19,42325
155,2020-08-20,42507
156,2020-08-21,42703
157,2020-08-22,42889
158,2020-08-23,43023
159,2020-08-24,43126
160,2020-08-25,43245
161,2020-08-26,43358
162,2020-08-27,43459
163,2020-08-28,43587
164,2020-08-29,43712
165,2020-08-30,43820
166,2020-08-31,43898
167,2020-09-01,43958
168,2020-09-02,44036
169,2020-09-03,44135
170,2020-09-04,44199
171,2020-09-05,44293
172,2020-09-06,44403
173,2020-09-07,44458
174,2020-09-08,44487
175,2020-09-09,44613
176,2020-09-10,44684
177,2020-09-11,44761
178,2020-09-12,44828
179,2020-09-13,44881
180,2020-09-14,44928
181,2020-09-15,44999
182,2020-09-16,45072
