,Date,Cases
0,2020-03-24,2
1,2020-03-25,3
2,2020-03-26,6
3,2020-03-27,6
4,2020-03-28,8
5,2020-03-29,8
6,2020-03-30,8
7,2020-03-31,9
8,2020-04-01,10
9,2020-04-02,10
10,2020-04-03,10
11,2020-04-04,10
12,2020-04-05,11
13,2020-04-06,12
14,2020-04-07,14
15,2020-04-08,15
16,2020-04-09,16
17,2020-04-10,16
18,2020-04-11,18
19,2020-04-12,19
20,2020-04-13,19
21,2020-04-14,19
22,2020-04-15,19
23,2020-04-16,19
24,2020-04-17,19
25,2020-04-18,19
26,2020-04-19,19
27,2020-04-20,19
28,2020-04-21,19
29,2020-04-22,19
30,2020-04-23,19
31,2020-04-24,19
32,2020-04-25,19
33,2020-04-26,19
34,2020-04-27,19
35,2020-04-28,19
36,2020-04-29,19
37,2020-04-30,19
38,2020-05-01,19
39,2020-05-02,19
40,2020-05-03,19
41,2020-05-04,19
42,2020-05-05,19
43,2020-05-06,19
44,2020-05-07,19
45,2020-05-08,19
46,2020-05-09,19
47,2020-05-10,19
48,2020-05-11,19
49,2020-05-12,19
50,2020-05-13,19
51,2020-05-14,19
52,2020-05-15,19
53,2020-05-16,19
54,2020-05-17,19
55,2020-05-18,19
56,2020-05-19,19
57,2020-05-20,19
58,2020-05-21,19
59,2020-05-22,19
60,2020-05-23,19
61,2020-05-24,19
62,2020-05-25,19
63,2020-05-26,19
64,2020-05-27,19
65,2020-05-28,19
66,2020-05-29,19
67,2020-05-30,19
68,2020-05-31,19
69,2020-06-01,19
70,2020-06-02,19
71,2020-06-03,19
72,2020-06-04,19
73,2020-06-05,19
74,2020-06-06,19
75,2020-06-07,19
76,2020-06-08,19
77,2020-06-09,19
78,2020-06-10,19
79,2020-06-11,19
80,2020-06-12,19
81,2020-06-13,19
82,2020-06-14,19
83,2020-06-15,19
84,2020-06-16,19
85,2020-06-17,19
86,2020-06-18,19
87,2020-06-19,19
88,2020-06-20,19
89,2020-06-21,19
90,2020-06-22,19
91,2020-06-23,19
92,2020-06-24,19
93,2020-06-25,19
94,2020-06-26,19
95,2020-06-27,19
96,2020-06-28,19
97,2020-06-29,19
98,2020-06-30,19
99,2020-07-01,19
100,2020-07-02,19
101,2020-07-03,19
102,2020-07-04,19
103,2020-07-05,19
104,2020-07-06,19
105,2020-07-07,19
106,2020-07-08,19
107,2020-07-09,19
108,2020-07-10,19
109,2020-07-11,19
110,2020-07-12,19
111,2020-07-13,19
112,2020-07-14,19
113,2020-07-15,19
114,2020-07-16,19
115,2020-07-17,19
116,2020-07-18,19
117,2020-07-19,19
118,2020-07-20,19
119,2020-07-21,19
120,2020-07-22,19
121,2020-07-23,19
122,2020-07-24,20
123,2020-07-25,20
124,2020-07-26,20
125,2020-07-27,20
126,2020-07-28,20
127,2020-07-29,20
128,2020-07-30,20
129,2020-07-31,20
130,2020-08-01,20
131,2020-08-02,20
132,2020-08-03,20
133,2020-08-04,20
134,2020-08-05,20
135,2020-08-06,20
136,2020-08-07,20
137,2020-08-08,20
138,2020-08-09,20
139,2020-08-10,20
140,2020-08-11,20
141,2020-08-12,20
142,2020-08-13,20
143,2020-08-14,22
144,2020-08-15,22
145,2020-08-16,22
146,2020-08-17,22
147,2020-08-18,22
148,2020-08-19,22
149,2020-08-20,22
150,2020-08-21,22
151,2020-08-22,22
152,2020-08-23,22
153,2020-08-24,22
154,2020-08-25,22
155,2020-08-26,22
156,2020-08-27,22
157,2020-08-28,22
158,2020-08-29,22
159,2020-08-30,22
160,2020-08-31,22
161,2020-09-01,22
162,2020-09-02,22
163,2020-09-03,22
164,2020-09-04,22
165,2020-09-05,22
166,2020-09-06,22
167,2020-09-07,22
168,2020-09-08,22
169,2020-09-09,22
170,2020-09-10,22
171,2020-09-11,23
172,2020-09-12,23
173,2020-09-13,23
174,2020-09-14,23
175,2020-09-15,23
176,2020-09-16,23
177,2020-09-17,23
178,2020-09-18,23
179,2020-09-19,23
180,2020-09-20,23
181,2020-09-21,23
182,2020-09-22,23
183,2020-09-23,23
184,2020-09-24,23
185,2020-09-25,23
186,2020-09-26,23
187,2020-09-27,23
188,2020-09-28,23
189,2020-09-29,23
190,2020-09-30,23
191,2020-10-01,23
192,2020-10-02,23
193,2020-10-03,23
194,2020-10-04,23
195,2020-10-05,23
196,2020-10-06,23
197,2020-10-07,23
198,2020-10-08,23
199,2020-10-09,23
200,2020-10-10,23
201,2020-10-11,23
202,2020-10-12,23
203,2020-10-13,23
204,2020-10-14,23
205,2020-10-15,23
206,2020-10-16,23
207,2020-10-17,23
208,2020-10-18,23
209,2020-10-19,23
210,2020-10-20,23
211,2020-10-21,24
212,2020-10-22,24
213,2020-10-23,24
214,2020-10-24,24
215,2020-10-25,24
216,2020-10-26,24
217,2020-10-27,24
218,2020-10-28,24
219,2020-10-29,24
220,2020-10-30,24
221,2020-10-31,24
222,2020-11-01,24
223,2020-11-02,24
224,2020-11-03,24
225,2020-11-04,24
226,2020-11-05,24
227,2020-11-06,24
228,2020-11-07,24
229,2020-11-08,24
230,2020-11-09,24
231,2020-11-10,24
232,2020-11-11,24
233,2020-11-12,24
234,2020-11-13,24
235,2020-11-14,24
236,2020-11-15,24
237,2020-11-16,24
238,2020-11-17,25
239,2020-11-18,25
240,2020-11-19,25
241,2020-11-20,25
242,2020-11-21,25
243,2020-11-22,25
244,2020-11-23,39
245,2020-11-24,39
246,2020-11-25,39
247,2020-11-26,39
248,2020-11-27,39
249,2020-11-28,39
250,2020-11-29,39
251,2020-11-30,39
252,2020-12-01,39
253,2020-12-02,39
254,2020-12-03,39
255,2020-12-04,39
256,2020-12-05,39
257,2020-12-06,39
258,2020-12-07,41
259,2020-12-08,41
260,2020-12-09,41
261,2020-12-10,41
262,2020-12-11,41
263,2020-12-12,41
264,2020-12-13,41
265,2020-12-14,41
266,2020-12-15,41
267,2020-12-16,41
