,Date,Cases
0,2020-03-02,1
1,2020-03-03,1
2,2020-03-04,1
3,2020-03-05,1
4,2020-03-06,1
5,2020-03-07,1
6,2020-03-08,2
7,2020-03-09,6
8,2020-03-10,8
9,2020-03-11,10
10,2020-03-12,10
11,2020-03-13,17
12,2020-03-14,26
13,2020-03-15,30
14,2020-03-16,34
15,2020-03-17,49
16,2020-03-18,71
17,2020-03-19,86
18,2020-03-20,111
19,2020-03-21,124
20,2020-03-22,139
21,2020-03-23,180
22,2020-03-24,197
23,2020-03-25,221
24,2020-03-26,244
25,2020-03-27,280
26,2020-03-28,305
27,2020-03-29,347
28,2020-03-30,376
29,2020-03-31,398
30,2020-04-01,446
31,2020-04-02,458
32,2020-04-03,493
33,2020-04-04,509
34,2020-04-05,533
35,2020-04-06,542
36,2020-04-07,548
37,2020-04-08,577
38,2020-04-09,589
39,2020-04-10,612
40,2020-04-11,630
41,2020-04-12,651
42,2020-04-13,655
43,2020-04-14,657
44,2020-04-15,666
45,2020-04-16,675
46,2020-04-17,682
47,2020-04-18,712
48,2020-04-19,727
49,2020-04-20,739
50,2020-04-21,748
51,2020-04-22,761
52,2020-04-23,778
53,2020-04-24,784
54,2020-04-25,804
55,2020-04-26,812
56,2020-04-27,818
57,2020-04-28,836
58,2020-04-29,849
59,2020-04-30,858
60,2020-05-01,870
61,2020-05-02,871
62,2020-05-03,879
63,2020-05-04,896
64,2020-05-05,896
65,2020-05-06,900
66,2020-05-07,909
67,2020-05-08,928
68,2020-05-09,930
69,2020-05-10,939
70,2020-05-11,946
71,2020-05-12,950
72,2020-05-13,951
73,2020-05-14,962
74,2020-05-15,970
75,2020-05-16,997
76,2020-05-17,1008
77,2020-05-18,1009
78,2020-05-19,1012
79,2020-05-20,1016
80,2020-05-21,1025
81,2020-05-22,1030
82,2020-05-23,1046
83,2020-05-24,1047
84,2020-05-25,1049
85,2020-05-26,1053
86,2020-05-27,1057
87,2020-05-28,1061
88,2020-05-29,1064
89,2020-05-30,1065
90,2020-05-31,1066
91,2020-06-01,1066
92,2020-06-02,1071
93,2020-06-03,1079
94,2020-06-04,1082
95,2020-06-05,1085
96,2020-06-06,1086
97,2020-06-07,1088
98,2020-06-08,1088
99,2020-06-09,1089
100,2020-06-10,1092
101,2020-06-11,1094
102,2020-06-12,1096
103,2020-06-13,1097
104,2020-06-14,1097
105,2020-06-15,1097
106,2020-06-16,1098
107,2020-06-17,1104
108,2020-06-18,1108
109,2020-06-19,1110
110,2020-06-20,1111
111,2020-06-21,1111
112,2020-06-22,1111
113,2020-06-23,1111
114,2020-06-24,1111
115,2020-06-25,1111
116,2020-06-26,1112
117,2020-06-27,1115
118,2020-06-28,1116
