,Date,Cases
0,2020-02-21,1
1,2020-02-22,1
2,2020-02-23,1
3,2020-02-24,1
4,2020-02-25,1
5,2020-02-26,2
6,2020-02-27,2
7,2020-02-28,2
8,2020-02-29,4
9,2020-03-01,10
10,2020-03-02,13
11,2020-03-03,13
12,2020-03-04,13
13,2020-03-05,16
14,2020-03-06,22
15,2020-03-07,22
16,2020-03-08,32
17,2020-03-09,32
18,2020-03-10,41
19,2020-03-11,61
20,2020-03-12,61
21,2020-03-13,77
22,2020-03-14,93
23,2020-03-15,110
24,2020-03-16,110
25,2020-03-17,120
26,2020-03-18,133
27,2020-03-19,157
28,2020-03-20,163
29,2020-03-21,187
30,2020-03-22,248
31,2020-03-23,267
32,2020-03-24,318
33,2020-03-25,333
34,2020-03-26,368
35,2020-03-27,391
36,2020-03-28,412
37,2020-03-29,438
38,2020-03-30,446
39,2020-03-31,470
40,2020-04-01,479
41,2020-04-02,494
42,2020-04-03,508
43,2020-04-04,520
44,2020-04-05,527
45,2020-04-06,541
46,2020-04-07,548
47,2020-04-08,576
48,2020-04-09,582
49,2020-04-10,609
50,2020-04-11,619
51,2020-04-12,630
52,2020-04-13,632
53,2020-04-14,641
54,2020-04-15,658
55,2020-04-16,663
56,2020-04-17,668
57,2020-04-18,672
58,2020-04-19,673
59,2020-04-20,677
60,2020-04-21,677
61,2020-04-22,682
62,2020-04-23,688
63,2020-04-24,696
64,2020-04-25,704
65,2020-04-26,707
66,2020-04-27,710
67,2020-04-28,717
68,2020-04-29,721
69,2020-04-30,725
70,2020-05-01,729
71,2020-05-02,733
72,2020-05-03,737
73,2020-05-04,740
74,2020-05-05,741
75,2020-05-06,750
76,2020-05-07,784
77,2020-05-08,796
78,2020-05-09,809
79,2020-05-10,845
80,2020-05-11,859
81,2020-05-12,870
82,2020-05-13,878
83,2020-05-14,886
84,2020-05-15,891
85,2020-05-16,902
86,2020-05-17,911
87,2020-05-18,931
88,2020-05-19,954
89,2020-05-20,961
90,2020-05-21,1024
91,2020-05-22,1086
92,2020-05-23,1097
93,2020-05-24,1114
94,2020-05-25,1119
95,2020-05-26,1140
96,2020-05-27,1161
97,2020-05-28,1168
98,2020-05-29,1172
99,2020-05-30,1191
100,2020-05-31,1220
101,2020-06-01,1233
102,2020-06-02,1242
103,2020-06-03,1256
104,2020-06-04,1306
105,2020-06-05,1312
106,2020-06-06,1320
107,2020-06-07,1331
108,2020-06-08,1350
109,2020-06-09,1368
110,2020-06-10,1388
111,2020-06-11,1402
112,2020-06-12,1422
113,2020-06-13,1442
114,2020-06-14,1446
115,2020-06-15,1464
116,2020-06-16,1473
117,2020-06-17,1489
118,2020-06-18,1495
119,2020-06-19,1510
120,2020-06-20,1536
121,2020-06-21,1587
122,2020-06-22,1603
123,2020-06-23,1622
124,2020-06-24,1644
125,2020-06-25,1662
126,2020-06-26,1697
127,2020-06-27,1719
128,2020-06-28,1740
129,2020-06-29,1745
130,2020-06-30,1778
131,2020-07-01,1788
132,2020-07-02,1796
133,2020-07-03,1830
134,2020-07-04,1855
135,2020-07-05,1873
136,2020-07-06,1885
137,2020-07-07,1907
138,2020-07-08,1946
139,2020-07-09,2011
140,2020-07-10,2082
141,2020-07-11,2168
142,2020-07-12,2334
143,2020-07-13,2419
144,2020-07-14,2451
145,2020-07-15,2542
146,2020-07-16,2599
147,2020-07-17,2700
148,2020-07-18,2775
149,2020-07-19,2859
150,2020-07-20,2905
151,2020-07-21,2980
152,2020-07-22,3104
153,2020-07-23,3260
154,2020-07-24,3407
155,2020-07-25,3582
156,2020-07-26,3750
157,2020-07-27,3882
158,2020-07-28,4023
159,2020-07-29,4205
160,2020-07-30,4334
161,2020-07-31,4555
162,2020-08-01,4730
163,2020-08-02,4885
164,2020-08-03,5062
165,2020-08-04,5062
166,2020-08-05,5417
167,2020-08-06,5672
168,2020-08-07,5951
169,2020-08-08,6223
170,2020-08-09,6517
171,2020-08-10,6812
172,2020-08-11,7121
173,2020-08-12,7413
174,2020-08-13,7711
175,2020-08-14,8045
176,2020-08-15,8442
177,2020-08-16,8881
178,2020-08-17,9337
179,2020-08-18,9758
180,2020-08-19,10347
181,2020-08-20,10952
182,2020-08-21,11580
183,2020-08-22,12191
184,2020-08-23,12698
185,2020-08-24,13155
186,2020-08-25,13687
187,2020-08-26,14248
188,2020-08-27,14937
189,2020-08-28,15613
190,2020-08-29,16275
191,2020-08-30,16870
192,2020-08-31,17308
193,2020-09-01,17777
194,2020-09-02,18375
195,2020-09-03,18963
196,2020-09-04,19490
197,2020-09-05,20011
198,2020-09-06,20426
199,2020-09-07,20826
200,2020-09-08,21324
201,2020-09-09,21877
202,2020-09-10,22437
203,2020-09-11,22983
204,2020-09-12,23669
205,2020-09-13,24310
206,2020-09-14,25401
207,2020-09-15,25449
208,2020-09-16,26083
209,2020-09-17,26768
210,2020-09-18,27518
211,2020-09-19,28297
212,2020-09-20,29303
213,2020-09-21,29987
214,2020-09-22,30852
215,2020-09-23,31792
216,2020-09-24,32819
217,2020-09-25,33962
218,2020-09-26,35242
219,2020-09-27,36254
220,2020-09-28,37272
221,2020-09-29,38377
222,2020-09-30,39634
223,2020-10-01,40882
224,2020-10-02,42173
225,2020-10-03,43494
226,2020-10-04,44482
227,2020-10-05,45657
228,2020-10-06,46918
229,2020-10-07,48377
230,2020-10-08,49744
231,2020-10-09,51170
232,2020-10-10,52558
233,2020-10-11,53568
234,2020-10-12,54624
235,2020-10-13,55869
236,2020-10-14,57246
237,2020-10-15,58745
238,2020-10-16,60113
239,2020-10-17,61284
240,2020-10-18,62286
241,2020-10-19,62944
242,2020-10-20,64336
243,2020-10-21,65577
244,2020-10-22,67027
245,2020-10-23,68479
246,2020-10-24,69906
247,2020-10-25,71390
248,2020-10-26,72186
249,2020-10-27,73995
250,2020-10-28,75845
251,2020-10-29,77778
252,2020-10-30,79529
253,2020-10-31,81228
254,2020-11-01,82617
255,2020-11-02,83697
256,2020-11-03,85209
257,2020-11-04,87097
258,2020-11-05,89186
259,2020-11-06,91328
260,2020-11-07,93097
261,2020-11-08,94236
262,2020-11-09,95355
263,2020-11-10,96907
264,2020-11-11,98829
265,2020-11-12,100703
266,2020-11-13,102607
267,2020-11-14,104267
268,2020-11-15,105430
269,2020-11-16,106446
270,2020-11-17,107953
271,2020-11-18,110037
272,2020-11-19,111946
