,Date,Cases
0,2020-05-13,1
1,2020-05-14,1
2,2020-05-15,1
3,2020-05-16,1
4,2020-05-17,1
5,2020-05-18,1
6,2020-05-19,1
7,2020-05-20,1
8,2020-05-21,1
9,2020-05-22,2
10,2020-05-23,2
11,2020-05-24,2
12,2020-05-25,2
13,2020-05-26,2
14,2020-05-27,2
15,2020-05-28,2
16,2020-05-29,2
17,2020-05-30,2
18,2020-05-31,2
19,2020-06-01,2
20,2020-06-02,2
21,2020-06-03,4
22,2020-06-04,4
23,2020-06-05,4
24,2020-06-06,4
25,2020-06-07,4
26,2020-06-08,4
27,2020-06-09,4
28,2020-06-10,4
29,2020-06-11,4
30,2020-06-12,4
31,2020-06-13,4
32,2020-06-14,4
33,2020-06-15,4
34,2020-06-16,4
35,2020-06-17,4
36,2020-06-18,4
37,2020-06-19,4
38,2020-06-20,4
39,2020-06-21,4
40,2020-06-22,12
41,2020-06-23,17
42,2020-06-24,17
43,2020-06-25,17
44,2020-06-26,24
45,2020-06-27,24
46,2020-06-28,27
47,2020-06-29,27
48,2020-06-30,27
49,2020-07-01,35
50,2020-07-02,35
51,2020-07-03,35
52,2020-07-04,35
53,2020-07-05,79
54,2020-07-06,91
55,2020-07-07,91
56,2020-07-08,91
57,2020-07-09,134
58,2020-07-10,184
59,2020-07-11,184
60,2020-07-12,233
61,2020-07-13,245
62,2020-07-14,256
63,2020-07-15,256
64,2020-07-16,256
65,2020-07-17,311
66,2020-07-18,359
67,2020-07-19,359
68,2020-07-20,359
69,2020-07-21,359
70,2020-07-22,359
71,2020-07-23,359
72,2020-07-24,359
73,2020-07-25,419
74,2020-07-26,505
75,2020-07-27,505
76,2020-07-28,505
77,2020-07-29,576
78,2020-07-30,604
79,2020-07-31,604
80,2020-08-01,702
81,2020-08-02,718
82,2020-08-03,718
83,2020-08-04,726
84,2020-08-05,726
85,2020-08-06,742
86,2020-08-07,742
87,2020-08-08,742
88,2020-08-09,742
89,2020-08-10,781
90,2020-08-11,781
91,2020-08-12,798
92,2020-08-13,884
93,2020-08-14,884
94,2020-08-15,903
95,2020-08-16,903
96,2020-08-17,946
97,2020-08-18,946
98,2020-08-19,946
99,2020-08-20,996
100,2020-08-21,1015
101,2020-08-22,1015
102,2020-08-23,1015
103,2020-08-24,1015
104,2020-08-25,1049
105,2020-08-26,1051
106,2020-08-27,1051
107,2020-08-28,1051
108,2020-08-29,1051
109,2020-08-30,1085
110,2020-08-31,1085
111,2020-09-01,1085
112,2020-09-02,1085
113,2020-09-03,1085
114,2020-09-04,1148
115,2020-09-05,1148
116,2020-09-06,1148
117,2020-09-07,1148
118,2020-09-08,1148
119,2020-09-09,1164
120,2020-09-10,1164
121,2020-09-11,1245
122,2020-09-12,1245
123,2020-09-13,1245
124,2020-09-14,1245
125,2020-09-15,1327
126,2020-09-16,1327
127,2020-09-17,1327
128,2020-09-18,1390
129,2020-09-19,1390
130,2020-09-20,1424
131,2020-09-21,1424
132,2020-09-22,1424
133,2020-09-23,1507
134,2020-09-24,1554
135,2020-09-25,1558
136,2020-09-26,1558
137,2020-09-27,1558
138,2020-09-28,1565
139,2020-09-29,1576
140,2020-09-30,1595
141,2020-10-01,1639
142,2020-10-02,1680
143,2020-10-03,1680
144,2020-10-04,1683
145,2020-10-05,1683
146,2020-10-06,1683
147,2020-10-07,1767
148,2020-10-08,1786
149,2020-10-09,1800
150,2020-10-10,1800
151,2020-10-11,1805
152,2020-10-12,1805
153,2020-10-13,1822
154,2020-10-14,1833
155,2020-10-15,1833
156,2020-10-16,1833
157,2020-10-17,1833
158,2020-10-18,1833
159,2020-10-19,1833
160,2020-10-20,1918
161,2020-10-21,1918
162,2020-10-22,1923
163,2020-10-23,1934
164,2020-10-24,1940
165,2020-10-25,1940
166,2020-10-26,1943
167,2020-10-27,1947
168,2020-10-28,1947
169,2020-10-29,1947
170,2020-10-30,1953
171,2020-10-31,1953
172,2020-11-01,1953
173,2020-11-02,1961
174,2020-11-03,1961
175,2020-11-04,1963
176,2020-11-05,1963
177,2020-11-06,1967
178,2020-11-07,1967
179,2020-11-08,1967
180,2020-11-09,1967
181,2020-11-10,2026
182,2020-11-11,2026
183,2020-11-12,2026
184,2020-11-13,2041
185,2020-11-14,2041
186,2020-11-15,2041
187,2020-11-16,2041
188,2020-11-17,2052
189,2020-11-18,2058
190,2020-11-19,2065
191,2020-11-20,2066
192,2020-11-21,2085
193,2020-11-22,2086
194,2020-11-23,2086
195,2020-11-24,2092
196,2020-11-25,2092
197,2020-11-26,2109
198,2020-11-27,2109
199,2020-11-28,2109
200,2020-11-29,2109
201,2020-11-30,2109
202,2020-12-01,2137
203,2020-12-02,2142
204,2020-12-03,2145
205,2020-12-04,2150
206,2020-12-05,2150
207,2020-12-06,2150
208,2020-12-07,2150
209,2020-12-08,2150
210,2020-12-09,2164
211,2020-12-10,2178
212,2020-12-11,2214
213,2020-12-12,2250
214,2020-12-13,2250
215,2020-12-14,2277
216,2020-12-15,2307
217,2020-12-16,2365
218,2020-12-17,2400
219,2020-12-18,2546
220,2020-12-19,2546
221,2020-12-20,2546
222,2020-12-21,2546
223,2020-12-22,2546
224,2020-12-23,2725
225,2020-12-24,2725
226,2020-12-25,2725
227,2020-12-26,2725
228,2020-12-27,2725
229,2020-12-28,2956
230,2020-12-29,3005
231,2020-12-30,3094
232,2020-12-31,3094
233,2021-01-01,3206
234,2021-01-02,3206
235,2021-01-03,3206
236,2021-01-04,3206
237,2021-01-05,3206
238,2021-01-06,4137
239,2021-01-07,4351
240,2021-01-08,5170
241,2021-01-09,5203
242,2021-01-10,5937
243,2021-01-11,5937
244,2021-01-12,5937
245,2021-01-13,6241
246,2021-01-14,6356
247,2021-01-15,6371
248,2021-01-16,6371
249,2021-01-17,6371
250,2021-01-18,7018
251,2021-01-19,7018
252,2021-01-20,7035
253,2021-01-21,7504
254,2021-01-22,7555
255,2021-01-23,7656
256,2021-01-24,7656
257,2021-01-25,8044
258,2021-01-26,8047
259,2021-01-27,8047
260,2021-01-28,8278
