,Date,Cases
0,2020-03-16,1
1,2020-03-17,1
2,2020-03-18,2
3,2020-03-19,2
4,2020-03-20,2
5,2020-03-21,3
6,2020-03-22,3
7,2020-03-23,3
8,2020-03-24,3
9,2020-03-25,3
10,2020-03-26,3
11,2020-03-27,3
12,2020-03-28,3
13,2020-03-29,3
14,2020-03-30,3
15,2020-03-31,3
16,2020-04-01,6
17,2020-04-02,6
18,2020-04-03,7
19,2020-04-04,10
20,2020-04-05,13
21,2020-04-06,14
22,2020-04-07,14
23,2020-04-08,31
24,2020-04-09,31
25,2020-04-10,37
26,2020-04-11,48
27,2020-04-12,50
28,2020-04-13,59
29,2020-04-14,59
30,2020-04-15,59
31,2020-04-16,59
32,2020-04-17,76
33,2020-04-18,76
34,2020-04-19,91
35,2020-04-20,99
36,2020-04-21,101
37,2020-04-22,101
38,2020-04-23,101
39,2020-04-24,117
40,2020-04-25,120
41,2020-04-26,124
42,2020-04-27,124
43,2020-04-28,141
44,2020-04-29,141
45,2020-04-30,141
46,2020-05-01,152
47,2020-05-02,154
48,2020-05-03,158
49,2020-05-04,166
50,2020-05-05,170
51,2020-05-06,178
52,2020-05-07,189
53,2020-05-08,199
54,2020-05-09,199
55,2020-05-10,199
56,2020-05-11,211
57,2020-05-12,211
58,2020-05-13,213
59,2020-05-14,215
60,2020-05-15,219
61,2020-05-16,223
62,2020-05-17,226
63,2020-05-18,229
64,2020-05-19,233
65,2020-05-20,238
66,2020-05-21,240
67,2020-05-22,249
68,2020-05-23,255
69,2020-05-24,265
70,2020-05-25,265
71,2020-05-26,266
72,2020-05-27,266
73,2020-05-28,269
74,2020-05-29,273
75,2020-05-30,280
76,2020-05-31,288
77,2020-06-01,296
78,2020-06-02,311
79,2020-06-03,316
80,2020-06-04,321
81,2020-06-05,334
82,2020-06-06,345
83,2020-06-07,359
84,2020-06-08,370
85,2020-06-09,383
86,2020-06-10,397
87,2020-06-11,410
88,2020-06-12,421
89,2020-06-13,446
90,2020-06-14,458
91,2020-06-15,498
92,2020-06-16,509
93,2020-06-17,516
94,2020-06-18,542
95,2020-06-19,581
96,2020-06-20,601
97,2020-06-21,626
98,2020-06-22,650
99,2020-06-23,652
100,2020-06-24,662
101,2020-06-25,681
102,2020-06-26,684
103,2020-06-27,729
104,2020-06-28,768
105,2020-06-29,770
106,2020-06-30,780
107,2020-07-01,804
108,2020-07-02,819
109,2020-07-03,833
110,2020-07-04,869
111,2020-07-05,874
112,2020-07-06,891
113,2020-07-07,917
114,2020-07-08,926
115,2020-07-09,957
116,2020-07-10,963
117,2020-07-11,998
118,2020-07-12,1010
119,2020-07-13,1024
120,2020-07-14,1024
121,2020-07-15,1056
122,2020-07-16,1070
123,2020-07-17,1085
124,2020-07-18,1088
125,2020-07-19,1091
126,2020-07-20,1107
127,2020-07-21,1108
128,2020-07-22,1114
129,2020-07-23,1117
130,2020-07-24,1135
131,2020-07-25,1155
132,2020-07-26,1162
133,2020-07-27,1167
134,2020-07-28,1177
135,2020-07-29,1179
136,2020-07-30,1181
137,2020-07-31,1186
138,2020-08-01,1189
139,2020-08-02,1207
140,2020-08-03,1214
141,2020-08-04,1216
142,2020-08-05,1221
143,2020-08-06,1224
144,2020-08-07,1230
145,2020-08-08,1234
146,2020-08-09,1237
147,2020-08-10,1240
148,2020-08-11,1250
149,2020-08-12,1252
150,2020-08-13,1252
151,2020-08-14,1252
152,2020-08-15,1257
153,2020-08-16,1257
154,2020-08-17,1277
155,2020-08-18,1282
156,2020-08-19,1282
157,2020-08-20,1284
158,2020-08-21,1285
159,2020-08-22,1286
160,2020-08-23,1286
161,2020-08-24,1290
162,2020-08-25,1295
163,2020-08-26,1298
164,2020-08-27,1298
165,2020-08-28,1298
166,2020-08-29,1304
167,2020-08-30,1304
168,2020-08-31,1304
169,2020-09-01,1305
170,2020-09-02,1305
171,2020-09-03,1306
172,2020-09-04,1306
173,2020-09-05,1306
174,2020-09-06,1307
175,2020-09-07,1311
176,2020-09-08,1311
177,2020-09-09,1313
178,2020-09-10,1315
179,2020-09-11,1315
180,2020-09-12,1316
181,2020-09-13,1319
182,2020-09-14,1321
183,2020-09-15,1327
184,2020-09-16,1332
185,2020-09-17,1333
186,2020-09-18,1334
187,2020-09-19,1335
188,2020-09-20,1335
189,2020-09-21,1336
190,2020-09-22,1336
191,2020-09-23,1337
192,2020-09-24,1338
193,2020-09-25,1338
194,2020-09-26,1338
195,2020-09-27,1339
196,2020-09-28,1342
197,2020-09-29,1343
198,2020-09-30,1343
199,2020-10-01,1343
200,2020-10-02,1346
201,2020-10-03,1347
202,2020-10-04,1348
203,2020-10-05,1354
204,2020-10-06,1354
205,2020-10-07,1355
206,2020-10-08,1360
207,2020-10-09,1360
208,2020-10-10,1363
209,2020-10-11,1363
210,2020-10-12,1371
211,2020-10-13,1371
212,2020-10-14,1372
213,2020-10-15,1374
214,2020-10-16,1377
215,2020-10-17,1377
216,2020-10-18,1377
217,2020-10-19,1381
218,2020-10-20,1384
