,Date,Cases
0,2020-03-24,1
1,2020-03-25,1
2,2020-03-26,1
3,2020-03-27,1
4,2020-03-28,3
5,2020-03-29,8
6,2020-03-30,8
7,2020-03-31,10
8,2020-04-01,10
9,2020-04-02,11
10,2020-04-03,11
11,2020-04-04,18
12,2020-04-05,18
13,2020-04-06,19
14,2020-04-07,20
15,2020-04-08,21
16,2020-04-09,24
17,2020-04-10,24
18,2020-04-11,24
19,2020-04-12,25
20,2020-04-13,26
21,2020-04-14,35
22,2020-04-15,48
23,2020-04-16,49
24,2020-04-17,49
25,2020-04-18,49
26,2020-04-19,51
27,2020-04-20,51
28,2020-04-21,51
29,2020-04-22,59
30,2020-04-23,60
31,2020-04-24,61
32,2020-04-25,61
33,2020-04-26,61
34,2020-04-27,61
35,2020-04-28,61
36,2020-04-29,61
37,2020-04-30,61
38,2020-05-01,63
39,2020-05-02,63
40,2020-05-03,63
41,2020-05-04,63
42,2020-05-05,63
43,2020-05-06,64
44,2020-05-07,64
45,2020-05-08,64
46,2020-05-09,64
47,2020-05-10,64
48,2020-05-11,64
49,2020-05-12,64
50,2020-05-13,64
51,2020-05-14,64
52,2020-05-15,64
53,2020-05-16,65
54,2020-05-17,65
55,2020-05-18,65
56,2020-05-19,68
57,2020-05-20,69
58,2020-05-21,71
59,2020-05-22,72
60,2020-05-23,75
61,2020-05-24,75
62,2020-05-25,75
63,2020-05-26,77
64,2020-05-27,99
65,2020-05-28,105
66,2020-05-29,118
67,2020-05-30,130
68,2020-05-31,156
69,2020-06-01,168
70,2020-06-02,182
71,2020-06-03,196
72,2020-06-04,209
73,2020-06-05,239
74,2020-06-06,256
75,2020-06-07,256
76,2020-06-08,332
77,2020-06-09,359
78,2020-06-10,378
79,2020-06-11,393
80,2020-06-12,409
81,2020-06-13,418
82,2020-06-14,454
83,2020-06-15,467
84,2020-06-16,484
85,2020-06-17,500
86,2020-06-18,510
87,2020-06-19,520
88,2020-06-20,544
89,2020-06-21,571
90,2020-06-22,595
91,2020-06-23,639
92,2020-06-24,670
93,2020-06-25,698
94,2020-06-26,713
95,2020-06-27,727
96,2020-06-28,762
97,2020-06-29,802
98,2020-06-30,824
99,2020-07-01,874
100,2020-07-02,891
101,2020-07-03,918
102,2020-07-04,989
103,2020-07-05,1046
104,2020-07-06,1117
105,2020-07-07,1182
106,2020-07-08,1268
107,2020-07-09,1342
108,2020-07-10,1342
109,2020-07-11,1389
110,2020-07-12,1433
111,2020-07-13,1512
112,2020-07-14,1563
113,2020-07-15,1589
114,2020-07-16,1652
115,2020-07-17,1704
116,2020-07-18,1791
117,2020-07-19,1866
118,2020-07-20,1980
119,2020-07-21,2088
120,2020-07-22,2176
121,2020-07-23,2314
122,2020-07-24,2424
123,2020-07-25,2547
124,2020-07-26,2669
125,2020-07-27,2827
126,2020-07-28,3017
127,2020-07-29,3222
128,2020-07-30,3438
129,2020-07-31,3621
130,2020-08-01,3691
131,2020-08-02,3837
132,2020-08-03,4063
133,2020-08-04,4224
134,2020-08-05,4475
135,2020-08-06,4879
136,2020-08-07,5079
137,2020-08-08,5232
138,2020-08-09,5451
139,2020-08-10,5929
140,2020-08-11,6302
