,Date,Cases
0,2020-02-28,1
1,2020-02-29,1
2,2020-03-01,1
3,2020-03-02,1
4,2020-03-03,1
5,2020-03-04,1
6,2020-03-05,1
7,2020-03-06,1
8,2020-03-07,1
9,2020-03-08,1
10,2020-03-09,1
11,2020-03-10,1
12,2020-03-11,3
13,2020-03-12,3
14,2020-03-13,6
15,2020-03-14,8
16,2020-03-15,12
17,2020-03-16,17
18,2020-03-17,25
19,2020-03-18,27
20,2020-03-19,36
21,2020-03-20,49
22,2020-03-21,83
23,2020-03-22,143
24,2020-03-23,179
25,2020-03-24,209
26,2020-03-25,274
27,2020-03-26,299
28,2020-03-27,358
29,2020-03-28,394
30,2020-03-29,460
31,2020-03-30,491
32,2020-03-31,537
33,2020-04-01,581
34,2020-04-02,649
35,2020-04-03,696
36,2020-04-04,771
37,2020-04-05,811
38,2020-04-06,843
39,2020-04-07,880
40,2020-04-08,912
41,2020-04-09,955
42,2020-04-10,999
43,2020-04-11,1026
44,2020-04-12,1053
45,2020-04-13,1062
46,2020-04-14,1070
47,2020-04-15,1091
48,2020-04-16,1128
49,2020-04-17,1149
50,2020-04-18,1239
51,2020-04-19,1298
52,2020-04-20,1326
53,2020-04-21,1350
54,2020-04-22,1370
55,2020-04-23,1398
56,2020-04-24,1410
57,2020-04-25,1426
58,2020-04-26,1438
59,2020-04-27,1449
60,2020-04-28,1344
61,2020-04-29,1375
62,2020-04-30,1385
63,2020-05-01,1399
64,2020-05-02,1406
65,2020-05-03,1410
66,2020-05-04,1419
67,2020-05-05,1423
68,2020-05-06,1428
69,2020-05-07,1433
70,2020-05-08,1436
71,2020-05-09,1444
72,2020-05-10,1479
73,2020-05-11,1485
74,2020-05-12,1491
75,2020-05-13,1505
76,2020-05-14,1511
77,2020-05-15,1523
78,2020-05-16,1534
79,2020-05-17,1541
80,2020-05-18,1547
81,2020-05-19,1562
82,2020-05-20,1577
83,2020-05-21,1593
84,2020-05-22,1604
85,2020-05-23,1616
86,2020-05-24,1623
87,2020-05-25,1635
88,2020-05-26,1639
89,2020-05-27,1647
90,2020-05-28,1656
91,2020-05-29,1662
92,2020-05-30,1670
93,2020-05-31,1675
94,2020-06-01,1678
95,2020-06-02,1682
96,2020-06-03,1684
97,2020-06-04,1687
98,2020-06-05,1694
99,2020-06-06,1705
100,2020-06-07,1714
101,2020-06-08,1720
102,2020-06-09,1727
103,2020-06-10,1733
104,2020-06-11,1752
105,2020-06-12,1756
106,2020-06-13,1763
107,2020-06-14,1768
108,2020-06-15,1773
109,2020-06-16,1776
110,2020-06-17,1778
111,2020-06-18,1784
112,2020-06-19,1792
113,2020-06-20,1795
114,2020-06-21,1798
115,2020-06-22,1801
116,2020-06-23,1803
117,2020-06-24,1804
118,2020-06-25,1806
119,2020-06-26,1808
120,2020-06-27,1813
121,2020-06-28,1815
122,2020-06-29,1816
123,2020-06-30,1817
124,2020-07-01,1818
125,2020-07-02,1825
126,2020-07-03,1828
127,2020-07-04,1831
128,2020-07-05,1836
129,2020-07-06,1841
130,2020-07-07,1844
131,2020-07-08,1854
132,2020-07-09,1857
133,2020-07-10,1861
134,2020-07-11,1865
135,2020-07-12,1869
136,2020-07-13,1874
137,2020-07-14,1875
138,2020-07-15,1882
139,2020-07-16,1902
140,2020-07-17,1908
141,2020-07-18,1915
142,2020-07-19,1932
143,2020-07-20,1947
144,2020-07-21,1949
145,2020-07-22,1951
