,Date,Cases
0,2020-02-29,1
1,2020-03-01,1
2,2020-03-02,1
3,2020-03-03,1
4,2020-03-04,1
5,2020-03-05,1
6,2020-03-06,2
7,2020-03-07,2
8,2020-03-08,3
9,2020-03-09,3
10,2020-03-10,5
11,2020-03-11,7
12,2020-03-12,19
13,2020-03-13,34
14,2020-03-14,51
15,2020-03-15,59
16,2020-03-16,77
17,2020-03-17,140
18,2020-03-18,203
19,2020-03-19,335
20,2020-03-20,484
21,2020-03-21,670
22,2020-03-22,798
23,2020-03-23,875
24,2020-03-24,1099
25,2020-03-25,1333
26,2020-03-26,1453
27,2020-03-27,1605
28,2020-03-28,1831
29,2020-03-29,1950
30,2020-03-30,1988
31,2020-03-31,2178
32,2020-04-01,2319
33,2020-04-02,2487
34,2020-04-03,2612
35,2020-04-04,2729
36,2020-04-05,2804
37,2020-04-06,2843
38,2020-04-07,2970
39,2020-04-08,3034
40,2020-04-09,3115
41,2020-04-10,3223
42,2020-04-11,3270
43,2020-04-12,3281
44,2020-04-13,3292
45,2020-04-14,3307
46,2020-04-15,3373
47,2020-04-16,3444
48,2020-04-17,3480
49,2020-04-18,3537
50,2020-04-19,3550
51,2020-04-20,3558
52,2020-04-21,3618
53,2020-04-22,3654
54,2020-04-23,3665
55,2020-04-24,3695
56,2020-04-25,3711
57,2020-04-26,3723
58,2020-04-27,3729
59,2020-04-28,3741
60,2020-04-29,3769
61,2020-04-30,3784
62,2020-05-01,3802
63,2020-05-02,3812
64,2020-05-03,3824
65,2020-05-04,3828
66,2020-05-05,3840
67,2020-05-06,3851
68,2020-05-07,3859
69,2020-05-08,3871
70,2020-05-09,3877
71,2020-05-10,3886
72,2020-05-11,3888
73,2020-05-12,3894
74,2020-05-13,3904
75,2020-05-14,3915
76,2020-05-15,3923
77,2020-05-16,3930
78,2020-05-17,3945
79,2020-05-18,3947
80,2020-05-19,3958
81,2020-05-20,3971
82,2020-05-21,3980
83,2020-05-22,3981
84,2020-05-23,3990
85,2020-05-24,3992
86,2020-05-25,3993
87,2020-05-26,3995
88,2020-05-27,4001
89,2020-05-28,4008
90,2020-05-29,4012
91,2020-05-30,4016
92,2020-05-31,4018
93,2020-06-01,4019
94,2020-06-02,4020
95,2020-06-03,4024
96,2020-06-04,4027
97,2020-06-05,4032
98,2020-06-06,4035
99,2020-06-07,4039
100,2020-06-08,4040
101,2020-06-09,4046
102,2020-06-10,4049
103,2020-06-11,4052
104,2020-06-12,4055
105,2020-06-13,4063
106,2020-06-14,4070
107,2020-06-15,4072
108,2020-06-16,4075
109,2020-06-17,4085
110,2020-06-18,4091
111,2020-06-19,4099
112,2020-06-20,4105
113,2020-06-21,4120
114,2020-06-22,4121
115,2020-06-23,4133
116,2020-06-24,4140
117,2020-06-25,4151
118,2020-06-26,4173
119,2020-06-27,4217
120,2020-06-28,4242
121,2020-06-29,4256
122,2020-06-30,4299
123,2020-07-01,4345
124,2020-07-02,4395
125,2020-07-03,4447
126,2020-07-04,4476
127,2020-07-05,4522
