,Date,Cases
0,2020-02-26,1
1,2020-02-27,1
2,2020-02-28,1
3,2020-02-29,1
4,2020-03-01,1
5,2020-03-02,1
6,2020-03-03,1
7,2020-03-04,1
8,2020-03-05,1
9,2020-03-06,3
10,2020-03-07,3
11,2020-03-08,3
12,2020-03-09,3
13,2020-03-10,7
14,2020-03-11,7
15,2020-03-12,7
16,2020-03-13,14
17,2020-03-14,14
18,2020-03-15,14
19,2020-03-16,18
20,2020-03-17,26
21,2020-03-18,35
22,2020-03-19,48
23,2020-03-20,67
24,2020-03-21,85
25,2020-03-22,115
26,2020-03-23,136
27,2020-03-24,148
28,2020-03-25,177
29,2020-03-26,201
30,2020-03-27,219
31,2020-03-28,241
32,2020-03-29,259
33,2020-03-30,285
34,2020-03-31,329
35,2020-04-01,354
36,2020-04-02,384
37,2020-04-03,430
38,2020-04-04,483
39,2020-04-05,555
40,2020-04-06,570
41,2020-04-07,599
42,2020-04-08,617
43,2020-04-09,663
44,2020-04-10,711
45,2020-04-11,760
46,2020-04-12,828
47,2020-04-13,854
48,2020-04-14,908
49,2020-04-15,974
50,2020-04-16,1081
51,2020-04-17,1117
52,2020-04-18,1170
53,2020-04-19,1207
54,2020-04-20,1225
55,2020-04-21,1231
56,2020-04-22,1259
57,2020-04-23,1300
58,2020-04-24,1326
59,2020-04-25,1367
60,2020-04-26,1386
61,2020-04-27,1399
62,2020-04-28,1421
63,2020-04-29,1442
64,2020-04-30,1465
65,2020-05-01,1494
66,2020-05-02,1506
67,2020-05-03,1511
68,2020-05-04,1518
69,2020-05-05,1526
70,2020-05-06,1539
71,2020-05-07,1572
72,2020-05-08,1586
73,2020-05-09,1622
74,2020-05-10,1642
75,2020-05-11,1664
76,2020-05-12,1674
77,2020-05-13,1694
78,2020-05-14,1723
79,2020-05-15,1740
80,2020-05-16,1762
81,2020-05-17,1792
82,2020-05-18,1817
83,2020-05-19,1839
84,2020-05-20,1858
85,2020-05-21,1898
86,2020-05-22,1921
87,2020-05-23,1941
88,2020-05-24,1978
89,2020-05-25,1999
90,2020-05-26,2014
91,2020-05-27,2039
92,2020-05-28,2077
93,2020-05-29,2129
94,2020-05-30,2164
95,2020-05-31,2226
96,2020-06-01,2315
97,2020-06-02,2391
98,2020-06-03,2492
99,2020-06-04,2611
100,2020-06-05,2790
101,2020-06-06,2915
102,2020-06-07,3025
103,2020-06-08,3152
104,2020-06-09,3239
105,2020-06-10,3364
106,2020-06-11,3538
107,2020-06-12,3701
108,2020-06-13,3895
109,2020-06-14,4057
110,2020-06-15,4157
111,2020-06-16,4299
112,2020-06-17,4482
113,2020-06-18,4664
114,2020-06-19,4820
115,2020-06-20,5005
116,2020-06-21,5106
117,2020-06-22,5196
118,2020-06-23,5311
119,2020-06-24,5445
120,2020-06-25,5595
121,2020-06-26,5758
122,2020-06-27,5906
123,2020-06-28,6080
124,2020-06-29,6209
125,2020-06-30,6334
126,2020-07-01,6454
127,2020-07-02,6625
128,2020-07-03,6787
129,2020-07-04,6932
130,2020-07-05,7046
131,2020-07-06,7124
132,2020-07-07,7244
133,2020-07-08,7406
134,2020-07-09,7572
135,2020-07-10,7777
136,2020-07-11,7975
137,2020-07-12,8111
138,2020-07-13,8197
139,2020-07-14,8332
140,2020-07-15,8530
141,2020-07-16,8623
142,2020-07-17,8786
143,2020-07-18,9026
144,2020-07-19,9153
145,2020-07-20,9249
146,2020-07-21,9412
147,2020-07-22,9547
148,2020-07-23,9669
149,2020-07-24,9797
150,2020-07-25,9934
151,2020-07-26,10086
152,2020-07-27,10213
153,2020-07-28,10315
154,2020-07-29,10503
155,2020-07-30,10617
156,2020-07-31,10754
157,2020-08-01,10891
158,2020-08-02,11054
159,2020-08-03,11128
160,2020-08-04,11202
161,2020-08-05,11289
162,2020-08-06,11399
163,2020-08-07,11554
164,2020-08-08,11754
165,2020-08-09,11839
166,2020-08-10,11942
167,2020-08-11,12083
168,2020-08-12,12217
169,2020-08-13,12357
170,2020-08-14,12515
171,2020-08-15,12653
172,2020-08-16,12739
173,2020-08-17,12840
174,2020-08-18,12970
175,2020-08-19,13076
176,2020-08-20,13194
177,2020-08-21,13308
178,2020-08-22,13458
179,2020-08-23,13595
180,2020-08-24,13673
181,2020-08-25,13799
182,2020-08-26,13914
183,2020-08-27,14004
184,2020-08-28,14163
185,2020-08-29,14293
186,2020-08-30,14330
187,2020-08-31,14341
188,2020-09-01,14455
189,2020-09-02,14600
190,2020-09-03,14762
191,2020-09-04,14871
192,2020-09-05,14998
193,2020-09-06,15090
194,2020-09-07,15127
195,2020-09-08,15226
196,2020-09-09,15293
197,2020-09-10,15414
198,2020-09-11,15555
199,2020-09-12,15694
200,2020-09-13,15791
201,2020-09-14,15827
202,2020-09-15,15925
203,2020-09-16,16088
204,2020-09-17,16274
205,2020-09-18,16417
206,2020-09-19,16557
207,2020-09-20,16735
208,2020-09-21,16780
209,2020-09-22,16867
210,2020-09-23,17049
211,2020-09-24,17200
212,2020-09-25,17343
213,2020-09-26,17483
214,2020-09-27,17629
215,2020-09-28,17674
216,2020-09-29,17786
217,2020-09-30,17977
218,2020-10-01,18138
219,2020-10-02,18363
220,2020-10-03,18602
221,2020-10-04,18790
222,2020-10-05,18873
223,2020-10-06,19096
224,2020-10-07,19413
225,2020-10-08,19777
226,2020-10-09,20163
