,Date,Cases
0,2020-03-20,3
1,2020-03-21,3
2,2020-03-22,3
3,2020-03-23,12
4,2020-03-24,17
5,2020-03-25,19
6,2020-03-26,23
7,2020-03-27,26
8,2020-03-28,26
9,2020-03-29,39
10,2020-03-30,43
11,2020-03-31,57
12,2020-04-01,57
13,2020-04-02,59
14,2020-04-03,70
15,2020-04-04,70
16,2020-04-05,72
17,2020-04-06,82
18,2020-04-07,88
19,2020-04-08,93
20,2020-04-09,93
21,2020-04-10,93
22,2020-04-11,102
23,2020-04-12,106
24,2020-04-13,106
25,2020-04-14,108
26,2020-04-15,110
27,2020-04-16,111
28,2020-04-17,117
29,2020-04-18,120
30,2020-04-19,121
31,2020-04-20,121
32,2020-04-21,121
33,2020-04-22,121
34,2020-04-23,121
35,2020-04-24,122
36,2020-04-25,123
37,2020-04-26,124
38,2020-04-27,128
39,2020-04-28,128
40,2020-04-29,128
41,2020-04-30,128
42,2020-05-01,132
43,2020-05-02,135
44,2020-05-03,149
45,2020-05-04,149
46,2020-05-05,151
47,2020-05-06,158
48,2020-05-07,193
49,2020-05-08,193
50,2020-05-09,193
51,2020-05-10,193
52,2020-05-11,186
53,2020-05-12,186
54,2020-05-13,212
55,2020-05-14,230
56,2020-05-15,238
57,2020-05-16,283
58,2020-05-17,304
59,2020-05-18,322
60,2020-05-19,326
61,2020-05-20,371
62,2020-05-21,405
63,2020-05-22,448
64,2020-05-23,488
65,2020-05-24,527
66,2020-05-25,542
67,2020-05-26,586
68,2020-05-27,612
69,2020-05-28,656
70,2020-05-29,698
71,2020-05-30,758
72,2020-05-31,771
73,2020-06-01,826
74,2020-06-02,845
75,2020-06-03,908
76,2020-06-04,957
77,2020-06-05,975
78,2020-06-06,1026
79,2020-06-07,1052
80,2020-06-08,1094
81,2020-06-09,1138
82,2020-06-10,1162
83,2020-06-11,1203
84,2020-06-12,1240
85,2020-06-13,1252
86,2020-06-14,1272
87,2020-06-15,1290
88,2020-06-16,1317
89,2020-06-17,1378
90,2020-06-18,1403
91,2020-06-19,1443
92,2020-06-20,1503
93,2020-06-21,1596
94,2020-06-22,1640
95,2020-06-23,1724
96,2020-06-24,1787
97,2020-06-25,1829
98,2020-06-26,1922
99,2020-06-27,2005
100,2020-06-28,2078
101,2020-06-29,2138
102,2020-06-30,2214
103,2020-07-01,2303
104,2020-07-02,2403
105,2020-07-03,2512
106,2020-07-04,2728
107,2020-07-05,2941
108,2020-07-06,3250
109,2020-07-07,3472
110,2020-07-08,3573
111,2020-07-09,3782
112,2020-07-10,4143
113,2020-07-11,4578
114,2020-07-12,4867
115,2020-07-13,5080
116,2020-07-14,5343
117,2020-07-15,5605
118,2020-07-16,6089
119,2020-07-17,6467
120,2020-07-18,6849
121,2020-07-19,7049
122,2020-07-20,7153
123,2020-07-21,7548
124,2020-07-22,8162
125,2020-07-23,8381
126,2020-07-24,8741
127,2020-07-25,8866
128,2020-07-26,9295
129,2020-07-27,9690
130,2020-07-28,10104
131,2020-07-29,10317
132,2020-07-30,10748
133,2020-07-31,10868
134,2020-08-01,11273
135,2020-08-02,11528
136,2020-08-03,11660
137,2020-08-04,11895
138,2020-08-05,12222
139,2020-08-06,12526
140,2020-08-07,12708
141,2020-08-08,12922
142,2020-08-09,13086
143,2020-08-10,13202
144,2020-08-11,13317
145,2020-08-12,13397
146,2020-08-13,13522
147,2020-08-14,13643
148,2020-08-15,13724
149,2020-08-16,13827
150,2020-08-17,13886
151,2020-08-18,14009
152,2020-08-19,14074
153,2020-08-20,14154
154,2020-08-21,14218
155,2020-08-22,14277
156,2020-08-23,14327
157,2020-08-24,14402
158,2020-08-25,14475
159,2020-08-26,14554
160,2020-08-27,14592
161,2020-08-28,14696
162,2020-08-29,14791
163,2020-08-30,14843
164,2020-08-31,14863
165,2020-09-01,14957
166,2020-09-02,15023
167,2020-09-03,15106
168,2020-09-04,15187
169,2020-09-05,15269
170,2020-09-06,15319
171,2020-09-07,15352
172,2020-09-08,15435
173,2020-09-09,15520
174,2020-09-10,15624
175,2020-09-11,15669
176,2020-09-12,15737
177,2020-09-13,15757
178,2020-09-14,15769
179,2020-09-15,15803
180,2020-09-16,15871
181,2020-09-17,15925
182,2020-09-18,15971
183,2020-09-19,16020
184,2020-09-20,16053
185,2020-09-21,16073
186,2020-09-22,16136
187,2020-09-23,16167
188,2020-09-24,16191
189,2020-09-25,16221
190,2020-09-26,16257
191,2020-09-27,16285
192,2020-09-28,16348
193,2020-09-29,16377
194,2020-09-30,16408
195,2020-10-01,16454
196,2020-10-02,16493
197,2020-10-03,16529
198,2020-10-04,16558
199,2020-10-05,16570
200,2020-10-06,16600
201,2020-10-07,16633
202,2020-10-08,16654
203,2020-10-09,16676
204,2020-10-10,16702
205,2020-10-11,16718
206,2020-10-12,16726
207,2020-10-13,16754
208,2020-10-14,16754
209,2020-10-15,16754
210,2020-10-16,16754
211,2020-10-17,16810
212,2020-10-18,16810
213,2020-10-19,16810
214,2020-10-20,16810
215,2020-10-21,16810
216,2020-10-22,16810
217,2020-10-23,16810
218,2020-10-24,16968
219,2020-10-25,16968
220,2020-10-26,16968
221,2020-10-27,16968
222,2020-10-28,16968
223,2020-10-29,16968
224,2020-10-30,16968
225,2020-10-31,17111
226,2020-11-01,17111
227,2020-11-02,17111
228,2020-11-03,17111
229,2020-11-04,17111
230,2020-11-05,17111
231,2020-11-06,17111
232,2020-11-07,17111
233,2020-11-08,17223
234,2020-11-09,17223
235,2020-11-10,17223
236,2020-11-11,17223
237,2020-11-12,17223
238,2020-11-13,17223
239,2020-11-14,17223
240,2020-11-15,17310
241,2020-11-16,17310
242,2020-11-17,17310
243,2020-11-18,17310
244,2020-11-19,17310
245,2020-11-20,17310
246,2020-11-21,17310
247,2020-11-22,17341
248,2020-11-23,17341
249,2020-11-24,17341
250,2020-11-25,17341
251,2020-11-26,17341
252,2020-11-27,17341
253,2020-11-28,17341
254,2020-11-29,17341
255,2020-11-30,17341
256,2020-12-01,17341
257,2020-12-02,17341
258,2020-12-03,17341
259,2020-12-04,17341
260,2020-12-05,17473
261,2020-12-06,17473
262,2020-12-07,17473
263,2020-12-08,17473
264,2020-12-09,17473
265,2020-12-10,17473
266,2020-12-11,17473
267,2020-12-12,17587
268,2020-12-13,17587
269,2020-12-14,17587
270,2020-12-15,17587
271,2020-12-16,17587
272,2020-12-17,17587
273,2020-12-18,17587
274,2020-12-19,17587
275,2020-12-20,17633
276,2020-12-21,17633
277,2020-12-22,17633
278,2020-12-23,17633
279,2020-12-24,17633
280,2020-12-25,17633
281,2020-12-26,17633
282,2020-12-27,17714
283,2020-12-28,17714
284,2020-12-29,17714
285,2020-12-30,17714
286,2020-12-31,17714
287,2021-01-01,17714
288,2021-01-02,17767
289,2021-01-03,17767
290,2021-01-04,17767
291,2021-01-05,17767
292,2021-01-06,17767
293,2021-01-07,17767
294,2021-01-08,17767
295,2021-01-09,17767
296,2021-01-10,18001
297,2021-01-11,18001
298,2021-01-12,18001
299,2021-01-13,18001
300,2021-01-14,18001
301,2021-01-15,18001
302,2021-01-16,18001
303,2021-01-17,18301
304,2021-01-18,18301
305,2021-01-19,18301
306,2021-01-20,18301
307,2021-01-21,18301
308,2021-01-22,18301
309,2021-01-23,18301
310,2021-01-24,18743
311,2021-01-25,18743
312,2021-01-26,18743
313,2021-01-27,18743
314,2021-01-28,18743
