,Date,Cases
0,2020-04-02,3
1,2020-04-03,3
2,2020-04-04,4
3,2020-04-05,4
4,2020-04-06,5
5,2020-04-07,8
6,2020-04-08,8
7,2020-04-09,8
8,2020-04-10,9
9,2020-04-11,12
10,2020-04-12,13
11,2020-04-13,16
12,2020-04-14,16
13,2020-04-15,16
14,2020-04-16,16
15,2020-04-17,17
16,2020-04-18,17
17,2020-04-19,17
18,2020-04-20,17
19,2020-04-21,18
20,2020-04-22,23
21,2020-04-23,33
22,2020-04-24,33
23,2020-04-25,33
24,2020-04-26,34
25,2020-04-27,36
26,2020-04-28,36
27,2020-04-29,36
28,2020-04-30,37
29,2020-05-01,37
30,2020-05-02,38
31,2020-05-03,39
32,2020-05-04,41
33,2020-05-05,41
34,2020-05-06,43
35,2020-05-07,43
36,2020-05-08,43
37,2020-05-09,56
38,2020-05-10,56
39,2020-05-11,57
40,2020-05-12,57
41,2020-05-13,63
42,2020-05-14,63
43,2020-05-15,63
44,2020-05-16,65
45,2020-05-17,70
46,2020-05-18,70
47,2020-05-19,70
48,2020-05-20,71
49,2020-05-21,72
50,2020-05-22,82
51,2020-05-23,82
52,2020-05-24,83
53,2020-05-25,101
54,2020-05-26,101
55,2020-05-27,101
56,2020-05-28,203
57,2020-05-29,273
58,2020-05-30,279
59,2020-05-31,284
60,2020-06-01,336
61,2020-06-02,358
62,2020-06-03,369
63,2020-06-04,393
64,2020-06-05,409
65,2020-06-06,409
66,2020-06-07,438
67,2020-06-08,443
68,2020-06-09,455
69,2020-06-10,455
70,2020-06-11,481
71,2020-06-12,481
72,2020-06-13,529
73,2020-06-14,547
74,2020-06-15,555
75,2020-06-16,564
76,2020-06-17,572
77,2020-06-18,592
78,2020-06-19,620
79,2020-06-20,620
80,2020-06-21,730
81,2020-06-22,749
82,2020-06-23,803
83,2020-06-24,941
84,2020-06-25,960
85,2020-06-26,1005
86,2020-06-27,1038
87,2020-06-28,1146
88,2020-06-29,1152
89,2020-06-30,1224
90,2020-07-01,1265
91,2020-07-02,1342
92,2020-07-03,1498
93,2020-07-04,1613
94,2020-07-05,1613
95,2020-07-06,1742
96,2020-07-07,1818
97,2020-07-08,1864
98,2020-07-09,1942
99,2020-07-10,2069
100,2020-07-11,2261
101,2020-07-12,2364
102,2020-07-13,2430
103,2020-07-14,2497
104,2020-07-15,2614
105,2020-07-16,2712
106,2020-07-17,2805
107,2020-07-18,2810
108,2020-07-19,2907
109,2020-07-20,2992
110,2020-07-21,3045
111,2020-07-22,3302
112,2020-07-23,3302
113,2020-07-24,3453
114,2020-07-25,3453
115,2020-07-26,3640
116,2020-07-27,3664
117,2020-07-28,3709
118,2020-07-29,3738
119,2020-07-30,3858
120,2020-07-31,4078
121,2020-08-01,4186
122,2020-08-02,4231
123,2020-08-03,4272
124,2020-08-04,4361
125,2020-08-05,4426
126,2020-08-06,4491
127,2020-08-07,4575
128,2020-08-08,4624
129,2020-08-09,4658
130,2020-08-10,4674
131,2020-08-11,4714
132,2020-08-12,4752
133,2020-08-13,4912
134,2020-08-14,4988
135,2020-08-15,5026
136,2020-08-16,5072
137,2020-08-17,5125
138,2020-08-18,5193
139,2020-08-19,5240
140,2020-08-20,5282
141,2020-08-21,5322
142,2020-08-22,5382
143,2020-08-23,5414
144,2020-08-24,5419
145,2020-08-25,5423
146,2020-08-26,5474
147,2020-08-27,5496
148,2020-08-28,5523
149,2020-08-29,5528
150,2020-08-30,5536
151,2020-08-31,5566
152,2020-09-01,5576
153,2020-09-02,5579
154,2020-09-03,5593
155,2020-09-04,5608
156,2020-09-05,5611
157,2020-09-06,5614
158,2020-09-07,5621
159,2020-09-08,5630
160,2020-09-09,5653
161,2020-09-10,5655
162,2020-09-11,5669
163,2020-09-12,5678
164,2020-09-13,5690
165,2020-09-14,5697
166,2020-09-15,5701
167,2020-09-16,5704
168,2020-09-17,5711
169,2020-09-18,5716
170,2020-09-19,5718
171,2020-09-20,5731
172,2020-09-21,5733
173,2020-09-22,5739
174,2020-09-23,5746
175,2020-09-24,5747
176,2020-09-25,5764
177,2020-09-26,5766
178,2020-09-27,5768
179,2020-09-28,5770
180,2020-09-29,5772
181,2020-09-30,5773
182,2020-10-01,5779
183,2020-10-02,5783
184,2020-10-03,5783
185,2020-10-04,5786
186,2020-10-05,5794
187,2020-10-06,5796
188,2020-10-07,5803
189,2020-10-08,5809
190,2020-10-09,5813
191,2020-10-10,5821
192,2020-10-11,5821
193,2020-10-12,5824
194,2020-10-13,5827
195,2020-10-14,5829
196,2020-10-15,5836
197,2020-10-16,5842
198,2020-10-17,5852
199,2020-10-18,5857
200,2020-10-19,5860
201,2020-10-20,5861
202,2020-10-21,5864
203,2020-10-22,5874
204,2020-10-23,5885
205,2020-10-24,5887
206,2020-10-25,5890
207,2020-10-26,5894
208,2020-10-27,5897
209,2020-10-28,5904
210,2020-10-29,5916
211,2020-10-30,5923
212,2020-10-31,5930
213,2020-11-01,5932
214,2020-11-02,5933
215,2020-11-03,5934
216,2020-11-04,5934
217,2020-11-05,5940
218,2020-11-06,5942
219,2020-11-07,5948
220,2020-11-08,5951
221,2020-11-09,5953
222,2020-11-10,5953
223,2020-11-11,5955
224,2020-11-12,5958
225,2020-11-13,5962
226,2020-11-14,5964
227,2020-11-15,5965
228,2020-11-16,5971
229,2020-11-17,5971
230,2020-11-18,5999
231,2020-11-19,6002
232,2020-11-20,6003
233,2020-11-21,6003
234,2020-11-22,6003
235,2020-11-23,6009
236,2020-11-24,6017
237,2020-11-25,6018
238,2020-11-26,6020
239,2020-11-27,6024
240,2020-11-28,6025
241,2020-11-29,6025
242,2020-11-30,6028
243,2020-12-01,6028
244,2020-12-02,6040
245,2020-12-03,6043
246,2020-12-04,6047
247,2020-12-05,6049
248,2020-12-06,6051
249,2020-12-07,6051
250,2020-12-08,6051
251,2020-12-09,6051
252,2020-12-10,6051
253,2020-12-11,6055
254,2020-12-12,6063
255,2020-12-13,6066
256,2020-12-14,6070
257,2020-12-15,6080
258,2020-12-16,6091
259,2020-12-17,6138
260,2020-12-18,6148
261,2020-12-19,6153
262,2020-12-20,6161
263,2020-12-21,6202
264,2020-12-22,6248
265,2020-12-23,6261
266,2020-12-24,6277
267,2020-12-25,6339
268,2020-12-26,6343
269,2020-12-27,6354
270,2020-12-28,6377
271,2020-12-29,6388
272,2020-12-30,6471
273,2020-12-31,6583
274,2021-01-01,6684
275,2021-01-02,6712
276,2021-01-03,6844
277,2021-01-04,6935
278,2021-01-05,7110
279,2021-01-06,7337
280,2021-01-07,7611
281,2021-01-08,7925
282,2021-01-09,8306
283,2021-01-10,8575
284,2021-01-11,9027
285,2021-01-12,9027
286,2021-01-13,9400
287,2021-01-14,9991
288,2021-01-15,11223
289,2021-01-16,11785
290,2021-01-17,12470
291,2021-01-18,13027
292,2021-01-19,13880
293,2021-01-20,14851
294,2021-01-21,16049
295,2021-01-22,17365
296,2021-01-23,18439
297,2021-01-24,19395
298,2021-01-25,19987
299,2021-01-26,20830
300,2021-01-27,21660
301,2021-01-28,22304
