,Date,Cases
0,2020-01-25,3
1,2020-01-26,4
2,2020-01-27,4
3,2020-01-28,4
4,2020-01-29,7
5,2020-01-30,8
6,2020-01-31,8
7,2020-02-01,8
8,2020-02-02,8
9,2020-02-03,8
10,2020-02-04,10
11,2020-02-05,12
12,2020-02-06,12
13,2020-02-07,12
14,2020-02-08,16
15,2020-02-09,16
16,2020-02-10,18
17,2020-02-11,18
18,2020-02-12,18
19,2020-02-13,19
20,2020-02-14,19
21,2020-02-15,22
22,2020-02-16,22
23,2020-02-17,22
24,2020-02-18,22
25,2020-02-19,22
26,2020-02-20,22
27,2020-02-21,22
28,2020-02-22,22
29,2020-02-23,22
30,2020-02-24,22
31,2020-02-25,22
32,2020-02-26,22
33,2020-02-27,23
34,2020-02-28,23
35,2020-02-29,25
36,2020-03-01,29
37,2020-03-02,29
38,2020-03-03,36
39,2020-03-04,50
40,2020-03-05,50
41,2020-03-06,83
42,2020-03-07,93
43,2020-03-08,99
44,2020-03-09,117
45,2020-03-10,129
46,2020-03-11,149
47,2020-03-12,149
48,2020-03-13,197
49,2020-03-14,238
50,2020-03-15,428
51,2020-03-16,566
52,2020-03-17,673
53,2020-03-18,790
54,2020-03-19,900
55,2020-03-20,1030
56,2020-03-21,1183
57,2020-03-22,1306
58,2020-03-23,1518
59,2020-03-24,1624
60,2020-03-25,1796
61,2020-03-26,2031
62,2020-03-27,2161
63,2020-03-28,2320
64,2020-03-29,2470
65,2020-03-30,2626
66,2020-03-31,2766
67,2020-04-01,2908
68,2020-04-02,3116
69,2020-04-03,3333
70,2020-04-04,3483
71,2020-04-05,3662
72,2020-04-06,3793
73,2020-04-07,3963
74,2020-04-08,4119
75,2020-04-09,4228
76,2020-04-10,4346
77,2020-04-11,4530
78,2020-04-12,4683
79,2020-04-13,4817
80,2020-04-14,4987
81,2020-04-15,5072
82,2020-04-16,5182
83,2020-04-17,5251
84,2020-04-18,5305
85,2020-04-19,5389
86,2020-04-20,5425
87,2020-04-21,5482
88,2020-04-22,5532
89,2020-04-23,5603
90,2020-04-24,5691
91,2020-04-25,5742
92,2020-04-26,5780
93,2020-04-27,5820
94,2020-04-28,5851
95,2020-04-29,5945
96,2020-04-30,6002
97,2020-05-01,6071
98,2020-05-02,6176
99,2020-05-03,6298
100,2020-05-04,6353
101,2020-05-05,6383
102,2020-05-06,6428
103,2020-05-07,6467
104,2020-05-08,6535
105,2020-05-09,6589
106,2020-05-10,6656
107,2020-05-11,6726
108,2020-05-12,6742
109,2020-05-13,6779
110,2020-05-14,6819
111,2020-05-15,6855
112,2020-05-16,6872
113,2020-05-17,6894
114,2020-05-18,6941
115,2020-05-19,6978
116,2020-05-20,7009
117,2020-05-21,7059
118,2020-05-22,7137
119,2020-05-23,7185
120,2020-05-24,7245
121,2020-05-25,7417
122,2020-05-26,7604
123,2020-05-27,7619
124,2020-05-28,7629
125,2020-05-29,7732
126,2020-05-30,7762
127,2020-05-31,7819
128,2020-06-01,7857
129,2020-06-02,7877
130,2020-06-03,7970
131,2020-06-04,8247
132,2020-06-05,8266
133,2020-06-06,8303
134,2020-06-07,8322
135,2020-06-08,8329
136,2020-06-09,8336
137,2020-06-10,8338
138,2020-06-11,8369
139,2020-06-12,8402
140,2020-06-13,8445
141,2020-06-14,8453
142,2020-06-15,8494
143,2020-06-16,8505
144,2020-06-17,8515
145,2020-06-18,8529
146,2020-06-19,8535
147,2020-06-20,8556
148,2020-06-21,8572
149,2020-06-22,8587
150,2020-06-23,8590
151,2020-06-24,8596
152,2020-06-25,8600
153,2020-06-26,8606
154,2020-06-27,8616
155,2020-06-28,8634
156,2020-06-29,8637
157,2020-06-30,8639
158,2020-07-01,8640
159,2020-07-02,8643
160,2020-07-03,8648
161,2020-07-04,8658
162,2020-07-05,8663
163,2020-07-06,8668
164,2020-07-07,8674
165,2020-07-08,8677
166,2020-07-09,8683
167,2020-07-10,8696
168,2020-07-11,8704
169,2020-07-12,8718
170,2020-07-13,8725
171,2020-07-14,8729
172,2020-07-15,8734
173,2020-07-16,8737
174,2020-07-17,8755
175,2020-07-18,8764
176,2020-07-19,8779
177,2020-07-20,8800
178,2020-07-21,8815
179,2020-07-22,8831
180,2020-07-23,8840
181,2020-07-24,8861
182,2020-07-25,8884
183,2020-07-26,8897
184,2020-07-27,8904
185,2020-07-28,8943
186,2020-07-29,8956
187,2020-07-30,8964
188,2020-07-31,8976
189,2020-08-01,8985
190,2020-08-02,8999
191,2020-08-03,9001
192,2020-08-04,9002
193,2020-08-05,9023
194,2020-08-06,9038
195,2020-08-07,9063
196,2020-08-08,9070
197,2020-08-09,9083
198,2020-08-10,9094
199,2020-08-11,9103
200,2020-08-12,9114
201,2020-08-13,9129
202,2020-08-14,9149
203,2020-08-15,9175
204,2020-08-16,9200
205,2020-08-17,9212
206,2020-08-18,9219
207,2020-08-19,9235
208,2020-08-20,9240
209,2020-08-21,9249
210,2020-08-22,9257
211,2020-08-23,9267
212,2020-08-24,9274
213,2020-08-25,9285
214,2020-08-26,9291
215,2020-08-27,9296
216,2020-08-28,9306
217,2020-08-29,9317
218,2020-08-30,9334
219,2020-08-31,9340
220,2020-09-01,9354
221,2020-09-02,9360
222,2020-09-03,9374
223,2020-09-04,9385
224,2020-09-05,9391
225,2020-09-06,9397
226,2020-09-07,9459
227,2020-09-08,9559
228,2020-09-09,9583
229,2020-09-10,9628
230,2020-09-11,9810
231,2020-09-12,9868
232,2020-09-13,9915
233,2020-09-14,9946
234,2020-09-15,9969
235,2020-09-16,10031
236,2020-09-17,10052
237,2020-09-18,10147
238,2020-09-19,10167
239,2020-09-20,10219
240,2020-09-21,10276
241,2020-09-22,10358
242,2020-09-23,10505
243,2020-09-24,10576
244,2020-09-25,10687
245,2020-09-26,10769
246,2020-09-27,10919
247,2020-09-28,11034
248,2020-09-29,11135
249,2020-09-30,11224
250,2020-10-01,11484
251,2020-10-02,11771
252,2020-10-03,12088
253,2020-10-04,12381
254,2020-10-05,12813
255,2020-10-06,13504
256,2020-10-07,13993
257,2020-10-08,14368
258,2020-10-09,14722
259,2020-10-10,15096
260,2020-10-11,15657
261,2020-10-12,16220
262,2020-10-13,16880
263,2020-10-14,17540
264,2020-10-15,18129
265,2020-10-16,18758
266,2020-10-17,19627
267,2020-10-18,20498
268,2020-10-19,21363
269,2020-10-20,22225
270,2020-10-21,22957
271,2020-10-22,23804
272,2020-10-23,24514
273,2020-10-24,25742
274,2020-10-25,26565
275,2020-10-26,27805
276,2020-10-27,28640
277,2020-10-28,29441
278,2020-10-29,30090
279,2020-10-30,30889
280,2020-10-31,31548
281,2020-11-01,32505
282,2020-11-02,33339
283,2020-11-03,34393
284,2020-11-04,35425
285,2020-11-05,36434
286,2020-11-06,38189
287,2020-11-07,39357
288,2020-11-08,40209
289,2020-11-09,41181
290,2020-11-10,42050
291,2020-11-11,42872
292,2020-11-12,43791
293,2020-11-13,45095
294,2020-11-14,46209
295,2020-11-15,47417
296,2020-11-16,48520
297,2020-11-17,49730
298,2020-11-18,50390
299,2020-11-19,51680
300,2020-11-20,52638
301,2020-11-21,53679
302,2020-11-22,54775
303,2020-11-23,56659
304,2020-11-24,58847
305,2020-11-25,59817
306,2020-11-26,60752
307,2020-11-27,61861
308,2020-11-28,63176
309,2020-11-29,64485
310,2020-11-30,65697
311,2020-12-01,67169
312,2020-12-02,68020
313,2020-12-03,69095
314,2020-12-04,70236
315,2020-12-05,71359
316,2020-12-06,72694
317,2020-12-07,74294
318,2020-12-08,75306
319,2020-12-09,76265
320,2020-12-10,78499
321,2020-12-11,80309
322,2020-12-12,82246
323,2020-12-13,83475
324,2020-12-14,84846
325,2020-12-15,86618
326,2020-12-16,87913
327,2020-12-17,89133
328,2020-12-18,90816
329,2020-12-19,91969
330,2020-12-20,93309
331,2020-12-21,95327
332,2020-12-22,97389
333,2020-12-23,98737
334,2020-12-24,100318
335,2020-12-25,101565
336,2020-12-26,103900
337,2020-12-27,105096
338,2020-12-28,106690
339,2020-12-29,108615
340,2020-12-30,110485
341,2020-12-31,113010
342,2021-01-01,115078
343,2021-01-02,117373
344,2021-01-03,119077
345,2021-01-04,120818
346,2021-01-05,122845
347,2021-01-06,125438
348,2021-01-07,128465
349,2021-01-08,131108
350,2021-01-09,133559
351,2021-01-10,135992
352,2021-01-11,138224
353,2021-01-12,141533
354,2021-01-13,144518
355,2021-01-14,147855
356,2021-01-15,151066
357,2021-01-16,155095
358,2021-01-17,158434
359,2021-01-18,161740
360,2021-01-19,165371
361,2021-01-20,169379
362,2021-01-21,172549
363,2021-01-22,176180
364,2021-01-23,180455
365,2021-01-24,183801
366,2021-01-25,186849
367,2021-01-26,190434
368,2021-01-27,194114
369,2021-01-28,198208
