,Date,Cases
0,2020-03-08,4
1,2020-03-09,4
2,2020-03-10,6
3,2020-03-11,8
4,2020-03-12,8
5,2020-03-13,9
6,2020-03-14,10
7,2020-03-15,13
8,2020-03-16,13
9,2020-03-17,13
10,2020-03-18,13
11,2020-03-19,13
12,2020-03-20,13
13,2020-03-21,13
14,2020-03-22,13
15,2020-03-23,13
16,2020-03-24,13
17,2020-03-25,13
18,2020-03-26,13
19,2020-03-27,16
20,2020-03-28,16
21,2020-03-29,17
22,2020-03-30,17
23,2020-03-31,18
24,2020-04-01,19
25,2020-04-02,19
26,2020-04-03,19
27,2020-04-04,19
28,2020-04-05,19
29,2020-04-06,19
30,2020-04-07,19
31,2020-04-08,19
32,2020-04-09,19
33,2020-04-10,19
34,2020-04-11,19
35,2020-04-12,20
36,2020-04-13,20
37,2020-04-14,20
38,2020-04-15,22
39,2020-04-16,25
40,2020-04-17,28
41,2020-04-18,35
42,2020-04-19,52
43,2020-04-20,69
44,2020-04-21,83
45,2020-04-22,86
46,2020-04-23,108
47,2020-04-24,129
48,2020-04-25,177
49,2020-04-26,214
50,2020-04-27,226
51,2020-04-28,250
52,2020-04-29,278
53,2020-04-30,468
54,2020-05-01,491
55,2020-05-02,519
56,2020-05-03,527
57,2020-05-04,541
58,2020-05-05,573
59,2020-05-06,617
60,2020-05-07,648
61,2020-05-08,744
62,2020-05-09,790
63,2020-05-10,835
64,2020-05-11,897
65,2020-05-12,904
66,2020-05-13,955
67,2020-05-14,982
68,2020-05-15,1031
69,2020-05-16,1078
70,2020-05-17,1094
71,2020-05-18,1106
72,2020-05-19,1143
73,2020-05-20,1186
74,2020-05-21,1216
75,2020-05-22,1274
76,2020-05-23,1313
77,2020-05-24,1371
78,2020-05-25,1395
79,2020-05-26,1438
80,2020-05-27,1457
81,2020-05-28,1513
82,2020-05-29,1591
83,2020-05-30,1672
84,2020-05-31,1773
85,2020-06-01,1829
86,2020-06-02,1841
87,2020-06-03,1850
88,2020-06-04,1872
89,2020-06-05,1883
90,2020-06-06,1901
91,2020-06-07,1903
92,2020-06-08,1916
93,2020-06-09,1942
94,2020-06-10,1962
95,2020-06-11,1976
96,2020-06-12,2003
97,2020-06-13,2013
98,2020-06-14,2035
