,Date,Cases
0,2020-03-07,3
1,2020-03-08,3
2,2020-03-09,3
3,2020-03-10,5
4,2020-03-11,6
5,2020-03-12,6
6,2020-03-13,12
7,2020-03-14,18
8,2020-03-15,21
9,2020-03-16,30
10,2020-03-17,38
11,2020-03-18,38
12,2020-03-19,53
13,2020-03-20,64
14,2020-03-21,73
15,2020-03-22,90
16,2020-03-23,107
17,2020-03-24,110
18,2020-03-25,129
19,2020-03-26,134
20,2020-03-27,139
21,2020-03-28,149
22,2020-03-29,151
23,2020-03-30,156
24,2020-03-31,169
25,2020-04-01,188
26,2020-04-02,196
27,2020-04-03,202
28,2020-04-04,213
29,2020-04-05,227
30,2020-04-06,241
31,2020-04-07,293
32,2020-04-08,299
33,2020-04-09,337
34,2020-04-10,350
35,2020-04-11,370
36,2020-04-12,378
37,2020-04-13,384
38,2020-04-14,393
39,2020-04-15,399
40,2020-04-16,412
41,2020-04-17,422
42,2020-04-18,426
43,2020-04-19,427
44,2020-04-20,431
45,2020-04-21,443
46,2020-04-22,444
47,2020-04-23,445
48,2020-04-24,447
49,2020-04-25,448
50,2020-04-26,448
51,2020-04-27,450
52,2020-04-28,458
53,2020-04-29,463
54,2020-04-30,465
55,2020-05-01,467
56,2020-05-02,468
57,2020-05-03,477
58,2020-05-04,480
59,2020-05-05,482
60,2020-05-06,484
61,2020-05-07,486
62,2020-05-08,489
63,2020-05-09,490
64,2020-05-10,496
65,2020-05-11,503
66,2020-05-12,506
67,2020-05-13,508
68,2020-05-14,522
69,2020-05-15,532
70,2020-05-16,546
71,2020-05-17,553
72,2020-05-18,558
73,2020-05-19,569
74,2020-05-20,584
75,2020-05-21,599
76,2020-05-22,600
77,2020-05-23,609
78,2020-05-24,610
79,2020-05-25,611
80,2020-05-26,611
81,2020-05-27,612
82,2020-05-28,616
83,2020-05-29,616
84,2020-05-30,618
85,2020-05-31,618
86,2020-06-01,619
87,2020-06-02,620
88,2020-06-03,622
89,2020-06-04,622
90,2020-06-05,625
91,2020-06-06,627
92,2020-06-07,629
93,2020-06-08,630
94,2020-06-09,632
95,2020-06-10,635
96,2020-06-11,640
97,2020-06-12,645
98,2020-06-13,646
99,2020-06-14,649
100,2020-06-15,650
101,2020-06-16,656
102,2020-06-17,662
103,2020-06-18,663
104,2020-06-19,663
105,2020-06-20,664
106,2020-06-21,665
107,2020-06-22,665
108,2020-06-23,665
109,2020-06-24,665
110,2020-06-25,668
111,2020-06-26,670
112,2020-06-27,670
113,2020-06-28,670
114,2020-06-29,670
115,2020-06-30,670
116,2020-07-01,671
117,2020-07-02,671
118,2020-07-03,672
119,2020-07-04,672
120,2020-07-05,672
121,2020-07-06,672
122,2020-07-07,673
123,2020-07-08,673
124,2020-07-09,674
125,2020-07-10,674
126,2020-07-11,674
127,2020-07-12,674
128,2020-07-13,674
129,2020-07-14,674
130,2020-07-15,674
131,2020-07-16,674
132,2020-07-17,674
133,2020-07-18,675
134,2020-07-19,677
135,2020-07-20,677
136,2020-07-21,677
137,2020-07-22,679
138,2020-07-23,680
139,2020-07-24,686
140,2020-07-25,686
141,2020-07-26,700
142,2020-07-27,701
143,2020-07-28,708
144,2020-07-29,720
145,2020-07-30,814
146,2020-07-31,824
147,2020-08-01,845
148,2020-08-02,860
149,2020-08-03,874
150,2020-08-04,890
151,2020-08-05,926
152,2020-08-06,946
153,2020-08-07,995
154,2020-08-08,1035
155,2020-08-09,1089
156,2020-08-10,1112
157,2020-08-11,1141
158,2020-08-12,1190
159,2020-08-13,1245
160,2020-08-14,1276
161,2020-08-15,1348
162,2020-08-16,1306
163,2020-08-17,1375
164,2020-08-18,1423
165,2020-08-19,1470
166,2020-08-20,1510
167,2020-08-21,1546
168,2020-08-22,1577
169,2020-08-23,1612
170,2020-08-24,1667
171,2020-08-25,1705
172,2020-08-26,1751
173,2020-08-27,1788
174,2020-08-28,1820
175,2020-08-29,1847
176,2020-08-30,1862
177,2020-08-31,1883
178,2020-09-01,1909
179,2020-09-02,1931
180,2020-09-03,1965
181,2020-09-04,1984
182,2020-09-05,2014
183,2020-09-06,2039
184,2020-09-07,2076
185,2020-09-08,2099
186,2020-09-09,2162
187,2020-09-10,2204
188,2020-09-11,2247
189,2020-09-12,2274
190,2020-09-13,2352
191,2020-09-14,2405
192,2020-09-15,2454
193,2020-09-16,2560
194,2020-09-17,2595
195,2020-09-18,2634
196,2020-09-19,2699
197,2020-09-20,2731
198,2020-09-21,2776
199,2020-09-22,2814
200,2020-09-23,2856
201,2020-09-24,2898
202,2020-09-25,2929
203,2020-09-26,2958
204,2020-09-27,2979
205,2020-09-28,3006
206,2020-09-29,3035
207,2020-09-30,3058
208,2020-10-01,3095
209,2020-10-02,3139
210,2020-10-03,3204
211,2020-10-04,3270
212,2020-10-05,3327
213,2020-10-06,3374
214,2020-10-07,3442
215,2020-10-08,3506
216,2020-10-09,3581
217,2020-10-10,3681
218,2020-10-11,3776
219,2020-10-12,3844
220,2020-10-13,3937
221,2020-10-14,4048
222,2020-10-15,4160
223,2020-10-16,4282
224,2020-10-17,4486
225,2020-10-18,4628
226,2020-10-19,4737
227,2020-10-20,4871
228,2020-10-21,5026
229,2020-10-22,5137
230,2020-10-23,5258
231,2020-10-24,5373
232,2020-10-25,5498
233,2020-10-26,5578
