,Date,Cases
0,2020-03-18,3
1,2020-03-19,3
2,2020-03-20,12
3,2020-03-21,14
4,2020-03-22,28
5,2020-03-23,36
6,2020-03-24,42
7,2020-03-25,48
8,2020-03-26,81
9,2020-03-27,94
10,2020-03-28,102
11,2020-03-29,107
12,2020-03-30,128
13,2020-03-31,143
14,2020-04-01,161
15,2020-04-02,169
16,2020-04-03,186
17,2020-04-04,196
18,2020-04-05,227
19,2020-04-06,244
20,2020-04-07,268
21,2020-04-08,273
22,2020-04-09,314
23,2020-04-10,318
24,2020-04-11,319
25,2020-04-12,324
26,2020-04-13,324
27,2020-04-14,324
28,2020-04-15,324
29,2020-04-16,324
30,2020-04-17,324
31,2020-04-18,325
32,2020-04-19,328
33,2020-04-20,328
34,2020-04-21,328
35,2020-04-22,329
36,2020-04-23,331
37,2020-04-24,331
38,2020-04-25,331
39,2020-04-26,332
40,2020-04-27,334
41,2020-04-28,334
42,2020-04-29,332
43,2020-04-30,332
44,2020-05-01,332
45,2020-05-02,332
46,2020-05-03,332
47,2020-05-04,332
48,2020-05-05,332
49,2020-05-06,332
50,2020-05-07,332
51,2020-05-08,332
52,2020-05-09,332
53,2020-05-10,332
54,2020-05-11,332
55,2020-05-12,332
56,2020-05-13,332
57,2020-05-14,332
58,2020-05-15,332
59,2020-05-16,332
60,2020-05-17,332
61,2020-05-18,332
62,2020-05-19,332
63,2020-05-20,332
64,2020-05-21,332
65,2020-05-22,332
66,2020-05-23,332
67,2020-05-24,334
68,2020-05-25,334
69,2020-05-26,334
70,2020-05-27,334
71,2020-05-28,334
72,2020-05-29,335
73,2020-05-30,335
74,2020-05-31,335
75,2020-06-01,335
76,2020-06-02,335
77,2020-06-03,335
78,2020-06-04,335
79,2020-06-05,337
80,2020-06-06,337
81,2020-06-07,337
82,2020-06-08,337
83,2020-06-09,337
84,2020-06-10,337
85,2020-06-11,337
86,2020-06-12,337
87,2020-06-13,337
88,2020-06-14,337
89,2020-06-15,337
90,2020-06-16,337
91,2020-06-17,337
92,2020-06-18,337
93,2020-06-19,337
94,2020-06-20,337
95,2020-06-21,337
96,2020-06-22,340
97,2020-06-23,340
98,2020-06-24,341
99,2020-06-25,341
100,2020-06-26,341
101,2020-06-27,341
102,2020-06-28,341
103,2020-06-29,341
104,2020-06-30,341
105,2020-07-01,341
106,2020-07-02,341
107,2020-07-03,341
108,2020-07-04,341
109,2020-07-05,341
110,2020-07-06,342
111,2020-07-07,342
112,2020-07-08,342
113,2020-07-09,342
114,2020-07-10,342
115,2020-07-11,342
116,2020-07-12,342
117,2020-07-13,342
118,2020-07-14,342
119,2020-07-15,343
120,2020-07-16,343
121,2020-07-17,343
122,2020-07-18,343
123,2020-07-19,343
124,2020-07-20,343
125,2020-07-21,343
126,2020-07-22,343
127,2020-07-23,343
128,2020-07-24,344
129,2020-07-25,344
130,2020-07-26,344
131,2020-07-27,344
132,2020-07-28,344
133,2020-07-29,344
134,2020-07-30,344
135,2020-07-31,344
136,2020-08-01,344
137,2020-08-02,344
138,2020-08-03,344
139,2020-08-04,344
140,2020-08-05,344
141,2020-08-06,344
142,2020-08-07,344
143,2020-08-08,344
144,2020-08-09,344
145,2020-08-10,344
146,2020-08-11,344
147,2020-08-12,344
148,2020-08-13,344
149,2020-08-14,345
150,2020-08-15,346
151,2020-08-16,346
152,2020-08-17,346
153,2020-08-18,346
154,2020-08-19,346
155,2020-08-20,346
156,2020-08-21,346
157,2020-08-22,346
158,2020-08-23,346
159,2020-08-24,347
160,2020-08-25,348
161,2020-08-26,348
162,2020-08-27,355
163,2020-08-28,355
164,2020-08-29,355
165,2020-08-30,355
166,2020-08-31,356
167,2020-09-01,356
168,2020-09-02,356
169,2020-09-03,356
170,2020-09-04,356
171,2020-09-05,356
172,2020-09-06,356
173,2020-09-07,356
174,2020-09-08,361
175,2020-09-09,361
176,2020-09-10,361
177,2020-09-11,361
178,2020-09-12,361
179,2020-09-13,361
180,2020-09-14,361
181,2020-09-15,365
182,2020-09-16,365
183,2020-09-17,366
184,2020-09-18,366
185,2020-09-19,366
186,2020-09-20,366
187,2020-09-21,366
188,2020-09-22,367
189,2020-09-23,367
190,2020-09-24,367
191,2020-09-25,367
192,2020-09-26,367
193,2020-09-27,367
194,2020-09-28,367
