,Date,Cases
0,2020-02-28,1
1,2020-02-29,4
2,2020-03-01,5
3,2020-03-02,5
4,2020-03-03,5
5,2020-03-04,5
6,2020-03-05,5
7,2020-03-06,6
8,2020-03-07,6
9,2020-03-08,7
10,2020-03-09,7
11,2020-03-10,7
12,2020-03-11,8
13,2020-03-12,12
14,2020-03-13,26
15,2020-03-14,41
16,2020-03-15,53
17,2020-03-16,82
18,2020-03-17,93
19,2020-03-18,118
20,2020-03-19,164
21,2020-03-20,203
22,2020-03-21,251
23,2020-03-22,316
24,2020-03-23,367
25,2020-03-24,405
26,2020-03-25,475
27,2020-03-26,585
28,2020-03-27,717
29,2020-03-28,848
30,2020-03-29,993
31,2020-03-30,1094
32,2020-03-31,1215
33,2020-04-01,1378
34,2020-04-02,1510
35,2020-04-03,1688
36,2020-04-04,1890
37,2020-04-05,2143
38,2020-04-06,2439
39,2020-04-07,2785
40,2020-04-08,3181
41,2020-04-09,3441
42,2020-04-10,3844
43,2020-04-11,4219
44,2020-04-12,4661
45,2020-04-13,5014
46,2020-04-14,5399
47,2020-04-15,5847
48,2020-04-16,6297
49,2020-04-17,6875
50,2020-04-18,7497
51,2020-04-19,8261
52,2020-04-20,8772
53,2020-04-21,9501
54,2020-04-22,10544
55,2020-04-23,11633
56,2020-04-24,12872
57,2020-04-25,13842
58,2020-04-26,14677
59,2020-04-27,15529
60,2020-04-28,16752
61,2020-04-29,17799
62,2020-04-30,19224
63,2020-05-01,20739
64,2020-05-02,22088
65,2020-05-03,23471
66,2020-05-04,24905
67,2020-05-05,26025
68,2020-05-06,27634
69,2020-05-07,29616
70,2020-05-08,31522
71,2020-05-09,33460
72,2020-05-10,35022
73,2020-05-11,36327
74,2020-05-12,38324
75,2020-05-13,40186
76,2020-05-14,42595
77,2020-05-15,45032
78,2020-05-16,47144
79,2020-05-17,49219
80,2020-05-18,51633
81,2020-05-19,54346
82,2020-05-20,56594
83,2020-05-21,59567
84,2020-05-22,62527
85,2020-05-23,65856
86,2020-05-24,68620
87,2020-05-25,71105
88,2020-05-26,74560
89,2020-05-27,78023
90,2020-05-28,81400
91,2020-05-29,84627
92,2020-05-30,87512
93,2020-05-31,90664
94,2020-06-01,93435
95,2020-06-02,97326
96,2020-06-03,101238
97,2020-06-04,105680
