,Date,Cases
0,2020-03-08,1
1,2020-03-09,1
2,2020-03-10,3
3,2020-03-11,3
4,2020-03-12,3
5,2020-03-13,6
6,2020-03-14,12
7,2020-03-15,23
8,2020-03-16,23
9,2020-03-17,30
10,2020-03-18,30
11,2020-03-19,49
12,2020-03-20,66
13,2020-03-21,80
14,2020-03-22,94
15,2020-03-23,109
16,2020-03-24,125
17,2020-03-25,149
18,2020-03-26,177
19,2020-03-27,199
20,2020-03-28,231
21,2020-03-29,263
22,2020-03-30,298
23,2020-03-31,353
24,2020-04-01,423
25,2020-04-02,505
26,2020-04-03,591
27,2020-04-04,752
28,2020-04-05,864
29,2020-04-06,965
30,2020-04-07,1056
31,2020-04-08,1174
32,2020-04-09,1289
33,2020-04-10,1438
34,2020-04-11,1560
35,2020-04-12,1662
36,2020-04-13,1712
37,2020-04-14,1934
38,2020-04-15,2049
39,2020-04-16,2154
40,2020-04-17,2264
41,2020-04-18,2378
42,2020-04-19,2472
43,2020-04-20,2548
44,2020-04-21,2614
45,2020-04-22,2778
46,2020-04-23,2926
47,2020-04-24,3110
48,2020-04-25,3304
49,2020-04-26,3408
50,2020-04-27,3481
51,2020-04-28,3638
52,2020-04-29,3771
53,2020-04-30,3897
54,2020-05-01,3980
55,2020-05-02,4052
56,2020-05-03,4121
57,2020-05-04,4248
58,2020-05-05,4363
59,2020-05-06,4476
60,2020-05-07,4605
61,2020-05-08,4728
62,2020-05-09,4867
63,2020-05-10,4927
64,2020-05-11,4995
65,2020-05-12,5154
66,2020-05-13,5406
67,2020-05-14,5553
68,2020-05-15,5745
69,2020-05-16,5934
70,2020-05-17,6060
71,2020-05-18,6138
72,2020-05-19,6340
73,2020-05-20,6553
74,2020-05-21,6704
75,2020-05-22,6847
76,2020-05-23,6994
77,2020-05-24,7093
78,2020-05-25,7147
79,2020-05-26,7305
80,2020-05-27,7537
81,2020-05-28,7725
82,2020-05-29,7896
83,2020-05-30,8098
84,2020-05-31,8251
85,2020-06-01,8360
86,2020-06-02,8548
87,2020-06-03,8795
88,2020-06-04,9018
89,2020-06-05,9247
90,2020-06-06,9511
91,2020-06-07,9700
92,2020-06-08,9807
93,2020-06-09,10025
94,2020-06-10,10321
95,2020-06-11,10727
96,2020-06-12,11093
97,2020-06-13,11459
98,2020-06-14,11740
99,2020-06-15,11879
100,2020-06-16,12254
101,2020-06-17,12732
102,2020-06-18,13106
103,2020-06-19,13556
104,2020-06-20,13953
105,2020-06-21,14200
106,2020-06-22,14363
107,2020-06-23,14714
108,2020-06-24,15078
109,2020-06-25,15453
110,2020-06-26,15776
111,2020-06-27,16080
112,2020-06-28,16250
113,2020-06-29,16357
114,2020-06-30,16613
115,2020-07-01,16898
116,2020-07-02,17150
117,2020-07-03,17445
118,2020-07-04,17672
119,2020-07-05,17814
120,2020-07-06,17906
121,2020-07-07,18141
122,2020-07-08,18471
123,2020-07-09,18666
124,2020-07-10,18924
125,2020-07-11,19208
126,2020-07-12,19382
127,2020-07-13,19439
128,2020-07-14,19708
129,2020-07-15,20040
130,2020-07-16,20264
131,2020-07-17,20494
132,2020-07-18,20794
133,2020-07-19,20980
134,2020-07-20,21115
135,2020-07-21,21442
136,2020-07-22,21798
137,2020-07-23,22105
138,2020-07-24,22483
139,2020-07-25,22828
140,2020-07-26,23034
141,2020-07-27,23154
142,2020-07-28,23521
143,2020-07-29,23947
144,2020-07-30,24343
145,2020-07-31,24733
146,2020-08-01,25113
147,2020-08-02,25362
148,2020-08-03,25482
149,2020-08-04,25814
150,2020-08-05,26222
151,2020-08-06,26628
152,2020-08-07,26990
153,2020-08-08,27443
154,2020-08-09,27660
155,2020-08-10,27841
156,2020-08-11,28223
157,2020-08-12,28697
158,2020-08-13,29087
159,2020-08-14,29483
160,2020-08-15,29905
161,2020-08-16,30183
162,2020-08-17,30377
163,2020-08-18,30789
164,2020-08-19,31415
165,2020-08-20,31937
166,2020-08-21,32484
167,2020-08-22,33072
168,2020-08-23,33478
169,2020-08-24,33828
170,2020-08-25,34358
171,2020-08-26,34982
172,2020-08-27,35546
173,2020-08-28,35904
174,2020-08-29,36404
175,2020-08-30,36700
176,2020-08-31,36920
177,2020-09-01,37208
178,2020-09-02,37740
179,2020-09-03,38372
180,2020-09-04,38906
181,2020-09-05,39473
182,2020-09-06,39797
183,2020-09-07,40055
184,2020-09-08,40556
185,2020-09-09,41144
186,2020-09-10,41704
187,2020-09-11,42183
188,2020-09-12,42714
189,2020-09-13,42978
190,2020-09-14,43207
191,2020-09-15,43734
192,2020-09-16,44361
193,2020-09-17,44983
194,2020-09-18,45648
195,2020-09-19,46336
196,2020-09-20,46596
197,2020-09-21,46796
198,2020-09-22,47446
199,2020-09-23,48232
200,2020-09-24,48953
201,2020-09-25,49666
202,2020-09-26,50534
203,2020-09-27,50875
204,2020-09-28,51194
205,2020-09-29,52029
206,2020-09-30,53042
207,2020-10-01,54064
208,2020-10-02,55016
209,2020-10-03,55888
210,2020-10-04,56579
211,2020-10-05,56901
212,2020-10-06,57732
213,2020-10-07,58794
214,2020-10-08,59915
215,2020-10-09,60833
216,2020-10-10,61762
217,2020-10-11,62151
218,2020-10-12,62618
219,2020-10-13,63275
220,2020-10-14,64424
221,2020-10-15,65076
222,2020-10-16,65860
223,2020-10-17,66652
224,2020-10-18,67050
225,2020-10-19,67302
226,2020-10-20,67958
227,2020-10-21,68791
228,2020-10-22,69568
229,2020-10-23,70256
230,2020-10-24,71089
231,2020-10-25,71503
232,2020-10-26,71811
233,2020-10-27,72460
234,2020-10-28,73321
235,2020-10-29,74233
236,2020-10-30,75201
237,2020-10-31,76040
238,2020-11-01,76582
239,2020-11-02,76777
240,2020-11-03,77487
241,2020-11-04,78507
242,2020-11-05,79566
243,2020-11-06,80501
244,2020-11-07,81675
245,2020-11-08,82346
246,2020-11-09,82677
247,2020-11-10,83592
248,2020-11-11,84707
249,2020-11-12,86038
250,2020-11-13,87361
251,2020-11-14,88772
252,2020-11-15,89279
253,2020-11-16,89843
254,2020-11-17,90912
255,2020-11-18,92519
256,2020-11-19,93961
257,2020-11-20,95383
258,2020-11-21,96689
259,2020-11-22,97941
260,2020-11-23,98418
261,2020-11-24,99633
262,2020-11-25,101203
263,2020-11-26,102894
264,2020-11-27,104140
265,2020-11-28,105852
266,2020-11-29,107017
267,2020-11-30,107364
268,2020-12-01,108863
269,2020-12-02,110580
270,2020-12-03,112307
271,2020-12-04,113829
272,2020-12-05,115557
273,2020-12-06,116365
274,2020-12-07,117495
275,2020-12-08,119204
276,2020-12-09,120970
277,2020-12-10,122685
278,2020-12-11,124264
279,2020-12-12,125723
280,2020-12-13,126518
281,2020-12-14,127253
282,2020-12-15,128656
283,2020-12-16,130329
284,2020-12-17,131919
285,2020-12-18,133360
286,2020-12-19,134578
287,2020-12-20,135207
288,2020-12-21,135910
289,2020-12-22,136931
290,2020-12-23,138213
291,2020-12-24,139435
