,Date,Cases
0,2020-02-29,1
1,2020-03-01,1
2,2020-03-02,1
3,2020-03-03,1
4,2020-03-04,1
5,2020-03-05,1
6,2020-03-06,1
7,2020-03-07,1
8,2020-03-08,1
9,2020-03-09,1
10,2020-03-10,1
11,2020-03-11,1
12,2020-03-12,2
13,2020-03-13,2
14,2020-03-14,2
15,2020-03-15,2
16,2020-03-16,7
17,2020-03-17,7
18,2020-03-18,7
19,2020-03-19,7
20,2020-03-20,11
21,2020-03-21,11
22,2020-03-22,23
23,2020-03-23,23
24,2020-03-24,23
25,2020-03-25,31
26,2020-03-26,33
27,2020-03-27,42
28,2020-03-28,42
29,2020-03-29,46
30,2020-03-30,49
31,2020-03-31,52
32,2020-04-01,55
33,2020-04-02,60
34,2020-04-03,64
35,2020-04-04,66
36,2020-04-05,73
37,2020-04-06,77
38,2020-04-07,79
39,2020-04-08,81
40,2020-04-09,84
41,2020-04-10,90
42,2020-04-11,92
43,2020-04-12,93
44,2020-04-13,93
45,2020-04-14,93
46,2020-04-15,93
47,2020-04-16,93
48,2020-04-17,94
49,2020-04-18,94
50,2020-04-19,94
51,2020-04-20,94
52,2020-04-21,94
53,2020-04-22,94
54,2020-04-23,94
55,2020-04-24,94
56,2020-04-25,94
57,2020-04-26,94
58,2020-04-27,95
59,2020-04-28,95
60,2020-04-29,95
61,2020-04-30,95
62,2020-05-01,95
63,2020-05-02,95
64,2020-05-03,95
65,2020-05-04,95
66,2020-05-05,95
67,2020-05-06,95
68,2020-05-07,95
69,2020-05-08,95
70,2020-05-09,96
71,2020-05-10,96
72,2020-05-11,96
73,2020-05-12,96
74,2020-05-13,96
75,2020-05-14,96
76,2020-05-15,96
77,2020-05-16,96
78,2020-05-17,96
79,2020-05-18,97
80,2020-05-19,97
81,2020-05-20,97
82,2020-05-21,97
83,2020-05-22,97
84,2020-05-23,98
85,2020-05-24,98
86,2020-05-25,98
87,2020-05-26,98
88,2020-05-27,98
89,2020-05-28,98
90,2020-05-29,98
91,2020-05-30,99
92,2020-05-31,99
93,2020-06-01,99
94,2020-06-02,99
95,2020-06-03,99
96,2020-06-04,99
97,2020-06-05,99
98,2020-06-06,99
99,2020-06-07,99
100,2020-06-08,99
101,2020-06-09,99
102,2020-06-10,99
103,2020-06-11,99
104,2020-06-12,99
105,2020-06-13,99
106,2020-06-14,99
107,2020-06-15,99
108,2020-06-16,99
109,2020-06-17,99
110,2020-06-18,99
111,2020-06-19,99
112,2020-06-20,99
113,2020-06-21,100
114,2020-06-22,101
115,2020-06-23,101
116,2020-06-24,102
117,2020-06-25,102
118,2020-06-26,102
119,2020-06-27,103
120,2020-06-28,103
121,2020-06-29,103
122,2020-06-30,103
123,2020-07-01,103
124,2020-07-02,106
125,2020-07-03,106
126,2020-07-04,106
127,2020-07-05,108
128,2020-07-06,108
129,2020-07-07,108
130,2020-07-08,108
131,2020-07-09,108
132,2020-07-10,108
133,2020-07-11,109
134,2020-07-12,109
135,2020-07-13,109
136,2020-07-14,109
137,2020-07-15,109
