,Date,Cases
0,2020-03-17,2
1,2020-03-18,2
2,2020-03-19,3
3,2020-03-20,14
4,2020-03-21,14
5,2020-03-22,21
6,2020-03-23,27
7,2020-03-24,47
8,2020-03-25,52
9,2020-03-26,69
10,2020-03-27,82
11,2020-03-28,84
12,2020-03-29,85
13,2020-03-30,91
14,2020-03-31,109
15,2020-04-01,123
16,2020-04-02,144
17,2020-04-03,174
18,2020-04-04,201
19,2020-04-05,214
20,2020-04-06,233
21,2020-04-07,241
22,2020-04-08,248
23,2020-04-09,252
24,2020-04-10,255
25,2020-04-11,263
26,2020-04-12,272
27,2020-04-13,274
28,2020-04-14,283
29,2020-04-15,288
30,2020-04-16,303
31,2020-04-17,303
32,2020-04-18,307
33,2020-04-19,308
34,2020-04-20,312
35,2020-04-21,313
36,2020-04-22,315
37,2020-04-23,316
38,2020-04-24,319
39,2020-04-25,320
40,2020-04-26,321
41,2020-04-27,321
42,2020-04-28,321
43,2020-04-29,322
44,2020-04-30,322
45,2020-05-01,322
46,2020-05-02,322
47,2020-05-03,322
48,2020-05-04,323
49,2020-05-05,324
50,2020-05-06,324
51,2020-05-07,324
52,2020-05-08,324
53,2020-05-09,324
54,2020-05-10,324
55,2020-05-11,324
56,2020-05-12,324
57,2020-05-13,324
58,2020-05-14,324
59,2020-05-15,324
60,2020-05-16,324
61,2020-05-17,324
62,2020-05-18,324
63,2020-05-19,324
64,2020-05-20,324
65,2020-05-21,324
66,2020-05-22,324
67,2020-05-23,324
68,2020-05-24,324
69,2020-05-25,324
70,2020-05-26,324
71,2020-05-27,324
72,2020-05-28,324
73,2020-05-29,324
74,2020-05-30,324
75,2020-05-31,324
76,2020-06-01,324
77,2020-06-02,324
78,2020-06-03,324
79,2020-06-04,324
80,2020-06-05,324
81,2020-06-06,324
82,2020-06-07,324
83,2020-06-08,324
84,2020-06-09,324
85,2020-06-10,324
86,2020-06-11,324
87,2020-06-12,324
88,2020-06-13,324
89,2020-06-14,325
90,2020-06-15,326
91,2020-06-16,326
92,2020-06-17,333
93,2020-06-18,337
94,2020-06-19,355
95,2020-06-20,359
96,2020-06-21,362
97,2020-06-22,367
98,2020-06-23,378
99,2020-06-24,389
100,2020-06-25,414
101,2020-06-26,439
102,2020-06-27,469
103,2020-06-28,481
104,2020-06-29,501
105,2020-06-30,548
106,2020-07-01,576
107,2020-07-02,616
108,2020-07-03,663
109,2020-07-04,720
110,2020-07-05,781
111,2020-07-06,841
112,2020-07-07,907
113,2020-07-08,960
114,2020-07-09,1019
115,2020-07-10,1019
116,2020-07-11,1164
117,2020-07-12,1221
118,2020-07-13,1287
119,2020-07-14,1287
120,2020-07-15,1287
121,2020-07-16,1287
122,2020-07-17,1965
123,2020-07-18,2072
124,2020-07-19,2188
125,2020-07-20,2188
126,2020-07-21,2381
127,2020-07-22,2472
128,2020-07-23,2569
129,2020-07-24,2665
130,2020-07-25,2747
131,2020-07-26,2799
132,2020-07-27,2893
133,2020-07-28,2949
134,2020-07-29,3016
135,2020-07-30,3016
136,2020-07-31,3073
137,2020-08-01,3198
138,2020-08-02,3258
139,2020-08-03,3301
140,2020-08-04,3361
141,2020-08-05,3411
142,2020-08-06,3480
143,2020-08-07,3549
144,2020-08-08,3588
145,2020-08-09,3618
146,2020-08-10,3696
147,2020-08-11,3748
148,2020-08-12,3813
149,2020-08-13,3857
150,2020-08-14,3930
151,2020-08-15,3960
152,2020-08-16,4035
153,2020-08-17,4085
154,2020-08-18,4132
155,2020-08-19,4174
156,2020-08-20,4229
157,2020-08-21,4277
158,2020-08-22,4313
159,2020-08-23,4343
160,2020-08-24,4378
161,2020-08-25,4444
162,2020-08-26,4499
163,2020-08-27,4558
164,2020-08-28,4663
165,2020-08-29,4727
166,2020-08-30,4790
167,2020-08-31,4835
168,2020-09-01,4917
169,2020-09-02,5019
170,2020-09-03,5165
171,2020-09-04,5275
172,2020-09-05,5422
173,2020-09-06,5553
174,2020-09-07,5659
175,2020-09-08,5875
176,2020-09-09,6094
177,2020-09-10,6222
178,2020-09-11,6385
179,2020-09-12,6530
180,2020-09-13,6712
181,2020-09-14,6900
182,2020-09-15,7061
183,2020-09-16,7291
184,2020-09-17,7503
185,2020-09-18,7711
186,2020-09-19,7898
187,2020-09-20,8612
188,2020-09-21,8842
189,2020-09-22,9138
190,2020-09-23,9428
191,2020-09-24,9717
192,2020-09-25,9962
193,2020-09-26,10197
194,2020-09-27,10313
195,2020-09-28,10441
196,2020-09-29,10575
197,2020-09-30,10772
198,2020-10-01,10987
199,2020-10-02,11690
200,2020-10-03,11934
201,2020-10-04,12127
202,2020-10-05,12359
203,2020-10-06,12584
204,2020-10-07,12794
205,2020-10-08,13004
206,2020-10-09,13348
207,2020-10-10,13641
208,2020-10-11,13869
209,2020-10-12,14050
210,2020-10-13,14268
211,2020-10-14,14461
212,2020-10-15,14672
213,2020-10-16,15281
214,2020-10-17,15427
215,2020-10-18,15615
216,2020-10-19,15760
217,2020-10-20,15892
218,2020-10-21,16069
219,2020-10-22,16259
220,2020-10-23,16436
221,2020-10-24,16629
222,2020-10-25,16797
223,2020-10-26,16909
224,2020-10-27,17091
225,2020-10-28,17392
226,2020-10-29,17746
227,2020-10-30,18066
228,2020-10-31,18341
229,2020-11-01,18714
230,2020-11-02,19210
231,2020-11-03,19977
232,2020-11-04,20851
233,2020-11-05,21533
234,2020-11-06,22079
235,2020-11-07,22379
236,2020-11-08,22805
237,2020-11-09,23608
238,2020-11-10,24154
239,2020-11-11,24865
240,2020-11-12,25509
241,2020-11-13,26109
242,2020-11-14,26686
243,2020-11-15,27177
244,2020-11-16,27773
245,2020-11-17,28392
246,2020-11-18,29031
247,2020-11-19,29577
248,2020-11-20,30079
249,2020-11-21,30653
250,2020-11-22,31062
251,2020-11-23,31618
252,2020-11-24,32188
253,2020-11-25,32808
254,2020-11-26,33316
255,2020-11-27,33836
256,2020-11-28,34454
257,2020-11-29,34881
258,2020-11-30,35265
259,2020-12-01,35849
260,2020-12-02,36351
261,2020-12-03,36932
262,2020-12-04,37467
263,2020-12-05,37879
264,2020-12-06,38246
265,2020-12-07,38562
266,2020-12-08,39153
267,2020-12-09,39607
268,2020-12-10,40165
269,2020-12-11,40546
270,2020-12-12,40948
271,2020-12-13,41426
272,2020-12-14,41803
273,2020-12-15,42148
274,2020-12-16,42563
275,2020-12-17,42995
276,2020-12-18,43390
277,2020-12-19,43709
278,2020-12-20,43955
279,2020-12-21,44284
280,2020-12-22,44542
