,Date,Cases
0,2020-03-02,1
1,2020-03-03,1
2,2020-03-04,1
3,2020-03-05,2
4,2020-03-06,2
5,2020-03-07,2
6,2020-03-08,2
7,2020-03-09,2
8,2020-03-10,3
9,2020-03-11,5
10,2020-03-12,6
11,2020-03-13,7
12,2020-03-14,17
13,2020-03-15,28
14,2020-03-16,29
15,2020-03-17,38
16,2020-03-18,49
17,2020-03-19,63
18,2020-03-20,77
19,2020-03-21,96
20,2020-03-22,115
21,2020-03-23,143
22,2020-03-24,170
23,2020-03-25,225
24,2020-03-26,275
25,2020-03-27,345
26,2020-03-28,402
27,2020-03-29,479
28,2020-03-30,556
29,2020-03-31,617
30,2020-04-01,654
31,2020-04-02,708
32,2020-04-03,791
33,2020-04-04,919
34,2020-04-05,1021
35,2020-04-06,1120
36,2020-04-07,1184
37,2020-04-08,1275
38,2020-04-09,1374
39,2020-04-10,1448
40,2020-04-11,1545
41,2020-04-12,1661
42,2020-04-13,1763
43,2020-04-14,1888
44,2020-04-15,2024
45,2020-04-16,2283
46,2020-04-17,2564
47,2020-04-18,2685
48,2020-04-19,2855
49,2020-04-20,3046
50,2020-04-21,3209
51,2020-04-22,3446
52,2020-04-23,3568
53,2020-04-24,3758
54,2020-04-25,3897
55,2020-04-26,4065
56,2020-04-27,4120
57,2020-04-28,4252
58,2020-04-29,4321
59,2020-04-30,4423
60,2020-05-01,4569
61,2020-05-02,4729
62,2020-05-03,4903
63,2020-05-04,5053
64,2020-05-05,5219
65,2020-05-06,5408
66,2020-05-07,5548
67,2020-05-08,5711
68,2020-05-09,5910
69,2020-05-10,6063
70,2020-05-11,6281
71,2020-05-12,6418
72,2020-05-13,6512
73,2020-05-14,6607
74,2020-05-15,6652
75,2020-05-16,6741
76,2020-05-17,6870
77,2020-05-18,6952
78,2020-05-19,7023
79,2020-05-20,7133
80,2020-05-21,7211
81,2020-05-22,7332
82,2020-05-23,7406
83,2020-05-24,7433
84,2020-05-25,7532
85,2020-05-26,7577
86,2020-05-27,7601
87,2020-05-28,7643
88,2020-05-29,7714
89,2020-05-30,7780
90,2020-05-31,7807
91,2020-06-01,7833
92,2020-06-02,7866
93,2020-06-03,7922
94,2020-06-04,8003
95,2020-06-05,8071
96,2020-06-06,8151
97,2020-06-07,8224
98,2020-06-08,8302
99,2020-06-09,8437
100,2020-06-10,8508
101,2020-06-11,8537
102,2020-06-12,8610
103,2020-06-13,8692
104,2020-06-14,8793
105,2020-06-15,8885
106,2020-06-16,8931
107,2020-06-17,8997
108,2020-06-18,9074
109,2020-06-19,9613
110,2020-06-20,9839
111,2020-06-21,9977
112,2020-06-22,10172
113,2020-06-23,10344
114,2020-06-24,10907
115,2020-06-25,11338
