,Date,Cases
0,2020-03-22,1
1,2020-03-23,1
2,2020-03-24,3
3,2020-03-25,5
4,2020-03-26,7
5,2020-03-27,7
6,2020-03-28,8
7,2020-03-29,8
8,2020-03-30,8
9,2020-03-31,8
10,2020-04-01,10
11,2020-04-02,10
12,2020-04-03,10
13,2020-04-04,10
14,2020-04-05,10
15,2020-04-06,10
16,2020-04-07,10
17,2020-04-08,17
18,2020-04-09,17
19,2020-04-10,20
20,2020-04-11,20
21,2020-04-12,21
22,2020-04-13,21
23,2020-04-14,28
24,2020-04-15,29
25,2020-04-16,31
26,2020-04-17,34
27,2020-04-18,35
28,2020-04-19,39
29,2020-04-20,39
30,2020-04-21,39
31,2020-04-22,41
32,2020-04-23,46
33,2020-04-24,65
34,2020-04-25,70
35,2020-04-26,76
36,2020-04-27,76
37,2020-04-28,76
38,2020-04-29,76
39,2020-04-30,76
40,2020-05-01,79
41,2020-05-02,79
42,2020-05-03,80
43,2020-05-04,80
44,2020-05-05,81
45,2020-05-06,81
46,2020-05-07,81
47,2020-05-08,82
48,2020-05-09,87
49,2020-05-10,91
50,2020-05-11,103
51,2020-05-12,104
52,2020-05-13,104
53,2020-05-14,115
54,2020-05-15,119
55,2020-05-16,129
56,2020-05-17,137
57,2020-05-18,145
58,2020-05-19,146
59,2020-05-20,156
60,2020-05-21,162
61,2020-05-22,164
62,2020-05-23,168
63,2020-05-24,194
64,2020-05-25,209
65,2020-05-26,213
66,2020-05-27,227
67,2020-05-28,233
68,2020-05-29,234
69,2020-05-30,244
70,2020-05-31,254
71,2020-06-01,254
72,2020-06-02,307
73,2020-06-03,316
74,2020-06-04,352
75,2020-06-05,354
76,2020-06-06,409
77,2020-06-07,424
78,2020-06-08,433
79,2020-06-09,453
80,2020-06-10,472
81,2020-06-11,489
82,2020-06-12,509
83,2020-06-13,553
84,2020-06-14,583
85,2020-06-15,609
86,2020-06-16,638
87,2020-06-17,651
88,2020-06-18,662
89,2020-06-19,668
90,2020-06-20,688
91,2020-06-21,733
92,2020-06-22,737
93,2020-06-23,757
94,2020-06-24,762
95,2020-06-25,788
96,2020-06-26,816
97,2020-06-27,839
98,2020-06-28,859
99,2020-06-29,883
100,2020-06-30,889
101,2020-07-01,903
102,2020-07-02,918
103,2020-07-03,939
104,2020-07-04,969
105,2020-07-05,987
106,2020-07-06,1012
107,2020-07-07,1040
108,2020-07-08,1071
109,2020-07-09,1092
110,2020-07-10,1111
111,2020-07-11,1135
112,2020-07-12,1157
113,2020-07-13,1219
114,2020-07-14,1268
115,2020-07-15,1330
116,2020-07-16,1383
117,2020-07-17,1402
118,2020-07-18,1435
119,2020-07-19,1491
120,2020-07-20,1507
121,2020-07-21,1536
122,2020-07-22,1557
123,2020-07-23,1582
124,2020-07-24,1590
125,2020-07-25,1616
126,2020-07-26,1669
127,2020-07-27,1701
128,2020-07-28,1720
129,2020-07-29,1748
130,2020-07-30,1808
131,2020-07-31,1864
132,2020-08-01,1907
133,2020-08-02,1946
134,2020-08-03,1973
135,2020-08-04,2029
136,2020-08-05,2079
137,2020-08-06,2120
138,2020-08-07,2213
139,2020-08-08,2241
140,2020-08-09,2269
141,2020-08-10,2411
142,2020-08-11,2481
143,2020-08-12,2559
144,2020-08-13,2638
145,2020-08-14,2708
146,2020-08-15,2791
147,2020-08-16,2855
148,2020-08-17,2914
149,2020-08-18,2991
150,2020-08-19,3045
151,2020-08-20,3115
152,2020-08-21,3195
153,2020-08-22,3304
154,2020-08-23,3395
155,2020-08-24,3440
156,2020-08-25,3508
157,2020-08-26,3590
158,2020-08-27,3651
159,2020-08-28,3697
160,2020-08-29,3760
161,2020-08-30,3821
162,2020-08-31,3916
163,2020-09-01,4039
164,2020-09-02,4117
165,2020-09-03,4207
166,2020-09-04,4265
167,2020-09-05,4341
168,2020-09-06,4444
169,2020-09-07,4557
170,2020-09-08,4647
171,2020-09-09,4764
172,2020-09-10,4832
173,2020-09-11,4918
174,2020-09-12,5040
175,2020-09-13,5269
176,2020-09-14,5482
177,2020-09-15,5713
178,2020-09-16,5994
179,2020-09-17,6161
180,2020-09-18,6264
181,2020-09-19,6537
182,2020-09-20,6771
183,2020-09-21,6912
184,2020-09-22,7114
185,2020-09-23,7262
186,2020-09-24,7399
187,2020-09-25,7589
188,2020-09-26,7757
