,Date,Cases
0,2020-03-27,8
1,2020-03-28,8
2,2020-03-29,10
3,2020-03-30,14
4,2020-03-31,15
5,2020-04-01,15
6,2020-04-02,20
7,2020-04-03,20
8,2020-04-04,21
9,2020-04-05,21
10,2020-04-06,22
11,2020-04-07,22
12,2020-04-08,22
13,2020-04-09,23
14,2020-04-10,27
15,2020-04-11,38
16,2020-04-12,41
17,2020-04-13,62
18,2020-04-14,63
19,2020-04-15,74
20,2020-04-16,85
21,2020-04-17,88
22,2020-04-18,98
23,2020-04-19,111
24,2020-04-20,119
25,2020-04-21,121
26,2020-04-22,123
27,2020-04-23,139
28,2020-04-24,144
29,2020-04-25,146
30,2020-04-26,146
31,2020-04-27,146
32,2020-04-28,150
33,2020-04-29,150
34,2020-04-30,151
35,2020-05-01,151
36,2020-05-02,151
37,2020-05-03,155
38,2020-05-04,161
39,2020-05-05,161
40,2020-05-06,161
41,2020-05-07,176
42,2020-05-08,177
43,2020-05-09,178
44,2020-05-10,180
45,2020-05-11,180
46,2020-05-12,180
47,2020-05-13,181
48,2020-05-14,181
49,2020-05-15,182
50,2020-05-16,182
51,2020-05-17,184
52,2020-05-18,191
53,2020-05-19,193
54,2020-05-20,199
55,2020-05-21,199
56,2020-05-22,199
57,2020-05-23,201
58,2020-05-24,201
59,2020-05-25,203
60,2020-05-26,206
61,2020-05-27,206
62,2020-05-28,206
63,2020-05-29,207
64,2020-05-30,224
65,2020-05-31,224
66,2020-06-01,228
67,2020-06-02,232
68,2020-06-03,233
69,2020-06-04,236
70,2020-06-05,236
71,2020-06-06,240
72,2020-06-07,242
73,2020-06-08,244
74,2020-06-09,246
75,2020-06-10,248
76,2020-06-11,260
77,2020-06-12,261
78,2020-06-13,261
79,2020-06-14,261
80,2020-06-15,262
81,2020-06-16,262
82,2020-06-17,262
83,2020-06-18,286
84,2020-06-19,286
85,2020-06-20,287
86,2020-06-21,290
87,2020-06-22,291
88,2020-06-23,292
89,2020-06-24,293
90,2020-06-25,293
91,2020-06-26,293
92,2020-06-27,296
93,2020-06-28,299
94,2020-06-29,299
95,2020-06-30,299
96,2020-07-01,303
97,2020-07-02,304
