,Date,Cases
0,2020-03-14,2
1,2020-03-15,2
2,2020-03-16,2
3,2020-03-17,2
4,2020-03-18,2
5,2020-03-19,3
6,2020-03-20,3
7,2020-03-21,3
8,2020-03-22,3
9,2020-03-23,4
10,2020-03-24,7
11,2020-03-25,7
12,2020-03-26,8
13,2020-03-27,8
14,2020-03-28,8
15,2020-03-29,11
16,2020-03-30,11
17,2020-03-31,11
18,2020-04-01,14
19,2020-04-02,14
20,2020-04-03,14
21,2020-04-04,14
22,2020-04-05,16
23,2020-04-06,16
24,2020-04-07,16
25,2020-04-08,16
26,2020-04-09,16
27,2020-04-10,16
28,2020-04-11,16
29,2020-04-12,16
30,2020-04-13,16
31,2020-04-14,16
32,2020-04-15,16
33,2020-04-16,16
34,2020-04-17,16
35,2020-04-18,16
36,2020-04-19,16
37,2020-04-20,16
38,2020-04-21,16
39,2020-04-22,16
40,2020-04-23,16
41,2020-04-24,16
42,2020-04-25,16
43,2020-04-26,16
44,2020-04-27,16
45,2020-04-28,16
46,2020-04-29,16
47,2020-04-30,16
48,2020-05-01,16
49,2020-05-02,16
50,2020-05-03,16
51,2020-05-04,16
52,2020-05-05,16
53,2020-05-06,16
54,2020-05-07,16
55,2020-05-08,16
56,2020-05-09,16
57,2020-05-10,16
58,2020-05-11,16
59,2020-05-12,16
60,2020-05-13,16
61,2020-05-14,16
62,2020-05-15,16
63,2020-05-16,16
64,2020-05-17,16
65,2020-05-18,16
66,2020-05-19,16
67,2020-05-20,16
68,2020-05-21,18
69,2020-05-22,19
70,2020-05-23,20
71,2020-05-24,21
72,2020-05-25,21
73,2020-05-26,21
74,2020-05-27,22
75,2020-05-28,22
76,2020-05-29,23
77,2020-05-30,23
78,2020-05-31,24
79,2020-06-01,25
80,2020-06-02,25
81,2020-06-03,25
82,2020-06-04,25
83,2020-06-05,25
84,2020-06-06,29
85,2020-06-07,29
86,2020-06-08,31
87,2020-06-09,31
88,2020-06-10,31
89,2020-06-11,31
90,2020-06-12,31
91,2020-06-13,32
92,2020-06-14,32
93,2020-06-15,32
94,2020-06-16,34
95,2020-06-17,36
96,2020-06-18,39
97,2020-06-19,45
98,2020-06-20,46
99,2020-06-21,55
100,2020-06-22,63
101,2020-06-23,72
102,2020-06-24,76
103,2020-06-25,102
104,2020-06-26,121
105,2020-06-27,136
106,2020-06-28,183
107,2020-06-29,196
108,2020-06-30,205
109,2020-07-01,285
110,2020-07-02,293
111,2020-07-03,350
112,2020-07-04,375
113,2020-07-05,412
114,2020-07-06,485
115,2020-07-07,539
116,2020-07-08,593
117,2020-07-09,615
118,2020-07-10,668
119,2020-07-11,668
120,2020-07-12,785
121,2020-07-13,861
122,2020-07-14,864
123,2020-07-15,960
124,2020-07-16,1032
125,2020-07-17,1078
126,2020-07-18,1203
127,2020-07-19,1247
128,2020-07-20,1344
129,2020-07-21,1366
130,2020-07-22,1402
131,2020-07-23,1522
132,2020-07-24,1618
133,2020-07-25,1687
134,2020-07-26,1775
135,2020-07-27,1843
136,2020-07-28,1917
137,2020-07-29,1986
138,2020-07-30,2052
139,2020-07-31,2129
140,2020-08-01,2224
141,2020-08-02,2294
142,2020-08-03,2406
143,2020-08-04,2470
144,2020-08-05,2540
145,2020-08-06,2652
146,2020-08-07,2802
147,2020-08-08,2802
148,2020-08-09,2949
149,2020-08-10,3101
150,2020-08-11,3229
151,2020-08-12,3406
152,2020-08-13,3544
153,2020-08-14,3726
154,2020-08-15,3907
155,2020-08-16,4154
156,2020-08-17,4344
157,2020-08-18,4464
158,2020-08-19,4665
159,2020-08-20,4912
160,2020-08-21,5227
161,2020-08-22,5538
162,2020-08-23,5854
163,2020-08-24,6030
164,2020-08-25,6160
165,2020-08-26,6431
166,2020-08-27,6712
167,2020-08-28,6906
168,2020-08-29,7116
169,2020-08-30,7365
170,2020-08-31,7550
171,2020-09-01,7692
172,2020-09-02,7844
173,2020-09-03,8082
174,2020-09-04,8323
175,2020-09-05,8514
176,2020-09-06,8685
177,2020-09-07,8810
178,2020-09-08,8928
179,2020-09-09,9108
180,2020-09-10,9256
181,2020-09-11,9437
182,2020-09-12,9604
183,2020-09-13,9719
184,2020-09-14,9818
185,2020-09-15,9901
186,2020-09-16,9964
187,2020-09-17,10078
188,2020-09-18,10207
189,2020-09-19,10292
190,2020-09-20,10377
191,2020-09-21,10526
192,2020-09-22,10607
193,2020-09-23,10663
194,2020-09-24,10740
195,2020-09-25,10835
196,2020-09-26,10918
197,2020-09-27,11033
198,2020-09-28,11121
199,2020-09-29,11140
200,2020-09-30,11265
201,2020-10-01,11373
202,2020-10-02,11480
203,2020-10-03,11572
204,2020-10-04,11626
205,2020-10-05,11654
206,2020-10-06,11673
207,2020-10-07,11714
208,2020-10-08,11781
209,2020-10-09,11829
210,2020-10-10,11891
211,2020-10-11,11936
212,2020-10-12,11989
213,2020-10-13,12000
214,2020-10-14,12069
215,2020-10-15,12103
216,2020-10-16,12215
217,2020-10-17,12263
218,2020-10-18,12293
219,2020-10-19,12326
220,2020-10-20,12367
221,2020-10-21,12406
222,2020-10-22,12460
223,2020-10-23,12501
224,2020-10-24,12579
225,2020-10-25,12660
226,2020-10-26,12675
227,2020-10-27,12729
228,2020-10-28,12806
229,2020-10-29,12858
230,2020-10-30,12907
231,2020-10-31,12935
232,2020-11-01,12988
233,2020-11-02,13012
234,2020-11-03,13030
235,2020-11-04,13046
236,2020-11-05,13090
237,2020-11-06,13143
238,2020-11-07,13170
239,2020-11-08,13211
240,2020-11-09,13240
241,2020-11-10,13253
242,2020-11-11,13292
243,2020-11-12,13345
244,2020-11-13,13372
245,2020-11-14,13449
246,2020-11-15,13508
247,2020-11-16,13555
248,2020-11-17,13566
249,2020-11-18,13610
250,2020-11-19,13662
251,2020-11-20,13712
252,2020-11-21,13811
253,2020-11-22,13865
254,2020-11-23,13897
255,2020-11-24,13938
256,2020-11-25,14006
257,2020-11-26,14155
258,2020-11-27,14207
259,2020-11-28,14285
260,2020-11-29,14345
261,2020-11-30,14380
262,2020-12-01,14416
263,2020-12-02,14477
264,2020-12-03,14599
265,2020-12-04,14804
266,2020-12-05,14950
267,2020-12-06,15078
268,2020-12-07,15219
269,2020-12-08,15298
270,2020-12-09,15472
271,2020-12-10,15773
272,2020-12-11,16097
273,2020-12-12,16269
274,2020-12-13,16536
275,2020-12-14,16726
276,2020-12-15,16913
277,2020-12-16,17276
278,2020-12-17,17607
279,2020-12-18,18041
280,2020-12-19,18437
281,2020-12-20,18714
282,2020-12-21,19299
283,2020-12-22,19629
284,2020-12-23,19984
285,2020-12-24,20579
286,2020-12-25,21262
287,2020-12-26,21398
288,2020-12-27,21923
289,2020-12-28,22287
290,2020-12-29,22851
291,2020-12-30,23333
292,2020-12-31,23941
293,2021-01-01,24545
294,2021-01-02,24654
295,2021-01-03,25116
296,2021-01-04,25386
297,2021-01-05,25887
298,2021-01-06,26319
299,2021-01-07,26682
300,2021-01-08,27255
301,2021-01-09,27723
302,2021-01-10,28259
303,2021-01-11,28602
304,2021-01-12,28871
305,2021-01-13,29183
306,2021-01-14,29570
307,2021-01-15,29889
308,2021-01-16,30198
309,2021-01-17,30363
310,2021-01-18,30753
311,2021-01-19,30995
312,2021-01-20,31253
313,2021-01-21,31515
314,2021-01-22,31848
315,2021-01-23,32213
316,2021-01-24,32425
317,2021-01-25,32650
318,2021-01-26,32957
319,2021-01-27,33265
320,2021-01-28,33459
