,Date,Cases
0,2020-01-25,1
1,2020-01-26,1
2,2020-01-27,1
3,2020-01-28,1
4,2020-01-29,1
5,2020-01-30,1
6,2020-01-31,1
7,2020-02-01,1
8,2020-02-02,1
9,2020-02-03,1
10,2020-02-04,1
11,2020-02-05,1
12,2020-02-06,1
13,2020-02-07,1
14,2020-02-08,1
15,2020-02-09,1
16,2020-02-10,1
17,2020-02-11,1
18,2020-02-12,1
19,2020-02-13,1
20,2020-02-14,1
21,2020-02-15,1
22,2020-02-16,1
23,2020-02-17,1
24,2020-02-18,1
25,2020-02-19,1
26,2020-02-20,1
27,2020-02-21,1
28,2020-02-22,1
29,2020-02-23,1
30,2020-02-24,1
31,2020-02-25,1
32,2020-02-26,1
33,2020-02-27,1
34,2020-02-28,1
35,2020-02-29,1
36,2020-03-01,1
37,2020-03-02,1
38,2020-03-03,1
39,2020-03-04,1
40,2020-03-05,1
41,2020-03-06,1
42,2020-03-07,1
43,2020-03-08,1
44,2020-03-09,1
45,2020-03-10,1
46,2020-03-11,1
47,2020-03-12,1
48,2020-03-13,1
49,2020-03-14,1
50,2020-03-15,1
51,2020-03-16,1
52,2020-03-17,1
53,2020-03-18,1
54,2020-03-19,1
55,2020-03-20,1
56,2020-03-21,1
57,2020-03-22,1
58,2020-03-23,2
59,2020-03-24,2
60,2020-03-25,3
61,2020-03-26,3
62,2020-03-27,4
63,2020-03-28,5
64,2020-03-29,5
65,2020-03-30,5
66,2020-03-31,5
67,2020-04-01,5
68,2020-04-02,6
69,2020-04-03,6
70,2020-04-04,9
71,2020-04-05,9
72,2020-04-06,9
73,2020-04-07,9
74,2020-04-08,9
75,2020-04-09,9
76,2020-04-10,9
77,2020-04-11,9
78,2020-04-12,12
79,2020-04-13,14
80,2020-04-14,16
81,2020-04-15,16
82,2020-04-16,16
83,2020-04-17,30
84,2020-04-18,31
85,2020-04-19,31
86,2020-04-20,31
87,2020-04-21,43
88,2020-04-22,45
89,2020-04-23,48
90,2020-04-24,49
91,2020-04-25,49
92,2020-04-26,52
93,2020-04-27,52
94,2020-04-28,54
95,2020-04-29,57
96,2020-04-30,57
97,2020-05-01,59
98,2020-05-02,59
99,2020-05-03,75
100,2020-05-04,75
101,2020-05-05,82
102,2020-05-06,99
103,2020-05-07,101
104,2020-05-08,102
105,2020-05-09,110
106,2020-05-10,110
107,2020-05-11,134
108,2020-05-12,217
109,2020-05-13,250
110,2020-05-14,249
111,2020-05-15,267
112,2020-05-16,291
113,2020-05-17,295
114,2020-05-18,375
115,2020-05-19,402
116,2020-05-20,427
117,2020-05-21,457
118,2020-05-22,516
119,2020-05-23,584
120,2020-05-24,603
121,2020-05-25,682
122,2020-05-26,772
123,2020-05-27,886
124,2020-05-28,1042
125,2020-05-29,1212
126,2020-05-30,1401
127,2020-05-31,1572
128,2020-06-01,1811
129,2020-06-02,2099
130,2020-06-03,2300
131,2020-06-04,2634
132,2020-06-05,2912
133,2020-06-06,3235
134,2020-06-07,3448
135,2020-06-08,3762
136,2020-06-09,4086
137,2020-06-10,4364
138,2020-06-11,4614
139,2020-06-12,5062
140,2020-06-13,5335
141,2020-06-14,5760
142,2020-06-15,6211
143,2020-06-16,6591
144,2020-06-17,7177
145,2020-06-18,7848
146,2020-06-19,8274
147,2020-06-20,8605
148,2020-06-21,9026
149,2020-06-22,9561
150,2020-06-23,10099
151,2020-06-24,10728
152,2020-06-25,11162
153,2020-06-26,11755
154,2020-06-27,12309
155,2020-06-28,12772
156,2020-06-29,13248
157,2020-06-30,13564
158,2020-07-01,14046
159,2020-07-02,14519
160,2020-07-03,15259
161,2020-07-04,15491
162,2020-07-05,15784
163,2020-07-06,15964
164,2020-07-07,16168
165,2020-07-08,16423
166,2020-07-09,16531
167,2020-07-10,16649
168,2020-07-11,16719
169,2020-07-12,16801
170,2020-07-13,16945
171,2020-07-14,17061
172,2020-07-15,17177
173,2020-07-16,17344
174,2020-07-17,17445
175,2020-07-18,17502
176,2020-07-19,17658
177,2020-07-20,17844
178,2020-07-21,17994
179,2020-07-22,18094
180,2020-07-23,18241
181,2020-07-24,18374
182,2020-07-25,18483
183,2020-07-26,18613
184,2020-07-27,18752
185,2020-07-28,19063
186,2020-07-29,19273
187,2020-07-30,19547
188,2020-07-31,19771
189,2020-08-01,20086
190,2020-08-02,20332
191,2020-08-03,20750
192,2020-08-04,21009
193,2020-08-05,21390
194,2020-08-06,21750
195,2020-08-07,22214
196,2020-08-08,22592
197,2020-08-09,22972
198,2020-08-10,23310
199,2020-08-11,23948
200,2020-08-12,24432
201,2020-08-13,24957
202,2020-08-14,25551
203,2020-08-15,26019
204,2020-08-16,26660
205,2020-08-17,27241
206,2020-08-18,28257
207,2020-08-19,28938
208,2020-08-20,29645
209,2020-08-21,30483
210,2020-08-22,31117
211,2020-08-23,31935
212,2020-08-24,32678
213,2020-08-25,33533
214,2020-08-26,34418
215,2020-08-27,35529
216,2020-08-28,36456
217,2020-08-29,37340
218,2020-08-30,38561
219,2020-08-31,39460
220,2020-09-01,40529
221,2020-09-02,41649
222,2020-09-03,42877
223,2020-09-04,44236
224,2020-09-05,45277
225,2020-09-06,46257
226,2020-09-07,47236
227,2020-09-08,48138
228,2020-09-09,49219
229,2020-09-10,50465
230,2020-09-11,51919
231,2020-09-12,53120
232,2020-09-13,54159
233,2020-09-14,55329
234,2020-09-15,56788
235,2020-09-16,58327
236,2020-09-17,59573
237,2020-09-18,61593
238,2020-09-19,62797
239,2020-09-20,64122
240,2020-09-21,65276
241,2020-09-22,66632
242,2020-09-23,67804
243,2020-09-24,69301
244,2020-09-25,70614
245,2020-09-26,71821
246,2020-09-27,73394
247,2020-09-28,74745
248,2020-09-29,76258
249,2020-09-30,77817
250,2020-10-01,79728
251,2020-10-02,82450
252,2020-10-03,84570
253,2020-10-04,86823
254,2020-10-05,89263
255,2020-10-06,90814
256,2020-10-07,94253
257,2020-10-08,98617
258,2020-10-09,100676
259,2020-10-10,105684
260,2020-10-11,107755
261,2020-10-12,111802
262,2020-10-13,115358
263,2020-10-14,117996
264,2020-10-15,121745
265,2020-10-16,126137
266,2020-10-17,129304
267,2020-10-18,132246
268,2020-10-19,136036
