,Date,Cases
0,2020-02-27,1
1,2020-02-28,1
2,2020-02-29,6
3,2020-03-01,10
4,2020-03-02,18
5,2020-03-03,24
6,2020-03-04,38
7,2020-03-05,82
8,2020-03-06,128
9,2020-03-07,188
10,2020-03-08,265
11,2020-03-09,321
12,2020-03-10,382
13,2020-03-11,503
14,2020-03-12,503
15,2020-03-13,806
16,2020-03-14,962
17,2020-03-15,1138
18,2020-03-16,1416
19,2020-03-17,1711
20,2020-03-18,2058
21,2020-03-19,2467
22,2020-03-20,3003
23,2020-03-21,3640
24,2020-03-22,4217
25,2020-03-23,4764
26,2020-03-24,5580
27,2020-03-25,6438
28,2020-03-26,7468
29,2020-03-27,8647
30,2020-03-28,9819
31,2020-03-29,10930
32,2020-03-30,11817
33,2020-03-31,12667
34,2020-04-01,13696
35,2020-04-02,14788
36,2020-04-03,15821
37,2020-04-04,16727
38,2020-04-05,17953
39,2020-04-06,18926
40,2020-04-07,19709
41,2020-04-08,20682
42,2020-04-09,21903
43,2020-04-10,23249
44,2020-04-11,24571
45,2020-04-12,25746
46,2020-04-13,26710
47,2020-04-14,27580
48,2020-04-15,28316
49,2020-04-16,29383
50,2020-04-17,30619
51,2020-04-18,31766
52,2020-04-19,32838
53,2020-04-20,33588
54,2020-04-21,34317
55,2020-04-22,35032
56,2020-04-23,35921
57,2020-04-24,36729
58,2020-04-25,37384
59,2020-04-26,38040
60,2020-04-27,38440
61,2020-04-28,38612
62,2020-04-29,38998
63,2020-04-30,39512
64,2020-05-01,39989
65,2020-05-02,40434
66,2020-05-03,40769
67,2020-05-04,40968
68,2020-05-05,41286
69,2020-05-06,41518
70,2020-05-07,41973
71,2020-05-08,42292
72,2020-05-09,42581
73,2020-05-10,42826
74,2020-05-11,42987
75,2020-05-12,43183
76,2020-05-13,43410
77,2020-05-14,43680
78,2020-05-15,43880
79,2020-05-16,44070
80,2020-05-17,44195
81,2020-05-18,44341
82,2020-05-19,44449
83,2020-05-20,44647
84,2020-05-21,44900
85,2020-05-22,45088
86,2020-05-23,45265
87,2020-05-24,45437
88,2020-05-25,45647
89,2020-05-26,45780
90,2020-05-27,45970
91,2020-05-28,46152
92,2020-05-29,46328
93,2020-05-30,46460
94,2020-05-31,46645
95,2020-06-01,46749
96,2020-06-02,46852
97,2020-06-03,46939
98,2020-06-04,47148
99,2020-06-05,47358
100,2020-06-06,47541
101,2020-06-07,47780
102,2020-06-08,47945
103,2020-06-09,48109
104,2020-06-10,48294
105,2020-06-11,48458
106,2020-06-12,48668
107,2020-06-13,48847
108,2020-06-14,48990
109,2020-06-15,49155
110,2020-06-16,49295
111,2020-06-17,49412
112,2020-06-18,49527
113,2020-06-19,49634
114,2020-06-20,49710
115,2020-06-21,49801
116,2020-06-22,49866
117,2020-06-23,49930
118,2020-06-24,50012
119,2020-06-25,50122
120,2020-06-26,50213
121,2020-06-27,50282
122,2020-06-28,50355
123,2020-06-29,50433
124,2020-06-30,50483
125,2020-07-01,50545
126,2020-07-02,50623
127,2020-07-03,50698
128,2020-07-04,50761
129,2020-07-05,50834
130,2020-07-06,50870
131,2020-07-07,50907
132,2020-07-08,50959
133,2020-07-09,51013
134,2020-07-10,51055
135,2020-07-11,51136
136,2020-07-12,51237
137,2020-07-13,51308
138,2020-07-14,51362
139,2020-07-15,51471
140,2020-07-16,51572
141,2020-07-17,51682
142,2020-07-18,51809
143,2020-07-19,51955
144,2020-07-20,52142
145,2020-07-21,52307
146,2020-07-22,52475
147,2020-07-23,52640
148,2020-07-24,52837
149,2020-07-25,52984
150,2020-07-26,53278
151,2020-07-27,53424
152,2020-07-28,53647
153,2020-07-29,53895
154,2020-07-30,54249
155,2020-07-31,54590
156,2020-08-01,55021
157,2020-08-02,55408
158,2020-08-03,55786
159,2020-08-04,56279
160,2020-08-05,56750
161,2020-08-06,57465
162,2020-08-07,58117
163,2020-08-08,58717
164,2020-08-09,59360
165,2020-08-10,60058
166,2020-08-11,60391
167,2020-08-12,61718
168,2020-08-13,62406
169,2020-08-14,63127
170,2020-08-15,63889
171,2020-08-16,64468
172,2020-08-17,64980
173,2020-08-18,65560
174,2020-08-19,66218
175,2020-08-20,66843
176,2020-08-21,67456
177,2020-08-22,68051
178,2020-08-23,68570
179,2020-08-24,69224
180,2020-08-25,69683
181,2020-08-26,70382
182,2020-08-27,70984
183,2020-08-28,71557
184,2020-08-29,72128
185,2020-08-30,72679
186,2020-08-31,73232
187,2020-09-01,73802
188,2020-09-02,74660
189,2020-09-03,75356
190,2020-09-04,76173
191,2020-09-05,76907
192,2020-09-06,77857
193,2020-09-07,78702
194,2020-09-08,79792
195,2020-09-09,81085
196,2020-09-10,82016
197,2020-09-11,83370
198,2020-09-12,84709
199,2020-09-13,85876
200,2020-09-14,87194
201,2020-09-15,88673
202,2020-09-16,90425
203,2020-09-17,92262
204,2020-09-18,94345
205,2020-09-19,96261
206,2020-09-20,98217
207,2020-09-21,100491
208,2020-09-22,102844
209,2020-09-23,105304
210,2020-09-24,107899
211,2020-09-25,110758
212,2020-09-26,113518
213,2020-09-27,116559
214,2020-09-28,119509
215,2020-09-29,122620
216,2020-09-30,125988
217,2020-10-01,129283
218,2020-10-02,133166
219,2020-10-03,137194
220,2020-10-04,141226
221,2020-10-05,145837
222,2020-10-06,150413
223,2020-10-07,155465
224,2020-10-08,161332
225,2020-10-09,167348
226,2020-10-10,173894
227,2020-10-11,180288
228,2020-10-12,187138
229,2020-10-13,194591
230,2020-10-14,201942
231,2020-10-15,209799
232,2020-10-16,217821
233,2020-10-17,225970
234,2020-10-18,234203
235,2020-10-19,242217
236,2020-10-20,250411
237,2020-10-21,259207
238,2020-10-22,268517
239,2020-10-23,278546
240,2020-10-24,287229
241,2020-10-25,297466
242,2020-10-26,307831
243,2020-10-27,318152
244,2020-10-28,326308
245,2020-10-29,336629
246,2020-10-30,347801
247,2020-10-31,357640
248,2020-11-01,366351
249,2020-11-02,374663
250,2020-11-03,382440
251,2020-11-04,390120
252,2020-11-05,397112
253,2020-11-06,404392
254,2020-11-07,411107
255,2020-11-08,416806
256,2020-11-09,421503
257,2020-11-10,426227
258,2020-11-11,431696
259,2020-11-12,437376
260,2020-11-13,443533
261,2020-11-14,449501
262,2020-11-15,454961
263,2020-11-16,459837
264,2020-11-17,464205
265,2020-11-18,468900
266,2020-11-19,474641
267,2020-11-20,480649
268,2020-11-21,486820
269,2020-11-22,492293
270,2020-11-23,497501
271,2020-11-24,501503
272,2020-11-25,506557
273,2020-11-26,511162
274,2020-11-27,517045
275,2020-11-28,521639
276,2020-11-29,527336
277,2020-11-30,531930
278,2020-12-01,536129
279,2020-12-02,541238
280,2020-12-03,546982
281,2020-12-04,553040
282,2020-12-05,559716
283,2020-12-06,566628
284,2020-12-07,573750
285,2020-12-08,579997
286,2020-12-09,586643
287,2020-12-10,595473
288,2020-12-11,604452
289,2020-12-12,613630
290,2020-12-13,623567
291,2020-12-14,632085
292,2020-12-15,638801
293,2020-12-16,650072
294,2020-12-17,662943
295,2020-12-18,674967
296,2020-12-19,687250
297,2020-12-20,700322
298,2020-12-21,711540
299,2020-12-22,721429
300,2020-12-23,731902
301,2020-12-24,743493
302,2020-12-25,755038
303,2020-12-26,764907
304,2020-12-27,774009
305,2020-12-28,781467
306,2020-12-29,789059
307,2020-12-30,798592
308,2020-12-31,808382
309,2021-01-01,816616
310,2021-01-02,825249
311,2021-01-03,832702
312,2021-01-04,839316
313,2021-01-05,845822
314,2021-01-06,853060
315,2021-01-07,862805
316,2021-01-08,871063
317,2021-01-09,878443
318,2021-01-10,885098
319,2021-01-11,890566
320,2021-01-12,895543
321,2021-01-13,901740
322,2021-01-14,908306
323,2021-01-15,914388
324,2021-01-16,919712
325,2021-01-17,925355
326,2021-01-18,930147
327,2021-01-19,934503
328,2021-01-20,940106
329,2021-01-21,945948
330,2021-01-22,951747
331,2021-01-23,957213
332,2021-01-24,962153
333,2021-01-25,966194
334,2021-01-26,970156
335,2021-01-27,974972
336,2021-01-28,979702
