,Date,Cases
0,2020-02-28,1
1,2020-02-29,1
2,2020-03-01,1
3,2020-03-02,1
4,2020-03-03,1
5,2020-03-04,3
6,2020-03-05,3
7,2020-03-06,4
8,2020-03-07,5
9,2020-03-08,5
10,2020-03-09,5
11,2020-03-10,5
12,2020-03-11,5
13,2020-03-12,5
14,2020-03-13,5
15,2020-03-14,6
16,2020-03-15,8
17,2020-03-16,8
18,2020-03-17,12
19,2020-03-18,20
20,2020-03-19,28
21,2020-03-20,39
22,2020-03-21,52
23,2020-03-22,102
24,2020-03-23,102
25,2020-03-24,155
26,2020-03-25,205
27,2020-03-26,283
28,2020-03-27,368
29,2020-03-28,451
30,2020-03-29,514
31,2020-03-30,589
32,2020-03-31,647
33,2020-04-01,708
34,2020-04-02,797
35,2020-04-03,868
36,2020-04-04,950
37,2020-04-05,1039
38,2020-04-06,1106
39,2020-04-07,1160
40,2020-04-08,1210
41,2020-04-09,1239
42,2020-04-10,1283
43,2020-04-11,1312
44,2020-04-12,1330
45,2020-04-13,1349
46,2020-04-14,1366
47,2020-04-15,1386
48,2020-04-16,1401
49,2020-04-17,1409
50,2020-04-18,1422
51,2020-04-19,1431
52,2020-04-20,1440
53,2020-04-21,1445
54,2020-04-22,1451
55,2020-04-23,1456
56,2020-04-24,1461
57,2020-04-25,1470
58,2020-04-26,1469
59,2020-04-27,1472
60,2020-04-28,1474
61,2020-04-29,1476
62,2020-04-30,1479
63,2020-05-01,1485
64,2020-05-02,1487
65,2020-05-03,1487
66,2020-05-04,1486
67,2020-05-05,1488
68,2020-05-06,1489
69,2020-05-07,1490
70,2020-05-08,1492
71,2020-05-09,1494
72,2020-05-10,1497
73,2020-05-11,1497
74,2020-05-12,1497
75,2020-05-13,1497
76,2020-05-14,1498
77,2020-05-15,1498
78,2020-05-16,1499
79,2020-05-17,1499
80,2020-05-18,1499
81,2020-05-19,1503
82,2020-05-20,1503
83,2020-05-21,1504
84,2020-05-22,1504
85,2020-05-23,1504
86,2020-05-24,1504
87,2020-05-25,1504
88,2020-05-26,1504
89,2020-05-27,1504
90,2020-05-28,1504
91,2020-05-29,1504
92,2020-05-30,1504
93,2020-05-31,1504
94,2020-06-01,1504
95,2020-06-02,1504
96,2020-06-03,1504
97,2020-06-04,1504
98,2020-06-05,1504
99,2020-06-06,1504
100,2020-06-07,1504
101,2020-06-08,1504
102,2020-06-09,1504
103,2020-06-10,1504
104,2020-06-11,1504
105,2020-06-12,1504
106,2020-06-13,1504
107,2020-06-14,1504
108,2020-06-15,1506
109,2020-06-16,1506
110,2020-06-17,1507
111,2020-06-18,1507
112,2020-06-19,1509
113,2020-06-20,1511
114,2020-06-21,1513
115,2020-06-22,1515
116,2020-06-23,1516
117,2020-06-24,1519
118,2020-06-25,1520
119,2020-06-26,1522
120,2020-06-27,1526
121,2020-06-28,1528
122,2020-06-29,1528
123,2020-06-30,1528
124,2020-07-01,1530
125,2020-07-02,1530
126,2020-07-03,1530
127,2020-07-04,1533
128,2020-07-05,1534
129,2020-07-06,1536
130,2020-07-07,1537
131,2020-07-08,1540
132,2020-07-09,1542
133,2020-07-10,1543
134,2020-07-11,1544
135,2020-07-12,1544
136,2020-07-13,1545
137,2020-07-14,1547
138,2020-07-15,1548
139,2020-07-16,1549
140,2020-07-17,1550
141,2020-07-18,1553
142,2020-07-19,1554
143,2020-07-20,1555
144,2020-07-21,1555
