,Date,Cases
0,2020-03-19,1
1,2020-03-20,1
2,2020-03-21,2
3,2020-03-22,2
4,2020-03-23,2
5,2020-03-24,2
6,2020-03-25,2
7,2020-03-26,2
8,2020-03-27,2
9,2020-03-28,4
10,2020-03-29,4
11,2020-03-30,4
12,2020-03-31,5
13,2020-04-01,5
14,2020-04-02,5
15,2020-04-03,5
16,2020-04-04,5
17,2020-04-05,6
18,2020-04-06,6
19,2020-04-07,6
20,2020-04-08,6
21,2020-04-09,7
22,2020-04-10,7
23,2020-04-11,8
24,2020-04-12,9
25,2020-04-13,9
26,2020-04-14,9
27,2020-04-15,9
28,2020-04-16,9
29,2020-04-17,9
30,2020-04-18,9
31,2020-04-19,10
32,2020-04-20,10
33,2020-04-21,10
34,2020-04-22,10
35,2020-04-23,11
36,2020-04-24,11
37,2020-04-25,12
38,2020-04-26,13
39,2020-04-27,13
40,2020-04-28,13
41,2020-04-29,13
42,2020-04-30,14
43,2020-05-01,14
44,2020-05-02,14
45,2020-05-03,15
46,2020-05-04,15
47,2020-05-05,16
48,2020-05-06,16
49,2020-05-07,16
50,2020-05-08,16
51,2020-05-09,16
52,2020-05-10,16
53,2020-05-11,16
54,2020-05-12,25
55,2020-05-13,25
56,2020-05-14,25
57,2020-05-15,25
58,2020-05-16,25
59,2020-05-17,25
60,2020-05-18,25
61,2020-05-19,254
62,2020-05-20,254
63,2020-05-21,279
64,2020-05-22,279
65,2020-05-23,279
66,2020-05-24,279
67,2020-05-25,279
68,2020-05-26,759
69,2020-05-27,759
70,2020-05-28,759
71,2020-05-29,759
72,2020-05-30,759
73,2020-05-31,759
74,2020-06-01,759
75,2020-06-02,1118
76,2020-06-03,1118
77,2020-06-04,1118
78,2020-06-05,1118
79,2020-06-06,1118
80,2020-06-07,1118
81,2020-06-08,1118
82,2020-06-09,1464
83,2020-06-10,1464
84,2020-06-11,1464
85,2020-06-12,1464
86,2020-06-13,1464
87,2020-06-14,1464
88,2020-06-15,1464
89,2020-06-16,1823
90,2020-06-17,1823
91,2020-06-18,1823
92,2020-06-19,1823
93,2020-06-20,1823
94,2020-06-21,1823
95,2020-06-22,1823
96,2020-06-23,2170
97,2020-06-24,2170
98,2020-06-25,2170
99,2020-06-26,2170
100,2020-06-27,2170
101,2020-06-28,2170
102,2020-06-29,2170
103,2020-06-30,2519
104,2020-07-01,2519
105,2020-07-02,2519
106,2020-07-03,2519
107,2020-07-04,2519
108,2020-07-05,2519
109,2020-07-06,2519
110,2020-07-07,2846
111,2020-07-08,2846
112,2020-07-09,2846
113,2020-07-10,2846
114,2020-07-11,2846
115,2020-07-12,2846
116,2020-07-13,2846
117,2020-07-14,3147
118,2020-07-15,3147
119,2020-07-16,3147
120,2020-07-17,3147
121,2020-07-18,3147
122,2020-07-19,3147
123,2020-07-20,3147
124,2020-07-21,3439
125,2020-07-22,3439
126,2020-07-23,3439
127,2020-07-24,3439
128,2020-07-25,3439
129,2020-07-26,3439
130,2020-07-27,3439
131,2020-07-28,3672
132,2020-07-29,3672
133,2020-07-30,3672
134,2020-07-31,3672
135,2020-08-01,3672
136,2020-08-02,3672
137,2020-08-03,3672
138,2020-08-04,3902
139,2020-08-05,3902
140,2020-08-06,3902
141,2020-08-07,3902
142,2020-08-08,3902
143,2020-08-09,3902
144,2020-08-10,3902
145,2020-08-11,4115
146,2020-08-12,4115
147,2020-08-13,4115
148,2020-08-14,4115
149,2020-08-15,4115
150,2020-08-16,4115
151,2020-08-17,4115
152,2020-08-18,4311
153,2020-08-19,4311
154,2020-08-20,4311
155,2020-08-21,4311
156,2020-08-22,4311
157,2020-08-23,4311
158,2020-08-24,4311
159,2020-08-25,4494
160,2020-08-26,4494
161,2020-08-27,4494
162,2020-08-28,4494
163,2020-08-29,4494
164,2020-08-30,4494
165,2020-08-31,4494
166,2020-09-01,4668
167,2020-09-02,4668
168,2020-09-03,4668
169,2020-09-04,4668
170,2020-09-05,4668
171,2020-09-06,4668
172,2020-09-07,4668
173,2020-09-08,4818
174,2020-09-09,4818
175,2020-09-10,4818
176,2020-09-11,4818
177,2020-09-12,4818
178,2020-09-13,4818
179,2020-09-14,4818
180,2020-09-15,4961
181,2020-09-16,4961
182,2020-09-17,4961
183,2020-09-18,4961
184,2020-09-19,4961
185,2020-09-20,4961
186,2020-09-21,4961
187,2020-09-22,5073
188,2020-09-23,5073
189,2020-09-24,5073
190,2020-09-25,5073
191,2020-09-26,5073
192,2020-09-27,5073
193,2020-09-28,5073
194,2020-09-29,5170
195,2020-09-30,5170
196,2020-10-01,5170
197,2020-10-02,5170
198,2020-10-03,5170
199,2020-10-04,5170
200,2020-10-05,5170
201,2020-10-06,5264
202,2020-10-07,5264
203,2020-10-08,5264
204,2020-10-09,5264
205,2020-10-10,5264
206,2020-10-11,5264
207,2020-10-12,5264
208,2020-10-13,5353
209,2020-10-14,5353
210,2020-10-15,5353
211,2020-10-16,5353
212,2020-10-17,5353
213,2020-10-18,5353
214,2020-10-19,5353
215,2020-10-20,5434
216,2020-10-21,5434
217,2020-10-22,5434
218,2020-10-23,5434
219,2020-10-24,5434
220,2020-10-25,5434
221,2020-10-26,5434
222,2020-10-27,5514
223,2020-10-28,5514
224,2020-10-29,5514
225,2020-10-30,5514
226,2020-10-31,5514
227,2020-11-01,5514
228,2020-11-02,5514
229,2020-11-03,5514
230,2020-11-04,5514
231,2020-11-05,5591
232,2020-11-06,5591
233,2020-11-07,5591
234,2020-11-08,5591
235,2020-11-09,5591
236,2020-11-10,5661
237,2020-11-11,5661
238,2020-11-12,5661
239,2020-11-13,5661
240,2020-11-14,5661
241,2020-11-15,5661
242,2020-11-16,5661
243,2020-11-17,5725
244,2020-11-18,5725
245,2020-11-19,5725
246,2020-11-20,5725
