,Date,Cases
0,2020-03-20,1
1,2020-03-21,1
2,2020-03-22,2
3,2020-03-23,3
4,2020-03-24,3
5,2020-03-25,7
6,2020-03-26,10
7,2020-03-27,10
8,2020-03-28,10
9,2020-03-29,18
10,2020-03-30,27
11,2020-03-31,27
12,2020-04-01,74
13,2020-04-02,98
14,2020-04-03,120
15,2020-04-04,144
16,2020-04-05,184
17,2020-04-06,253
18,2020-04-07,278
19,2020-04-08,342
20,2020-04-09,410
21,2020-04-10,438
22,2020-04-11,491
23,2020-04-12,529
24,2020-04-13,529
25,2020-04-14,570
26,2020-04-15,584
27,2020-04-16,584
28,2020-04-17,627
29,2020-04-18,639
30,2020-04-19,648
31,2020-04-20,648
32,2020-04-21,657
33,2020-04-22,662
34,2020-04-23,671
35,2020-04-24,681
36,2020-04-25,684
37,2020-04-26,696
38,2020-04-27,701
39,2020-04-28,709
40,2020-04-29,713
41,2020-04-30,719
42,2020-05-01,728
43,2020-05-02,736
44,2020-05-03,750
45,2020-05-04,755
46,2020-05-05,763
47,2020-05-06,770
48,2020-05-07,781
49,2020-05-08,795
50,2020-05-09,815
51,2020-05-10,821
52,2020-05-11,832
53,2020-05-12,854
54,2020-05-13,860
55,2020-05-14,876
56,2020-05-15,885
57,2020-05-16,889
58,2020-05-17,904
59,2020-05-18,909
60,2020-05-19,914
61,2020-05-20,920
62,2020-05-21,924
63,2020-05-22,937
64,2020-05-23,943
65,2020-05-24,945
66,2020-05-25,951
67,2020-05-26,952
68,2020-05-27,952
69,2020-05-28,955
70,2020-05-29,955
71,2020-05-30,956
72,2020-05-31,958
73,2020-06-01,958
74,2020-06-02,960
75,2020-06-03,961
76,2020-06-04,963
77,2020-06-05,966
78,2020-06-06,970
79,2020-06-07,973
80,2020-06-08,973
81,2020-06-09,974
82,2020-06-10,974
83,2020-06-11,974
84,2020-06-12,978
85,2020-06-13,980
86,2020-06-14,980
87,2020-06-15,980
88,2020-06-16,1016
89,2020-06-17,1020
90,2020-06-18,1020
91,2020-06-19,1020
92,2020-06-20,1035
93,2020-06-21,1036
94,2020-06-22,1046
95,2020-06-23,1051
96,2020-06-24,1051
97,2020-06-25,1056
98,2020-06-26,1059
99,2020-06-27,1062
100,2020-06-28,1074
101,2020-06-29,1075
102,2020-06-30,1075
103,2020-07-01,1075
104,2020-07-02,1081
105,2020-07-03,1082
106,2020-07-04,1082
107,2020-07-05,1088
108,2020-07-06,1093
109,2020-07-07,1094
110,2020-07-08,1097
111,2020-07-09,1097
112,2020-07-10,1099
113,2020-07-11,1099
114,2020-07-12,1099
115,2020-07-13,1099
116,2020-07-14,1099
117,2020-07-15,1100
118,2020-07-16,1102
119,2020-07-17,1102
120,2020-07-18,1104
121,2020-07-19,1104
122,2020-07-20,1105
123,2020-07-21,1113
124,2020-07-22,1122
125,2020-07-23,1124
126,2020-07-24,1124
127,2020-07-25,1124
128,2020-07-26,1136
129,2020-07-27,1132
130,2020-07-28,1132
131,2020-07-29,1132
132,2020-07-30,1134
133,2020-07-31,1134
134,2020-08-01,1136
135,2020-08-02,1147
136,2020-08-03,1152
137,2020-08-04,1152
138,2020-08-05,1152
139,2020-08-06,1153
140,2020-08-07,1153
141,2020-08-08,1157
142,2020-08-09,1158
143,2020-08-10,1158
144,2020-08-11,1158
145,2020-08-12,1161
146,2020-08-13,1161
147,2020-08-14,1161
148,2020-08-15,1165
149,2020-08-16,1167
150,2020-08-17,1167
151,2020-08-18,1167
152,2020-08-19,1167
153,2020-08-20,1169
154,2020-08-21,1172
155,2020-08-22,1172
156,2020-08-23,1172
157,2020-08-24,1172
158,2020-08-25,1173
159,2020-08-26,1173
160,2020-08-27,1173
161,2020-08-28,1175
162,2020-08-29,1175
163,2020-08-30,1175
164,2020-08-31,1176
165,2020-09-01,1176
166,2020-09-02,1176
167,2020-09-03,1177
168,2020-09-04,1177
169,2020-09-05,1177
170,2020-09-06,1177
171,2020-09-07,1177
172,2020-09-08,1178
173,2020-09-09,1178
174,2020-09-10,1178
175,2020-09-11,1178
176,2020-09-12,1178
177,2020-09-13,1180
178,2020-09-14,1180
179,2020-09-15,1182
180,2020-09-16,1182
181,2020-09-17,1183
182,2020-09-18,1183
183,2020-09-19,1183
184,2020-09-20,1188
185,2020-09-21,1189
186,2020-09-22,1193
187,2020-09-23,1193
188,2020-09-24,1194
189,2020-09-25,1194
190,2020-09-26,1194
191,2020-09-27,1196
192,2020-09-28,1196
193,2020-09-29,1196
194,2020-09-30,1197
195,2020-10-01,1197
196,2020-10-02,1198
197,2020-10-03,1200
198,2020-10-04,1200
199,2020-10-05,1200
200,2020-10-06,1200
201,2020-10-07,1200
202,2020-10-08,1201
203,2020-10-09,1201
204,2020-10-10,1201
205,2020-10-11,1201
206,2020-10-12,1202
207,2020-10-13,1203
208,2020-10-14,1205
209,2020-10-15,1207
210,2020-10-16,1209
211,2020-10-17,1209
212,2020-10-18,1210
213,2020-10-19,1211
214,2020-10-20,1212
215,2020-10-21,1214
216,2020-10-22,1215
217,2020-10-23,1215
218,2020-10-24,1215
219,2020-10-25,1215
220,2020-10-26,1215
221,2020-10-27,1218
222,2020-10-28,1218
223,2020-10-29,1219
224,2020-10-30,1220
225,2020-10-31,1220
226,2020-11-01,1221
227,2020-11-02,1222
228,2020-11-03,1222
229,2020-11-04,1225
230,2020-11-05,1226
231,2020-11-06,1230
232,2020-11-07,1242
233,2020-11-08,1243
234,2020-11-09,1246
235,2020-11-10,1256
236,2020-11-11,1263
237,2020-11-12,1282
238,2020-11-13,1289
239,2020-11-14,1301
240,2020-11-15,1307
241,2020-11-16,1316
242,2020-11-17,1327
243,2020-11-18,1331
244,2020-11-19,1335
245,2020-11-20,1340
246,2020-11-21,1351
247,2020-11-22,1368
248,2020-11-23,1381
249,2020-11-24,1406
250,2020-11-25,1419
251,2020-11-26,1443
252,2020-11-27,1472
253,2020-11-28,1484
254,2020-11-29,1516
255,2020-11-30,1548
256,2020-12-01,1586
257,2020-12-02,1640
258,2020-12-03,1640
259,2020-12-04,1726
260,2020-12-05,1789
261,2020-12-06,1856
262,2020-12-07,1894
263,2020-12-08,1987
264,2020-12-09,2078
265,2020-12-10,2126
266,2020-12-11,2160
267,2020-12-12,2199
268,2020-12-13,2258
269,2020-12-14,2322
270,2020-12-15,2361
271,2020-12-16,2361
272,2020-12-17,2506
273,2020-12-18,2560
274,2020-12-19,2612
275,2020-12-20,2659
276,2020-12-21,2724
277,2020-12-22,2803
278,2020-12-23,2876
279,2020-12-24,2933
280,2020-12-25,3005
281,2020-12-26,3057
282,2020-12-27,3110
283,2020-12-28,3159
284,2020-12-29,3208
285,2020-12-30,3208
286,2020-12-31,3323
287,2021-01-01,3403
288,2021-01-02,3437
289,2021-01-03,3465
290,2021-01-04,3465
291,2021-01-05,3500
292,2021-01-06,3634
293,2021-01-07,3706
294,2021-01-08,3747
295,2021-01-09,3819
296,2021-01-10,3877
297,2021-01-11,3924
298,2021-01-12,3969
299,2021-01-13,3998
300,2021-01-14,4058
301,2021-01-15,4105
302,2021-01-16,4132
303,2021-01-17,4156
304,2021-01-18,4204
305,2021-01-19,4225
306,2021-01-20,4249
307,2021-01-21,4267
308,2021-01-22,4308
309,2021-01-23,4321
310,2021-01-24,4353
311,2021-01-25,4353
312,2021-01-26,4407
313,2021-01-27,4433
314,2021-01-28,4474
