,Date,Cases
0,2020-02-28,1
1,2020-02-29,1
2,2020-03-01,1
3,2020-03-02,1
4,2020-03-03,1
5,2020-03-04,1
6,2020-03-05,1
7,2020-03-06,1
8,2020-03-07,1
9,2020-03-08,1
10,2020-03-09,2
11,2020-03-10,2
12,2020-03-11,2
13,2020-03-12,2
14,2020-03-13,2
15,2020-03-14,2
16,2020-03-15,2
17,2020-03-16,2
18,2020-03-17,3
19,2020-03-18,8
20,2020-03-19,8
21,2020-03-20,12
22,2020-03-21,22
23,2020-03-22,30
24,2020-03-23,40
25,2020-03-24,44
26,2020-03-25,51
27,2020-03-26,65
28,2020-03-27,70
29,2020-03-28,89
30,2020-03-29,111
31,2020-03-30,131
32,2020-03-31,135
33,2020-04-01,174
34,2020-04-02,184
35,2020-04-03,210
36,2020-04-04,214
37,2020-04-05,232
38,2020-04-06,238
39,2020-04-07,254
40,2020-04-08,276
41,2020-04-09,288
42,2020-04-10,305
43,2020-04-11,318
44,2020-04-12,323
45,2020-04-13,343
46,2020-04-14,373
47,2020-04-15,407
48,2020-04-16,442
49,2020-04-17,493
50,2020-04-18,542
51,2020-04-19,627
52,2020-04-20,665
53,2020-04-21,665
54,2020-04-22,873
55,2020-04-23,981
56,2020-04-24,1095
57,2020-04-25,1182
58,2020-04-26,1273
59,2020-04-27,1337
60,2020-04-28,1532
61,2020-04-29,1728
62,2020-04-30,1932
63,2020-05-01,2170
64,2020-05-02,2388
65,2020-05-03,2558
66,2020-05-04,2802
67,2020-05-05,2950
68,2020-05-06,3145
69,2020-05-07,3526
70,2020-05-08,3912
71,2020-05-09,4151
72,2020-05-10,4399
73,2020-05-11,4641
74,2020-05-12,4787
75,2020-05-13,4971
76,2020-05-14,5162
77,2020-05-15,5450
78,2020-05-16,5621
79,2020-05-17,5959
80,2020-05-18,6175
81,2020-05-19,6401
82,2020-05-20,6677
83,2020-05-21,7016
84,2020-05-22,7261
85,2020-05-23,7526
86,2020-05-24,7839
87,2020-05-25,8068
88,2020-05-26,8344
89,2020-05-27,8733
90,2020-05-28,8915
91,2020-05-29,9302
92,2020-05-30,9855
93,2020-05-31,10162
94,2020-06-01,10578
95,2020-06-02,10819
96,2020-06-03,11166
97,2020-06-04,11516
98,2020-06-05,11844
99,2020-06-06,12233
100,2020-06-07,12486
101,2020-06-08,12801
102,2020-06-09,13464
103,2020-06-10,13873
104,2020-06-11,14554
105,2020-06-12,15181
106,2020-06-13,15682
107,2020-06-14,16085
108,2020-06-15,16658
109,2020-06-16,17148
110,2020-06-17,17735
111,2020-06-18,18480
112,2020-06-19,19147
113,2020-06-20,19808
114,2020-06-21,20244
115,2020-06-22,20919
116,2020-06-23,21371
117,2020-06-24,22020
118,2020-06-25,22614
119,2020-06-26,23298
120,2020-06-27,24077
121,2020-06-28,24567
122,2020-06-29,25133
123,2020-06-30,25694
124,2020-07-01,26484
125,2020-07-02,27110
126,2020-07-03,27564
127,2020-07-04,28167
128,2020-07-05,28711
129,2020-07-06,29286
130,2020-07-07,29789
131,2020-07-08,30249
132,2020-07-09,30748
133,2020-07-10,31323
134,2020-07-11,31987
135,2020-07-12,32558
136,2020-07-13,33153
137,2020-07-14,33616
138,2020-07-15,34259
139,2020-07-16,34854
140,2020-07-17,35454
141,2020-07-18,36107
142,2020-07-19,36663
143,2020-07-20,37225
144,2020-07-21,37801
145,2020-07-22,38344
146,2020-07-23,38948
