,Date,Cases
0,2020-02-25,2
1,2020-02-26,2
2,2020-02-27,2
3,2020-02-28,4
4,2020-02-29,4
5,2020-03-01,4
6,2020-03-02,5
7,2020-03-03,5
8,2020-03-04,5
9,2020-03-05,6
10,2020-03-06,6
11,2020-03-07,6
12,2020-03-08,6
13,2020-03-09,16
14,2020-03-10,19
15,2020-03-11,20
16,2020-03-12,28
17,2020-03-13,31
18,2020-03-14,53
19,2020-03-15,136
20,2020-03-16,236
21,2020-03-17,299
22,2020-03-18,454
23,2020-03-19,501
24,2020-03-20,730
25,2020-03-21,776
26,2020-03-22,875
27,2020-03-23,972
28,2020-03-24,1063
29,2020-03-25,1201
30,2020-03-26,1373
31,2020-03-27,1495
32,2020-03-28,1597
33,2020-03-29,1717
34,2020-03-30,1938
35,2020-03-31,2118
36,2020-04-01,2421
37,2020-04-02,2686
38,2020-04-03,2818
39,2020-04-04,3157
40,2020-04-05,3766
41,2020-04-06,4035
42,2020-04-07,4263
43,2020-04-08,4489
44,2020-04-09,4695
45,2020-04-10,5011
46,2020-04-11,5230
47,2020-04-12,5496
48,2020-04-13,5837
49,2020-04-14,6383
50,2020-04-15,6919
51,2020-04-16,7025
52,2020-04-17,7638
53,2020-04-18,8348
54,2020-04-19,8418
55,2020-04-20,9565
56,2020-04-21,10076
57,2020-04-22,11155
58,2020-04-23,11940
59,2020-04-24,12723
60,2020-04-25,13328
61,2020-04-26,13915
62,2020-04-27,14612
63,2020-04-28,15525
64,2020-04-29,16817
65,2020-04-30,18114
66,2020-05-01,19103
67,2020-05-02,20084
68,2020-05-03,20941
69,2020-05-04,22049
70,2020-05-05,24073
71,2020-05-06,24644
72,2020-05-07,26435
73,2020-05-08,28736
74,2020-05-09,30334
75,2020-05-10,32081
76,2020-05-11,34336
77,2020-05-12,35298
78,2020-05-13,35788
79,2020-05-14,38799
80,2020-05-15,38799
81,2020-05-16,40151
82,2020-05-17,42125
83,2020-05-18,43966
84,2020-05-19,45898
85,2020-05-20,48091
86,2020-05-21,50694
87,2020-05-22,52437
88,2020-05-23,54601
89,2020-05-24,56349
90,2020-05-25,57705
91,2020-05-26,59151
92,2020-05-27,61227
93,2020-05-28,64028
94,2020-05-29,66457
95,2020-05-30,69496
96,2020-05-31,72460
97,2020-06-01,76398
98,2020-06-02,80463
99,2020-06-03,85264
100,2020-06-04,89249
101,2020-06-05,93983
102,2020-06-06,98943
103,2020-06-07,103671
104,2020-06-08,108317
105,2020-06-09,113702
106,2020-06-10,119536
107,2020-06-11,125933
108,2020-06-12,125933
109,2020-06-13,132405
110,2020-06-14,144478
111,2020-06-15,148921
112,2020-06-16,154760
113,2020-06-17,160118
114,2020-06-18,165062
115,2020-06-19,171666
116,2020-06-20,176617
117,2020-06-21,181088
118,2020-06-22,185034
119,2020-06-23,188926
120,2020-06-24,192970
121,2020-06-25,195745
122,2020-06-26,198883
123,2020-06-27,202955
124,2020-06-28,206512
125,2020-06-29,209337
126,2020-06-30,213470
127,2020-07-01,217809
128,2020-07-02,221896
129,2020-07-03,221896
130,2020-07-04,225283
131,2020-07-05,231818
132,2020-07-06,234509
133,2020-07-07,237489
134,2020-07-08,240848
135,2020-07-09,243599
136,2020-07-10,246351
137,2020-07-11,248872
138,2020-07-12,251625
139,2020-07-13,253604
140,2020-07-14,255769
141,2020-07-15,257914
142,2020-07-16,257914
143,2020-07-17,261917
144,2020-07-18,263496
145,2020-07-19,265083
146,2020-07-20,266096
147,2020-07-21,267428
148,2020-07-22,269191
149,2020-07-23,270400
150,2020-07-24,271887
151,2020-07-25,273113
152,2020-07-26,273113
153,2020-07-27,274289
154,2020-07-28,275225
155,2020-07-29,276288
156,2020-07-30,277402
157,2020-07-31,278305
158,2020-08-01,278305
159,2020-08-02,279699
160,2020-08-03,280461
161,2020-08-04,280461
162,2020-08-05,281136
163,2020-08-06,281863
164,2020-08-07,282645
165,2020-08-08,283487
166,2020-08-09,284121
167,2020-08-10,284660
168,2020-08-11,285191
169,2020-08-12,285921
170,2020-08-13,286674
171,2020-08-14,287300
172,2020-08-15,288047
173,2020-08-16,289215
174,2020-08-17,289215
175,2020-08-18,289832
176,2020-08-19,290445
177,2020-08-20,290958
178,2020-08-21,291588
179,2020-08-22,292174
180,2020-08-23,293261
181,2020-08-24,293261
182,2020-08-25,293711
183,2020-08-26,294193
184,2020-08-27,294638
185,2020-08-28,295053
186,2020-08-29,295372
187,2020-08-30,295636
188,2020-08-31,295849
189,2020-09-01,296149
190,2020-09-02,297014
191,2020-09-03,297512
192,2020-09-04,298025
193,2020-09-05,298025
194,2020-09-06,298903
195,2020-09-07,299233
196,2020-09-08,299659
197,2020-09-09,300030
198,2020-09-10,300371
199,2020-09-11,300955
200,2020-09-12,301481
201,2020-09-13,302020
202,2020-09-14,302424
203,2020-09-15,303089
204,2020-09-16,303634
205,2020-09-17,304386
206,2020-09-18,305031
207,2020-09-19,305671
208,2020-09-20,306304
209,2020-09-21,306886
210,2020-09-22,307418
211,2020-09-23,308217
212,2020-09-24,309015
213,2020-09-25,309581
214,2020-09-26,310275
215,2020-09-27,310841
216,2020-09-28,311516
217,2020-09-29,312263
218,2020-09-30,312806
219,2020-10-01,313431
220,2020-10-02,313984
221,2020-10-03,314616
222,2020-10-04,314616
223,2020-10-05,315727
224,2020-10-06,316351
225,2020-10-07,316934
226,2020-10-08,317595
227,2020-10-09,318266
228,2020-10-10,318932
229,2020-10-11,319317
230,2020-10-12,319848
231,2020-10-13,320463
232,2020-10-14,321218
233,2020-10-15,321877
234,2020-10-16,322452
235,2020-10-17,323019
236,2020-10-18,323452
237,2020-10-19,324034
238,2020-10-20,324744
239,2020-10-21,325480
240,2020-10-22,326216
241,2020-10-23,327063
242,2020-10-24,327895
243,2020-10-25,328602
244,2020-10-26,329375
245,2020-10-27,330200
246,2020-10-28,331108
247,2020-10-29,332186
248,2020-10-30,332993
249,2020-10-31,333970
250,2020-11-01,335093
251,2020-11-02,336260
252,2020-11-03,337573
253,2020-11-04,338875
254,2020-11-05,340251
255,2020-11-06,341753
256,2020-11-07,343189
257,2020-11-08,344839
258,2020-11-09,346476
259,2020-11-10,348184
260,2020-11-11,349992
261,2020-11-12,352296
262,2020-11-13,354461
263,2020-11-14,356904
264,2020-11-15,359032
265,2020-11-16,361082
266,2020-11-17,363380
267,2020-11-18,365927
268,2020-11-19,368665
269,2020-11-20,371508
270,2020-11-21,374173
271,2020-11-22,376929
272,2020-11-23,379883
273,2020-11-24,382892
274,2020-11-25,386198
275,2020-11-26,389311
276,2020-11-27,392356
277,2020-11-28,395185
278,2020-11-29,398024
279,2020-11-30,400482
280,2020-12-01,403311
281,2020-12-02,406810
282,2020-12-03,410072
283,2020-12-04,413191
284,2020-12-05,416499
285,2020-12-06,420294
286,2020-12-07,423179
287,2020-12-08,426142
288,2020-12-09,429280
289,2020-12-10,432327
290,2020-12-11,435056
291,2020-12-12,438425
292,2020-12-13,440787
293,2020-12-14,443246
294,2020-12-15,445977
295,2020-12-16,448522
296,2020-12-17,451494
297,2020-12-18,454673
298,2020-12-19,457288
299,2020-12-20,458968
300,2020-12-21,460672
301,2020-12-22,462814
302,2020-12-23,465070
303,2020-12-24,467222
304,2020-12-25,469482
305,2020-12-26,471335
306,2020-12-27,473309
307,2020-12-28,475085
308,2020-12-29,477240
309,2020-12-30,479715
310,2020-12-31,482178
311,2021-01-01,484362
312,2021-01-02,486634
313,2021-01-03,488529
314,2021-01-04,490476
315,2021-01-05,492594
316,2021-01-06,495075
317,2021-01-07,497510
318,2021-01-08,499517
319,2021-01-09,502416
320,2021-01-10,504293
321,2021-01-11,506701
322,2021-01-12,508824
323,2021-01-13,511921
324,2021-01-14,514338
325,2021-01-15,516770
326,2021-01-16,519291
327,2021-01-17,521211
328,2021-01-18,523011
329,2021-01-19,524783
330,2021-01-20,527146
331,2021-01-21,528891
332,2021-01-22,530818
333,2021-01-23,532412
334,2021-01-24,534041
335,2021-01-25,535914
336,2021-01-26,537477
337,2021-01-27,539387
338,2021-01-28,541031
