,Date,Cases
0,2020-03-05,4
1,2020-03-06,7
2,2020-03-07,16
3,2020-03-08,16
4,2020-03-09,19
5,2020-03-10,26
6,2020-03-11,30
7,2020-03-12,30
8,2020-03-13,31
9,2020-03-14,35
10,2020-03-15,38
11,2020-03-16,38
12,2020-03-17,39
13,2020-03-18,41
14,2020-03-19,44
15,2020-03-20,47
16,2020-03-21,48
17,2020-03-22,52
18,2020-03-23,59
19,2020-03-24,59
20,2020-03-25,59
21,2020-03-26,84
22,2020-03-27,91
23,2020-03-28,98
24,2020-03-29,109
25,2020-03-30,116
26,2020-03-31,119
27,2020-04-01,134
28,2020-04-02,161
29,2020-04-03,194
30,2020-04-04,217
31,2020-04-05,237
32,2020-04-06,254
33,2020-04-07,261
34,2020-04-08,263
35,2020-04-09,263
36,2020-04-10,267
37,2020-04-11,268
38,2020-04-12,271
39,2020-04-13,273
40,2020-04-14,284
41,2020-04-15,291
42,2020-04-16,294
43,2020-04-17,307
44,2020-04-18,313
45,2020-04-19,319
46,2020-04-20,329
47,2020-04-21,329
48,2020-04-22,335
49,2020-04-23,336
50,2020-04-24,340
51,2020-04-25,342
52,2020-04-26,342
53,2020-04-27,342
54,2020-04-28,343
55,2020-04-29,344
56,2020-04-30,344
57,2020-05-01,353
58,2020-05-02,353
59,2020-05-03,353
60,2020-05-04,362
61,2020-05-05,371
62,2020-05-06,374
63,2020-05-07,375
64,2020-05-08,375
65,2020-05-09,375
66,2020-05-10,375
67,2020-05-11,375
68,2020-05-12,375
69,2020-05-13,375
70,2020-05-14,375
71,2020-05-15,375
72,2020-05-16,376
73,2020-05-17,381
74,2020-05-18,388
75,2020-05-19,391
76,2020-05-20,398
77,2020-05-21,423
78,2020-05-22,423
79,2020-05-23,423
80,2020-05-24,423
81,2020-05-25,423
82,2020-05-26,429
83,2020-05-27,434
84,2020-05-28,446
85,2020-05-29,446
86,2020-05-30,447
87,2020-05-31,448
88,2020-06-01,449
89,2020-06-02,451
90,2020-06-03,457
91,2020-06-04,464
92,2020-06-05,464
93,2020-06-06,464
94,2020-06-07,472
95,2020-06-08,473
96,2020-06-09,481
97,2020-06-10,485
98,2020-06-11,487
99,2020-06-12,489
100,2020-06-13,489
101,2020-06-14,492
102,2020-06-15,505
103,2020-06-16,514
104,2020-06-17,555
105,2020-06-18,600
106,2020-06-19,675
107,2020-06-20,784
108,2020-06-21,833
109,2020-06-22,1001
110,2020-06-23,1169
111,2020-06-24,1328
112,2020-06-25,1382
113,2020-06-26,1557
114,2020-06-27,1815
115,2020-06-28,1990
116,2020-06-29,2185
117,2020-06-30,2428
118,2020-07-01,2758
119,2020-07-02,3080
120,2020-07-03,3334
121,2020-07-04,3835
122,2020-07-05,4277
123,2020-07-06,4341
124,2020-07-07,4647
125,2020-07-08,5029
126,2020-07-09,5220
127,2020-07-10,5551
128,2020-07-11,5931
129,2020-07-12,6230
130,2020-07-13,6566
131,2020-07-14,6764
132,2020-07-15,7064
133,2020-07-16,7412
134,2020-07-17,7764
135,2020-07-18,8204
136,2020-07-19,8549
137,2020-07-20,8916
138,2020-07-21,9228
139,2020-07-22,9398
140,2020-07-23,9744
141,2020-07-24,10093
142,2020-07-25,10306
143,2020-07-26,10469
144,2020-07-27,10621
145,2020-07-28,10938
146,2020-07-29,11284
147,2020-07-30,11548
148,2020-07-31,11837
149,2020-08-01,12160
150,2020-08-02,12297
151,2020-08-03,12541
152,2020-08-04,12770
153,2020-08-05,13065
154,2020-08-06,13398
155,2020-08-07,13722
156,2020-08-08,13928
157,2020-08-09,14208
158,2020-08-10,14510
159,2020-08-11,14875
160,2020-08-12,15184
161,2020-08-13,15491
162,2020-08-14,15834
163,2020-08-15,16153
164,2020-08-16,16534
165,2020-08-17,16844
166,2020-08-18,17306
167,2020-08-19,17606
168,2020-08-20,17989
169,2020-08-21,18313
170,2020-08-22,18476
171,2020-08-23,18802
172,2020-08-24,19213
173,2020-08-25,19678
174,2020-08-26,20155
175,2020-08-27,20677
176,2020-08-28,21251
177,2020-08-29,21668
178,2020-08-30,22204
179,2020-08-31,22729
180,2020-09-01,23281
181,2020-09-02,23875
182,2020-09-03,24471
183,2020-09-04,25142
184,2020-09-05,25575
185,2020-09-06,26127
186,2020-09-07,26779
187,2020-09-08,27363
188,2020-09-09,27919
189,2020-09-10,28664
190,2020-09-11,29256
191,2020-09-12,29906
192,2020-09-13,30574
193,2020-09-14,31362
194,2020-09-15,32250
195,2020-09-16,33006
196,2020-09-17,33843
197,2020-09-18,34401
198,2020-09-19,35003
199,2020-09-20,35686
200,2020-09-21,36151
201,2020-09-22,36580
202,2020-09-23,37083
203,2020-09-24,37591
204,2020-09-25,37963
205,2020-09-26,38253
206,2020-09-27,38703
207,2020-09-28,39121
208,2020-09-29,39541
209,2020-09-30,39899
210,2020-10-01,40322
211,2020-10-02,40766
212,2020-10-03,41078
213,2020-10-04,41498
214,2020-10-05,41957
215,2020-10-06,42432
216,2020-10-07,42840
217,2020-10-08,43256
218,2020-10-09,43664
219,2020-10-10,43945
220,2020-10-11,44299
221,2020-10-12,44684
222,2020-10-13,45200
223,2020-10-14,45658
224,2020-10-15,46100
225,2020-10-16,46434
226,2020-10-17,46746
227,2020-10-18,47135
228,2020-10-19,47616
229,2020-10-20,48129
230,2020-10-21,48628
231,2020-10-22,49134
232,2020-10-23,49579
233,2020-10-24,49989
234,2020-10-25,50442
235,2020-10-26,50952
236,2020-10-27,51528
237,2020-10-28,51948
238,2020-10-29,52571
239,2020-10-30,53075
240,2020-10-31,53520
241,2020-11-01,54060
242,2020-11-02,54775
243,2020-11-03,55408
244,2020-11-04,56090
245,2020-11-05,56672
246,2020-11-06,57226
247,2020-11-07,57657
248,2020-11-08,58158
249,2020-11-09,58838
250,2020-11-10,59422
251,2020-11-11,60065
252,2020-11-12,60784
253,2020-11-13,61514
254,2020-11-14,62167
255,2020-11-15,63031
256,2020-11-16,63867
257,2020-11-17,64935
258,2020-11-18,66186
259,2020-11-19,67296
260,2020-11-20,68768
261,2020-11-21,70254
262,2020-11-22,71644
263,2020-11-23,73196
264,2020-11-24,75007
265,2020-11-25,76727
266,2020-11-26,78493
267,2020-11-27,80429
268,2020-11-28,81890
269,2020-11-29,83585
270,2020-11-30,85647
271,2020-12-01,88004
272,2020-12-02,90192
273,2020-12-03,92708
274,2020-12-04,94676
275,2020-12-05,96098
276,2020-12-06,98038
277,2020-12-07,99758
278,2020-12-08,101109
279,2020-12-09,102992
280,2020-12-10,104879
281,2020-12-11,106622
282,2020-12-12,108099
283,2020-12-13,109738
284,2020-12-14,111102
285,2020-12-15,113409
286,2020-12-16,115606
287,2020-12-17,117755
288,2020-12-18,119612
289,2020-12-19,121216
290,2020-12-20,122643
291,2020-12-21,123945
292,2020-12-22,125506
293,2020-12-23,127376
294,2020-12-24,129080
295,2020-12-25,130598
296,2020-12-26,131904
297,2020-12-27,133093
298,2020-12-28,134310
299,2020-12-29,135459
300,2020-12-30,136736
301,2020-12-31,138004
302,2021-01-01,139223
303,2021-01-02,140287
304,2021-01-03,141219
305,2021-01-04,142228
306,2021-01-05,143169
307,2021-01-06,144257
308,2021-01-07,145252
309,2021-01-08,146074
310,2021-01-09,146701
311,2021-01-10,147400
312,2021-01-11,148171
313,2021-01-12,148968
314,2021-01-13,149769
315,2021-01-14,150505
316,2021-01-15,151142
317,2021-01-16,151569
318,2021-01-17,152031
319,2021-01-18,152555
320,2021-01-19,153093
321,2021-01-20,153590
322,2021-01-21,154063
323,2021-01-22,154557
324,2021-01-23,155006
325,2021-01-24,155414
326,2021-01-25,155884
327,2021-01-26,156393
328,2021-01-27,156996
329,2021-01-28,157593
