,Date,Cases
0,2020-03-10,1
1,2020-03-11,8
2,2020-03-12,11
3,2020-03-13,27
4,2020-03-14,36
5,2020-03-15,43
6,2020-03-16,55
7,2020-03-17,69
8,2020-03-18,86
9,2020-03-19,109
10,2020-03-20,137
11,2020-03-21,200
12,2020-03-22,313
13,2020-03-23,345
14,2020-03-24,345
15,2020-03-25,443
16,2020-03-26,558
17,2020-03-27,674
18,2020-03-28,786
19,2020-03-29,901
20,2020-03-30,989
21,2020-03-31,1181
22,2020-04-01,1181
23,2020-04-02,1317
24,2020-04-03,1475
25,2020-04-04,1673
26,2020-04-05,1801
27,2020-04-06,1988
28,2020-04-07,2100
29,2020-04-08,2249
30,2020-04-09,2528
31,2020-04-10,2752
32,2020-04-11,2974
33,2020-04-12,3234
34,2020-04-13,3400
35,2020-04-14,3472
36,2020-04-15,3574
37,2020-04-16,3751
38,2020-04-17,4016
39,2020-04-18,4210
40,2020-04-19,4273
41,2020-04-20,4467
42,2020-04-21,4658
43,2020-04-22,4821
44,2020-04-23,5166
45,2020-04-24,5338
46,2020-04-25,5538
47,2020-04-26,5779
48,2020-04-27,6021
49,2020-04-28,6021
50,2020-04-29,6378
51,2020-04-30,6532
52,2020-05-01,6720
53,2020-05-02,7090
54,2020-05-03,7090
55,2020-05-04,7197
56,2020-05-05,7523
57,2020-05-06,7731
58,2020-05-07,7868
59,2020-05-08,8070
60,2020-05-09,8282
61,2020-05-10,8448
62,2020-05-11,8616
63,2020-05-12,8783
64,2020-05-13,8944
65,2020-05-14,9118
66,2020-05-15,9268
67,2020-05-16,9449
68,2020-05-17,9606
69,2020-05-18,9726
70,2020-05-19,9867
71,2020-05-20,9977
72,2020-05-21,10116
73,2020-05-22,10267
74,2020-05-23,10577
75,2020-05-24,10926
76,2020-05-25,11183
77,2020-05-26,11447
78,2020-05-27,11728
79,2020-05-28,12131
80,2020-05-29,12531
81,2020-05-30,13018
82,2020-05-31,13463
83,2020-06-01,13837
84,2020-06-02,14095
85,2020-06-03,14609
86,2020-06-04,15044
87,2020-06-05,15463
88,2020-06-06,16004
89,2020-06-07,16425
90,2020-06-08,16854
91,2020-06-09,17233
92,2020-06-10,17889
93,2020-06-11,18586
94,2020-06-12,19211
95,2020-06-13,20059
96,2020-06-14,21418
97,2020-06-15,21422
98,2020-06-16,21962
99,2020-06-17,22597
100,2020-06-18,23351
101,2020-06-19,24274
102,2020-06-20,25222
103,2020-06-21,26030
104,2020-06-22,26752
105,2020-06-23,27314
106,2020-06-24,28030
107,2020-06-25,29037
108,2020-06-26,29905
109,2020-06-27,30658
110,2020-06-28,31686
111,2020-06-29,32785
112,2020-06-30,33550
113,2020-07-01,34463
114,2020-07-02,35237
115,2020-07-03,35995
116,2020-07-04,36983
117,2020-07-05,38149
118,2020-07-06,39334
119,2020-07-07,40291
120,2020-07-08,41251
121,2020-07-09,42216
122,2020-07-10,43257
123,2020-07-11,44332
124,2020-07-12,45633
125,2020-07-13,47173
126,2020-07-14,48096
127,2020-07-15,49243
128,2020-07-16,50373
129,2020-07-17,51408
130,2020-07-18,52261
131,2020-07-19,53468
132,2020-07-20,54426
133,2020-07-21,55153
134,2020-07-22,55906
135,2020-07-23,56817
136,2020-07-24,57993
137,2020-07-25,58864
