,Date,Cases
0,2020-03-20,1
1,2020-03-21,1
2,2020-03-22,1
3,2020-03-23,1
4,2020-03-24,1
5,2020-03-25,1
6,2020-03-26,1
7,2020-03-27,1
8,2020-03-28,1
9,2020-03-29,1
10,2020-03-30,1
11,2020-03-31,1
12,2020-04-01,1
13,2020-04-02,1
14,2020-04-03,1
15,2020-04-04,1
16,2020-04-05,1
17,2020-04-06,2
18,2020-04-07,2
19,2020-04-08,2
20,2020-04-09,2
21,2020-04-10,2
22,2020-04-11,2
23,2020-04-12,2
24,2020-04-13,2
25,2020-04-14,2
26,2020-04-15,2
27,2020-04-16,7
28,2020-04-17,7
29,2020-04-18,7
30,2020-04-19,7
31,2020-04-20,7
32,2020-04-21,7
33,2020-04-22,8
34,2020-04-23,8
35,2020-04-24,8
36,2020-04-25,8
37,2020-04-26,8
38,2020-04-27,8
39,2020-04-28,8
40,2020-04-29,8
41,2020-04-30,8
42,2020-05-01,8
43,2020-05-02,8
44,2020-05-03,8
45,2020-05-04,8
46,2020-05-05,8
47,2020-05-06,8
48,2020-05-07,8
49,2020-05-08,8
50,2020-05-09,8
51,2020-05-10,8
52,2020-05-11,8
53,2020-05-12,8
54,2020-05-13,8
55,2020-05-14,8
56,2020-05-15,8
57,2020-05-16,8
58,2020-05-17,8
59,2020-05-18,8
60,2020-05-19,8
61,2020-05-20,8
62,2020-05-21,8
63,2020-05-22,8
64,2020-05-23,8
65,2020-05-24,8
66,2020-05-25,8
67,2020-05-26,8
68,2020-05-27,8
69,2020-05-28,8
70,2020-05-29,8
71,2020-05-30,8
72,2020-05-31,8
73,2020-06-01,8
74,2020-06-02,8
75,2020-06-03,8
76,2020-06-04,8
77,2020-06-05,8
78,2020-06-06,8
79,2020-06-07,8
80,2020-06-08,8
81,2020-06-09,8
82,2020-06-10,8
83,2020-06-11,8
84,2020-06-12,8
85,2020-06-13,8
86,2020-06-14,8
87,2020-06-15,8
88,2020-06-16,8
89,2020-06-17,8
90,2020-06-18,8
91,2020-06-19,8
92,2020-06-20,8
93,2020-06-21,8
94,2020-06-22,9
95,2020-06-23,9
96,2020-06-24,10
97,2020-06-25,10
98,2020-06-26,11
99,2020-06-27,11
100,2020-06-28,11
101,2020-06-29,11
102,2020-06-30,11
103,2020-07-01,11
104,2020-07-02,11
105,2020-07-03,11
106,2020-07-04,11
107,2020-07-05,11
108,2020-07-06,11
109,2020-07-07,11
110,2020-07-08,11
111,2020-07-09,11
112,2020-07-10,11
113,2020-07-11,11
114,2020-07-12,11
115,2020-07-13,11
116,2020-07-14,11
117,2020-07-15,11
118,2020-07-16,11
119,2020-07-17,15
120,2020-07-18,16
121,2020-07-19,16
122,2020-07-20,19
123,2020-07-21,27
124,2020-07-22,30
125,2020-07-23,31
126,2020-07-24,32
127,2020-07-25,39
128,2020-07-26,62
129,2020-07-27,62
130,2020-07-28,63
131,2020-07-29,63
132,2020-07-30,63
133,2020-07-31,72
134,2020-08-01,91
135,2020-08-02,110
136,2020-08-03,111
137,2020-08-04,114
138,2020-08-05,153
139,2020-08-06,163
140,2020-08-07,188
141,2020-08-08,188
142,2020-08-09,214
143,2020-08-10,214
144,2020-08-11,214
145,2020-08-12,287
146,2020-08-13,271
147,2020-08-14,271
148,2020-08-15,271
149,2020-08-16,323
150,2020-08-17,333
151,2020-08-18,347
152,2020-08-19,347
153,2020-08-20,361
154,2020-08-21,361
155,2020-08-22,361
156,2020-08-23,401
157,2020-08-24,401
158,2020-08-25,419
159,2020-08-26,419
160,2020-08-27,424
161,2020-08-28,453
162,2020-08-29,453
163,2020-08-30,459
164,2020-08-31,459
165,2020-09-01,460
166,2020-09-02,471
167,2020-09-03,471
168,2020-09-04,479
169,2020-09-05,488
170,2020-09-06,497
171,2020-09-07,497
172,2020-09-08,503
173,2020-09-09,504
174,2020-09-10,507
175,2020-09-11,508
176,2020-09-12,508
177,2020-09-13,510
178,2020-09-14,511
179,2020-09-15,511
180,2020-09-16,516
181,2020-09-17,516
182,2020-09-18,516
183,2020-09-19,516
184,2020-09-20,517
185,2020-09-21,517
186,2020-09-22,527
187,2020-09-23,527
188,2020-09-24,531
189,2020-09-25,532
190,2020-09-26,532
191,2020-09-27,532
192,2020-09-28,532
193,2020-09-29,534
194,2020-09-30,534
195,2020-10-01,539
196,2020-10-02,539
197,2020-10-03,540
198,2020-10-04,540
199,2020-10-05,540
200,2020-10-06,541
201,2020-10-07,541
202,2020-10-08,549
203,2020-10-09,549
204,2020-10-10,549
205,2020-10-11,554
206,2020-10-12,565
207,2020-10-13,565
208,2020-10-14,578
209,2020-10-15,578
210,2020-10-16,578
211,2020-10-17,581
212,2020-10-18,581
213,2020-10-19,581
214,2020-10-20,581
215,2020-10-21,581
216,2020-10-22,583
217,2020-10-23,583
218,2020-10-24,583
219,2020-10-25,583
220,2020-10-26,588
221,2020-10-27,588
222,2020-10-28,588
223,2020-10-29,589
224,2020-10-30,589
225,2020-10-31,589
226,2020-11-01,589
227,2020-11-02,590
228,2020-11-03,597
229,2020-11-04,597
230,2020-11-05,597
231,2020-11-06,597
232,2020-11-07,597
233,2020-11-08,599
234,2020-11-09,599
235,2020-11-10,599
236,2020-11-11,599
237,2020-11-12,599
238,2020-11-13,600
239,2020-11-14,600
240,2020-11-15,602
241,2020-11-16,602
242,2020-11-17,602
243,2020-11-18,604
244,2020-11-19,604
245,2020-11-20,604
246,2020-11-21,604
247,2020-11-22,604
248,2020-11-23,630
249,2020-11-24,630
250,2020-11-25,645
251,2020-11-26,645
252,2020-11-27,645
253,2020-11-28,645
254,2020-11-29,645
255,2020-11-30,656
256,2020-12-01,669
257,2020-12-02,669
258,2020-12-03,671
259,2020-12-04,671
260,2020-12-05,671
261,2020-12-06,671
262,2020-12-07,671
263,2020-12-08,684
264,2020-12-09,684
265,2020-12-10,684
266,2020-12-11,720
267,2020-12-12,720
268,2020-12-13,725
269,2020-12-14,725
270,2020-12-15,729
271,2020-12-16,729
272,2020-12-17,760
273,2020-12-18,760
274,2020-12-19,760
275,2020-12-20,760
276,2020-12-21,761
277,2020-12-22,761
278,2020-12-23,761
279,2020-12-24,780
280,2020-12-25,780
281,2020-12-26,780
282,2020-12-27,780
283,2020-12-28,780
284,2020-12-29,780
285,2020-12-30,780
286,2020-12-31,780
287,2021-01-01,780
288,2021-01-02,780
289,2021-01-03,799
290,2021-01-04,799
291,2021-01-05,799
292,2021-01-06,799
293,2021-01-07,799
294,2021-01-08,811
295,2021-01-09,811
296,2021-01-10,811
297,2021-01-11,819
298,2021-01-12,823
299,2021-01-13,833
300,2021-01-14,834
301,2021-01-15,834
302,2021-01-16,834
303,2021-01-17,834
304,2021-01-18,834
305,2021-01-19,834
306,2021-01-20,835
307,2021-01-21,835
308,2021-01-22,835
309,2021-01-23,835
310,2021-01-24,835
311,2021-01-25,835
312,2021-01-26,850
313,2021-01-27,851
314,2021-01-28,851
