,Date,Cases
0,2020-03-08,1
1,2020-03-09,1
2,2020-03-10,1
3,2020-03-11,5
4,2020-03-12,5
5,2020-03-13,6
6,2020-03-14,6
7,2020-03-15,6
8,2020-03-16,8
9,2020-03-17,9
10,2020-03-18,11
11,2020-03-19,11
12,2020-03-20,13
13,2020-03-21,18
14,2020-03-22,22
15,2020-03-23,22
16,2020-03-24,27
17,2020-03-25,37
18,2020-03-26,41
19,2020-03-27,52
20,2020-03-28,56
21,2020-03-29,59
22,2020-03-30,64
23,2020-03-31,65
24,2020-04-01,69
25,2020-04-02,77
26,2020-04-03,92
27,2020-04-04,96
28,2020-04-05,104
29,2020-04-06,113
30,2020-04-07,115
31,2020-04-08,119
32,2020-04-09,124
33,2020-04-10,129
34,2020-04-11,133
35,2020-04-12,134
36,2020-04-13,147
37,2020-04-14,159
38,2020-04-15,161
39,2020-04-16,174
40,2020-04-17,199
41,2020-04-18,202
42,2020-04-19,206
43,2020-04-20,208
44,2020-04-21,208
45,2020-04-22,213
46,2020-04-23,213
47,2020-04-24,223
48,2020-04-25,228
49,2020-04-26,228
50,2020-04-27,228
51,2020-04-28,239
52,2020-04-29,239
53,2020-04-30,266
54,2020-05-01,333
55,2020-05-02,370
56,2020-05-03,396
57,2020-05-04,415
58,2020-05-05,431
59,2020-05-06,440
60,2020-05-07,462
61,2020-05-08,563
62,2020-05-09,689
63,2020-05-10,713
64,2020-05-11,724
65,2020-05-12,737
66,2020-05-13,740
67,2020-05-14,754
68,2020-05-15,759
69,2020-05-16,778
70,2020-05-17,786
71,2020-05-18,788
72,2020-05-19,829
73,2020-05-20,833
74,2020-05-21,836
75,2020-05-22,838
76,2020-05-23,850
77,2020-05-24,862
78,2020-05-25,865
79,2020-05-26,877
80,2020-05-27,884
81,2020-05-28,900
82,2020-05-29,917
83,2020-05-30,964
84,2020-05-31,986
85,2020-06-01,995
86,2020-06-02,1013
87,2020-06-03,1070
88,2020-06-04,1086
89,2020-06-05,1087
90,2020-06-06,1090
91,2020-06-07,1135
92,2020-06-08,1145
93,2020-06-09,1187
94,2020-06-10,1202
95,2020-06-11,1230
96,2020-06-12,1254
97,2020-06-13,1261
98,2020-06-14,1289
99,2020-06-15,1296
100,2020-06-16,1303
101,2020-06-17,1308
102,2020-06-18,1330
103,2020-06-19,1336
104,2020-06-20,1362
105,2020-06-21,1379
106,2020-06-22,1392
107,2020-06-23,1422
108,2020-06-24,1528
109,2020-06-25,1569
110,2020-06-26,1711
111,2020-06-27,1942
112,2020-06-28,2127
113,2020-06-29,2191
114,2020-06-30,2221
115,2020-07-01,2260
116,2020-07-02,2303
117,2020-07-03,2349
118,2020-07-04,2385
119,2020-07-05,2427
120,2020-07-06,2456
121,2020-07-07,2502
122,2020-07-08,2554
123,2020-07-09,2638
124,2020-07-10,2736
125,2020-07-11,2820
126,2020-07-12,2948
127,2020-07-13,2980
128,2020-07-14,3074
129,2020-07-15,3198
130,2020-07-16,3342
131,2020-07-17,3457
132,2020-07-18,3629
133,2020-07-19,3721
134,2020-07-20,3748
135,2020-07-21,3817
136,2020-07-22,4000
137,2020-07-23,4113
138,2020-07-24,4224
139,2020-07-25,4328
140,2020-07-26,4444
141,2020-07-27,4548
142,2020-07-28,4674
143,2020-07-29,4866
144,2020-07-30,5207
145,2020-07-31,5338
146,2020-08-01,5485
147,2020-08-02,5644
148,2020-08-03,5724
149,2020-08-04,5852
150,2020-08-05,6060
151,2020-08-06,6375
152,2020-08-07,6508
153,2020-08-08,6705
154,2020-08-09,6907
155,2020-08-10,7234
156,2020-08-11,7519
157,2020-08-12,8018
158,2020-08-13,8389
159,2020-08-14,9022
160,2020-08-15,9381
161,2020-08-16,9791
162,2020-08-17,10135
163,2020-08-18,10606
164,2020-08-19,11133
165,2020-08-20,11817
166,2020-08-21,12536
167,2020-08-22,12974
168,2020-08-23,13233
169,2020-08-24,13602
170,2020-08-25,14228
171,2020-08-26,14872
172,2020-08-27,15290
173,2020-08-28,15873
174,2020-08-29,16474
175,2020-08-30,17105
176,2020-08-31,17662
177,2020-09-01,18338
178,2020-09-02,19138
179,2020-09-03,19959
180,2020-09-04,20654
181,2020-09-05,21871
182,2020-09-06,22486
183,2020-09-07,23353
184,2020-09-08,24214
185,2020-09-09,25026
186,2020-09-10,25631
187,2020-09-11,26512
188,2020-09-12,27324
189,2020-09-13,27817
190,2020-09-14,28367
191,2020-09-15,29298
192,2020-09-16,30419
193,2020-09-17,31113
194,2020-09-18,32127
195,2020-09-19,33015
196,2020-09-20,33520
197,2020-09-21,34260
198,2020-09-22,34828
199,2020-09-23,35571
200,2020-09-24,36404
201,2020-09-25,37226
202,2020-09-26,37922
203,2020-09-27,38684
204,2020-09-28,39432
205,2020-09-29,40101
206,2020-09-30,40758
207,2020-10-01,41799
208,2020-10-02,42684
209,2020-10-03,43452
210,2020-10-04,44182
211,2020-10-05,44715
212,2020-10-06,45647
213,2020-10-07,46435
214,2020-10-08,47316
215,2020-10-09,48275
216,2020-10-10,48978
217,2020-10-11,49675
218,2020-10-12,50344
219,2020-10-13,51197
220,2020-10-14,51845
221,2020-10-15,52596
222,2020-10-16,53482
223,2020-10-17,54015
224,2020-10-18,54724
225,2020-10-19,55452
226,2020-10-20,56073
227,2020-10-21,56819
228,2020-10-22,57526
229,2020-10-23,58259
230,2020-10-24,59043
231,2020-10-25,59594
232,2020-10-26,60109
233,2020-10-27,60557
234,2020-10-28,61290
235,2020-10-29,62050
236,2020-10-30,62596
237,2020-10-31,63185
238,2020-11-01,63731
239,2020-11-02,64156
240,2020-11-03,64628
241,2020-11-04,65258
242,2020-11-05,65778
243,2020-11-06,66481
244,2020-11-07,66941
245,2020-11-08,67589
246,2020-11-09,67948
247,2020-11-10,68497
248,2020-11-11,69106
249,2020-11-12,69653
250,2020-11-13,70392
251,2020-11-14,71065
252,2020-11-15,71574
253,2020-11-16,72099
254,2020-11-17,72857
255,2020-11-18,73639
256,2020-11-19,74495
257,2020-11-20,75058
258,2020-11-21,75857
259,2020-11-22,76476
260,2020-11-23,77072
261,2020-11-24,77891
262,2020-11-25,78878
263,2020-11-26,79517
264,2020-11-27,80436
265,2020-11-28,81131
266,2020-11-29,81906
267,2020-11-30,82424
268,2020-12-01,83479
269,2020-12-02,84482
270,2020-12-03,85477
271,2020-12-04,86499
272,2020-12-05,87213
273,2020-12-06,87920
274,2020-12-07,88723
275,2020-12-08,89421
276,2020-12-09,90146
277,2020-12-10,90958
278,2020-12-11,92113
279,2020-12-12,92913
280,2020-12-13,93582
281,2020-12-14,94223
282,2020-12-15,95353
283,2020-12-16,96209
284,2020-12-17,97028
285,2020-12-18,98296
286,2020-12-19,99157
287,2020-12-20,99789
288,2020-12-21,100612
289,2020-12-22,101544
290,2020-12-23,102371
291,2020-12-24,103329
292,2020-12-25,103888
293,2020-12-26,104162
294,2020-12-27,104422
295,2020-12-28,105374
296,2020-12-29,106136
