,Date,Cases
0,2020-03-06,1
1,2020-03-07,1
2,2020-03-08,6
3,2020-03-09,7
4,2020-03-10,11
5,2020-03-11,11
6,2020-03-12,15
7,2020-03-13,28
8,2020-03-14,38
9,2020-03-15,43
10,2020-03-16,86
11,2020-03-17,117
12,2020-03-18,145
13,2020-03-19,234
14,2020-03-20,234
15,2020-03-21,318
16,2020-03-22,363
17,2020-03-23,395
18,2020-03-24,416
19,2020-03-25,480
20,2020-03-26,580
21,2020-03-27,635
22,2020-03-28,671
23,2020-03-29,852
24,2020-03-30,950
25,2020-03-31,1065
26,2020-04-01,1323
27,2020-04-02,1414
28,2020-04-03,1595
29,2020-04-04,1746
30,2020-04-05,2281
31,2020-04-06,2561
32,2020-04-07,2954
33,2020-04-08,4342
34,2020-04-09,5256
35,2020-04-10,5897
36,2020-04-11,6848
37,2020-04-12,7519
38,2020-04-13,9784
39,2020-04-14,10303
40,2020-04-15,11475
41,2020-04-16,12491
42,2020-04-17,13489
43,2020-04-18,14420
44,2020-04-19,15628
45,2020-04-20,16325
46,2020-04-21,17837
47,2020-04-22,19250
48,2020-04-23,20914
49,2020-04-24,21648
50,2020-04-25,25331
51,2020-04-26,27517
52,2020-04-27,28699
53,2020-04-28,31190
54,2020-04-29,33931
55,2020-04-30,36976
56,2020-05-01,40459
57,2020-05-02,42534
58,2020-05-03,45928
59,2020-05-04,47372
60,2020-05-05,51189
61,2020-05-06,54817
62,2020-05-07,58526
63,2020-05-08,61847
64,2020-05-09,65015
65,2020-05-10,67307
66,2020-05-11,68822
67,2020-05-12,72059
68,2020-05-13,76306
69,2020-05-14,80604
70,2020-05-15,84495
71,2020-05-16,88541
72,2020-05-17,92273
73,2020-05-18,94933
74,2020-05-19,99483
75,2020-05-20,104020
76,2020-05-21,108769
77,2020-05-22,111698
78,2020-05-23,115754
79,2020-05-24,119959
80,2020-05-25,123979
81,2020-05-26,129751
82,2020-05-27,135905
83,2020-05-28,141779
84,2020-05-29,148285
85,2020-05-30,155671
86,2020-05-31,164476
87,2020-06-01,170039
88,2020-06-02,178165
89,2020-06-03,178914
90,2020-06-04,183198
91,2020-06-05,187400
92,2020-06-06,191758
93,2020-06-07,196515
94,2020-06-08,199696
95,2020-06-09,203736
96,2020-06-10,208823
97,2020-06-11,214788
98,2020-06-12,214788
99,2020-06-13,220749
100,2020-06-14,229736
101,2020-06-15,232992
102,2020-06-16,237156
103,2020-06-17,240908
104,2020-06-18,244388
105,2020-06-19,247925
106,2020-06-20,251338
107,2020-06-21,254936
108,2020-06-22,257447
109,2020-06-23,260810
110,2020-06-24,264689
111,2020-06-25,268602
112,2020-06-26,272364
113,2020-06-27,275989
114,2020-06-28,279419
115,2020-06-29,282365
116,2020-06-30,285213
117,2020-07-01,288477
118,2020-07-02,292004
119,2020-07-03,295599
120,2020-07-04,299080
121,2020-07-05,302718
122,2020-07-06,305703
123,2020-07-07,309278
124,2020-07-08,312911
125,2020-07-09,316448
126,2020-07-10,319646
127,2020-07-11,322710
128,2020-07-12,326326
129,2020-07-13,330123
130,2020-07-14,333867
131,2020-07-15,337751
132,2020-07-16,341586
133,2020-07-17,345537
134,2020-07-18,349500
135,2020-07-19,353590
136,2020-07-20,357681
137,2020-07-21,362087
138,2020-07-22,366550
139,2020-07-23,371096
140,2020-07-24,375961
141,2020-07-25,375961
142,2020-07-26,375961
143,2020-07-27,389717
