,Date,Cases
0,2020-01-30,1
1,2020-01-31,1
2,2020-02-01,1
3,2020-02-02,2
4,2020-02-03,2
5,2020-02-04,2
6,2020-02-05,2
7,2020-02-06,2
8,2020-02-07,3
9,2020-02-08,3
10,2020-02-09,3
11,2020-02-10,3
12,2020-02-11,3
13,2020-02-12,3
14,2020-02-13,3
15,2020-02-14,3
16,2020-02-15,3
17,2020-02-16,3
18,2020-02-17,3
19,2020-02-18,3
20,2020-02-19,3
21,2020-02-20,3
22,2020-02-21,3
23,2020-02-22,3
24,2020-02-23,3
25,2020-02-24,3
26,2020-02-25,3
27,2020-02-26,3
28,2020-02-27,3
29,2020-02-28,3
30,2020-02-29,3
31,2020-03-01,3
32,2020-03-02,3
33,2020-03-03,3
34,2020-03-04,3
35,2020-03-05,3
36,2020-03-06,5
37,2020-03-07,6
38,2020-03-08,10
39,2020-03-09,20
40,2020-03-10,33
41,2020-03-11,49
42,2020-03-12,52
43,2020-03-13,64
44,2020-03-14,111
45,2020-03-15,140
46,2020-03-16,142
47,2020-03-17,187
48,2020-03-18,202
49,2020-03-19,217
50,2020-03-20,230
51,2020-03-21,307
52,2020-03-22,380
53,2020-03-23,462
54,2020-03-24,552
55,2020-03-25,636
56,2020-03-26,707
57,2020-03-27,803
58,2020-03-28,1075
59,2020-03-29,1418
60,2020-03-30,1546
61,2020-03-31,2084
62,2020-04-01,2311
63,2020-04-02,2633
64,2020-04-03,3018
65,2020-04-04,3094
66,2020-04-05,3246
67,2020-04-06,3660
68,2020-04-07,3764
69,2020-04-08,3870
70,2020-04-09,4076
71,2020-04-10,4195
72,2020-04-11,4428
73,2020-04-12,4648
74,2020-04-13,4932
75,2020-04-14,5223
76,2020-04-15,5453
77,2020-04-16,5660
78,2020-04-17,5878
79,2020-04-18,6087
80,2020-04-19,6259
81,2020-04-20,6459
82,2020-04-21,6599
83,2020-04-22,6710
84,2020-04-23,6981
85,2020-04-24,7192
86,2020-04-25,7294
87,2020-04-26,7579
88,2020-04-27,7777
89,2020-04-28,7958
90,2020-04-29,8212
91,2020-04-30,8488
92,2020-05-01,8772
93,2020-05-02,8928
94,2020-05-03,9223
95,2020-05-04,9485
96,2020-05-05,9684
97,2020-05-06,10004
98,2020-05-07,10343
99,2020-05-08,10463
100,2020-05-09,10610
101,2020-05-10,10794
102,2020-05-11,11086
103,2020-05-12,11350
104,2020-05-13,11618
105,2020-05-14,11876
106,2020-05-15,12091
107,2020-05-16,12305
108,2020-05-17,12513
109,2020-05-18,12718
110,2020-05-19,12942
111,2020-05-20,13221
112,2020-05-21,13434
113,2020-05-22,13597
114,2020-05-23,13777
115,2020-05-24,14035
116,2020-05-25,14319
117,2020-05-26,14669
118,2020-05-27,15049
119,2020-05-28,15588
120,2020-05-29,16634
121,2020-05-30,17224
122,2020-05-31,18086
123,2020-06-01,18638
124,2020-06-02,18997
125,2020-06-03,19748
126,2020-06-04,20382
127,2020-06-05,20626
128,2020-06-06,21340
129,2020-06-07,21895
130,2020-06-08,22474
131,2020-06-09,22992
