,Date,Cases
0,2020-03-04,1
1,2020-03-05,1
2,2020-03-06,5
3,2020-03-07,5
4,2020-03-08,11
5,2020-03-09,16
6,2020-03-10,22
7,2020-03-11,31
8,2020-03-12,49
9,2020-03-13,68
10,2020-03-14,103
11,2020-03-15,119
12,2020-03-16,177
13,2020-03-17,238
14,2020-03-18,251
15,2020-03-19,355
16,2020-03-20,425
17,2020-03-21,536
18,2020-03-22,634
19,2020-03-23,749
20,2020-03-24,901
21,2020-03-25,1051
22,2020-03-26,1221
23,2020-03-27,1389
24,2020-03-28,1638
25,2020-03-29,1862
26,2020-03-30,2055
27,2020-03-31,2311
28,2020-04-01,2554
29,2020-04-02,2946
30,2020-04-03,3383
31,2020-04-04,3627
32,2020-04-05,4102
33,2020-04-06,4413
34,2020-04-07,4848
35,2020-04-08,5205
36,2020-04-09,5575
37,2020-04-10,5955
38,2020-04-11,6356
39,2020-04-12,6674
40,2020-04-13,6934
41,2020-04-14,7202
42,2020-04-15,7582
43,2020-04-16,7918
44,2020-04-17,8379
45,2020-04-18,8742
46,2020-04-19,9287
47,2020-04-20,9593
48,2020-04-21,9856
49,2020-04-22,10169
50,2020-04-23,10511
51,2020-04-24,10892
52,2020-04-25,11273
53,2020-04-26,11617
54,2020-04-27,11902
55,2020-04-28,12218
56,2020-04-29,12640
57,2020-04-30,12877
58,2020-05-01,13105
59,2020-05-02,13375
60,2020-05-03,13693
61,2020-05-04,14006
62,2020-05-05,14431
63,2020-05-06,14740
64,2020-05-07,15047
65,2020-05-08,15366
66,2020-05-09,15651
67,2020-05-10,15996
68,2020-05-11,16326
69,2020-05-12,16921
70,2020-05-13,17204
71,2020-05-14,17615
72,2020-05-15,18016
73,2020-05-16,18257
74,2020-05-17,18529
75,2020-05-18,18885
76,2020-05-19,19268
77,2020-05-20,19739
78,2020-05-21,20143
79,2020-05-22,20619
80,2020-05-23,20931
81,2020-05-24,21326
82,2020-05-25,21631
83,2020-05-26,22074
84,2020-05-27,22473
85,2020-05-28,22825
86,2020-05-29,23155
87,2020-05-30,23571
88,2020-05-31,23786
89,2020-06-01,24165
90,2020-06-02,24395
91,2020-06-03,24687
92,2020-06-04,25048
93,2020-06-05,25410
94,2020-06-06,25986
95,2020-06-07,26561
96,2020-06-08,27160
97,2020-06-09,27560
98,2020-06-10,27842
99,2020-06-11,28201
100,2020-06-12,28577
101,2020-06-13,29017
102,2020-06-14,29392
103,2020-06-15,29788
104,2020-06-16,30195
105,2020-06-17,30701
106,2020-06-18,31015
107,2020-06-19,31316
108,2020-06-20,31620
109,2020-06-21,31931
110,2020-06-22,32227
111,2020-06-23,32527
112,2020-06-24,32821
113,2020-06-25,33119
114,2020-06-26,33395
115,2020-06-27,33714
116,2020-06-28,33907
117,2020-06-29,34154
118,2020-06-30,34393
119,2020-07-01,34775
120,2020-07-02,35146
121,2020-07-03,35405
122,2020-07-04,35719
123,2020-07-05,35950
124,2020-07-06,36155
125,2020-07-07,36412
126,2020-07-08,36689
127,2020-07-09,36951
128,2020-07-10,37216
129,2020-07-11,37521
130,2020-07-12,37891
131,2020-07-13,38190
132,2020-07-14,38457
133,2020-07-15,38721
134,2020-07-16,39054
135,2020-07-17,39407
136,2020-07-18,39746
137,2020-07-19,40104
138,2020-07-20,40383
139,2020-07-21,40782
140,2020-07-22,41162
141,2020-07-23,41580
142,2020-07-24,42038
143,2020-07-25,42622
144,2020-07-26,43065
145,2020-07-27,43402
146,2020-07-28,43904
147,2020-07-29,44416
148,2020-07-30,45031
149,2020-07-31,45688
150,2020-08-01,46346
151,2020-08-02,46894
152,2020-08-03,47469
153,2020-08-04,48149
154,2020-08-05,48789
155,2020-08-06,49515
156,2020-08-07,50324
157,2020-08-08,51167
158,2020-08-09,51791
159,2020-08-10,52410
160,2020-08-11,52961
161,2020-08-12,53676
162,2020-08-13,54487
163,2020-08-14,55319
164,2020-08-15,56090
165,2020-08-16,56684
166,2020-08-17,57279
167,2020-08-18,57876
168,2020-08-19,58611
169,2020-08-20,59378
170,2020-08-21,60281
171,2020-08-22,61181
172,2020-08-23,61762
173,2020-08-24,62310
174,2020-08-25,63073
175,2020-08-26,63802
176,2020-08-27,64689
177,2020-08-28,65480
178,2020-08-29,66239
179,2020-08-30,66870
180,2020-08-31,67372
181,2020-09-01,67922
182,2020-09-02,68517
183,2020-09-03,69129
184,2020-09-04,69820
185,2020-09-05,70387
186,2020-09-06,70824
187,2020-09-07,71126
188,2020-09-08,71526
189,2020-09-09,71947
190,2020-09-10,72453
191,2020-09-11,73047
192,2020-09-12,73650
193,2020-09-13,74152
194,2020-09-14,74529
195,2020-09-15,75134
196,2020-09-16,75734
197,2020-09-17,76571
198,2020-09-18,77328
199,2020-09-19,78330
200,2020-09-20,79240
201,2020-09-21,79988
202,2020-09-22,80699
203,2020-09-23,81673
204,2020-09-24,82809
205,2020-09-25,84396
206,2020-09-26,85980
207,2020-09-27,87330
208,2020-09-28,88636
209,2020-09-29,89962
210,2020-09-30,91514
211,2020-10-01,93481
212,2020-10-02,95773
213,2020-10-03,98140
214,2020-10-04,100074
215,2020-10-05,102080
216,2020-10-06,104316
217,2020-10-07,107319
218,2020-10-08,111599
219,2020-10-09,116338
220,2020-10-10,121638
221,2020-10-11,125816
222,2020-10-12,130210
223,2020-10-13,135278
224,2020-10-14,141804
225,2020-10-15,149903
226,2020-10-16,157608
227,2020-10-17,167230
228,2020-10-18,175766
229,2020-10-19,183248
230,2020-10-20,192539
231,2020-10-21,202579
232,2020-10-22,214686
233,2020-10-23,228318
234,2020-10-24,241946
235,2020-10-25,253688
236,2020-10-26,263929
237,2020-10-27,280229
238,2020-10-28,299049
239,2020-10-29,319205
240,2020-10-30,340834
241,2020-10-31,362731
242,2020-11-01,379902
243,2020-11-02,395480
244,2020-11-03,414844
245,2020-11-04,439536
246,2020-11-05,466679
247,2020-11-06,493765
248,2020-11-07,521640
249,2020-11-08,546425
250,2020-11-09,568138
251,2020-11-10,593592
252,2020-11-11,618813
253,2020-11-12,641496
254,2020-11-13,665547
255,2020-11-14,691118
256,2020-11-15,712972
257,2020-11-16,733788
258,2020-11-17,752940
259,2020-11-18,772823
260,2020-11-19,796798
261,2020-11-20,819262
262,2020-11-21,843475
263,2020-11-22,861331
264,2020-11-23,876333
265,2020-11-24,909066
266,2020-11-25,924422
267,2020-11-26,941112
268,2020-11-27,958416
269,2020-11-28,973593
270,2020-11-29,985075
271,2020-11-30,990811
272,2020-12-01,999924
273,2020-12-02,1013747
274,2020-12-03,1028610
