,Date,Cases
0,2020-03-02,2
1,2020-03-03,2
2,2020-03-04,5
3,2020-03-05,8
4,2020-03-06,13
5,2020-03-07,20
6,2020-03-08,30
7,2020-03-09,30
8,2020-03-10,41
9,2020-03-11,59
10,2020-03-12,59
11,2020-03-13,112
12,2020-03-14,169
13,2020-03-15,245
14,2020-03-16,331
15,2020-03-17,448
16,2020-03-18,448
17,2020-03-19,785
18,2020-03-20,1020
19,2020-03-21,1280
20,2020-03-22,1600
21,2020-03-23,2060
22,2020-03-24,2362
23,2020-03-25,2995
24,2020-03-26,3544
25,2020-03-27,4268
26,2020-03-28,5170
27,2020-03-29,5962
28,2020-03-30,6408
29,2020-03-31,7443
30,2020-04-01,8251
31,2020-04-02,9034
32,2020-04-03,9886
33,2020-04-04,10524
34,2020-04-05,11278
35,2020-04-06,11730
36,2020-04-07,12442
37,2020-04-08,13141
38,2020-04-09,13956
39,2020-04-10,15472
40,2020-04-11,15987
41,2020-04-12,16585
42,2020-04-13,16934
43,2020-04-14,17448
44,2020-04-15,18091
45,2020-04-16,18841
46,2020-04-17,19022
47,2020-04-18,19685
48,2020-04-19,20206
49,2020-04-20,20863
50,2020-04-21,21379
51,2020-04-22,21982
52,2020-04-23,22353
53,2020-04-24,22797
54,2020-04-25,23392
55,2020-04-26,23864
56,2020-04-27,24027
57,2020-04-28,24322
58,2020-04-29,24505
59,2020-04-30,25045
60,2020-05-01,25351
61,2020-05-02,25190
62,2020-05-03,25282
63,2020-05-04,25524
64,2020-05-05,25702
65,2020-05-06,26182
66,2020-05-07,26715
67,2020-05-08,27268
68,2020-05-09,27406
69,2020-05-10,27581
70,2020-05-11,27679
71,2020-05-12,27913
72,2020-05-13,28132
73,2020-05-14,28319
74,2020-05-15,28583
75,2020-05-16,28810
76,2020-05-17,29036
77,2020-05-18,29209
78,2020-05-19,29432
79,2020-05-20,29660
80,2020-05-21,29912
81,2020-05-22,30200
82,2020-05-23,30471
83,2020-05-24,30623
84,2020-05-25,30788
85,2020-05-26,31007
86,2020-05-27,31292
87,2020-05-28,31596
88,2020-05-29,31946
89,2020-05-30,32203
90,2020-05-31,32500
91,2020-06-01,32700
92,2020-06-02,32895
93,2020-06-03,33261
94,2020-06-04,33592
95,2020-06-05,33969
96,2020-06-06,34351
97,2020-06-07,34693
98,2020-06-08,34885
99,2020-06-09,35306
100,2020-06-10,35600
101,2020-06-11,35910
102,2020-06-12,36180
103,2020-06-13,36463
104,2020-06-14,36690
105,2020-06-15,37036
106,2020-06-16,37336
107,2020-06-17,37672
108,2020-06-18,38089
109,2020-06-19,38464
110,2020-06-20,38841
111,2020-06-21,39133
112,2020-06-22,39392
113,2020-06-23,39737
114,2020-06-24,40104
115,2020-06-25,40415
116,2020-06-26,40866
117,2020-06-27,41189
118,2020-06-28,41646
119,2020-06-29,41912
120,2020-06-30,42141
121,2020-07-01,42454
122,2020-07-02,42782
123,2020-07-03,43156
124,2020-07-04,43569
125,2020-07-05,43897
126,2020-07-06,44129
127,2020-07-07,44416
128,2020-07-08,44859
129,2020-07-09,45277
130,2020-07-10,45679
131,2020-07-11,46221
132,2020-07-12,46512
133,2020-07-13,46818
134,2020-07-14,47051
135,2020-07-15,47426
