,Date,Cases
0,2020-02-29,1
1,2020-03-01,3
2,2020-03-02,3
3,2020-03-03,7
4,2020-03-04,8
5,2020-03-05,8
6,2020-03-06,8
7,2020-03-07,8
8,2020-03-08,15
9,2020-03-09,18
10,2020-03-10,24
11,2020-03-11,262
12,2020-03-12,262
13,2020-03-13,320
14,2020-03-14,337
15,2020-03-15,401
16,2020-03-16,439
17,2020-03-17,439
18,2020-03-18,452
19,2020-03-19,460
20,2020-03-20,470
21,2020-03-21,481
22,2020-03-22,494
23,2020-03-23,501
24,2020-03-24,526
25,2020-03-25,537
26,2020-03-26,549
27,2020-03-27,562
28,2020-03-28,590
29,2020-03-29,634
30,2020-03-30,693
31,2020-03-31,781
32,2020-04-01,835
33,2020-04-02,949
34,2020-04-03,1075
35,2020-04-04,1325
36,2020-04-05,1604
37,2020-04-06,1832
38,2020-04-07,2057
39,2020-04-08,2210
40,2020-04-09,2376
41,2020-04-10,2512
42,2020-04-11,2728
43,2020-04-12,2979
44,2020-04-13,3231
45,2020-04-14,3428
46,2020-04-15,3711
47,2020-04-16,4103
48,2020-04-17,4663
49,2020-04-18,5008
50,2020-04-19,5448
51,2020-04-20,6015
52,2020-04-21,6533
53,2020-04-22,7141
54,2020-04-23,7764
55,2020-04-24,8525
56,2020-04-25,9358
57,2020-04-26,10287
58,2020-04-27,11244
59,2020-04-28,11921
60,2020-04-29,12564
61,2020-04-30,13409
62,2020-05-01,14096
63,2020-05-02,14872
64,2020-05-03,15551
65,2020-05-04,16191
66,2020-05-05,17142
67,2020-05-06,17972
68,2020-05-07,18890
69,2020-05-08,20201
70,2020-05-09,21331
71,2020-05-10,22520
72,2020-05-11,23623
73,2020-05-12,25149
74,2020-05-13,26539
75,2020-05-14,28272
76,2020-05-15,29425
77,2020-05-16,30972
78,2020-05-17,32604
79,2020-05-18,33969
80,2020-05-19,35606
81,2020-05-20,37097
82,2020-05-21,38651
83,2020-05-22,40481
84,2020-05-23,42213
85,2020-05-24,43714
86,2020-05-25,45465
87,2020-05-26,47207
88,2020-05-27,48947
89,2020-05-28,50914
90,2020-05-29,52907
91,2020-05-30,55262
92,2020-05-31,56910
93,2020-06-01,58433
94,2020-06-02,60259
95,2020-06-03,62160
96,2020-06-04,63741
97,2020-06-05,65495
98,2020-06-06,67195
99,2020-06-07,68790
100,2020-06-08,70158
101,2020-06-09,71879
102,2020-06-10,73595
103,2020-06-11,75071
104,2020-06-12,76588
105,2020-06-13,78416
106,2020-06-14,79602
107,2020-06-15,80876
108,2020-06-16,82077
109,2020-06-17,83174
110,2020-06-18,84441
111,2020-06-19,85462
112,2020-06-20,86488
113,2020-06-21,87369
114,2020-06-22,88403
115,2020-06-23,89579
116,2020-06-24,90778
117,2020-06-25,91838
118,2020-06-26,92784
119,2020-06-27,93663
120,2020-06-28,94413
121,2020-06-29,95106
122,2020-06-30,96088
123,2020-07-01,97003
124,2020-07-02,97897
125,2020-07-03,98653
126,2020-07-04,99183
127,2020-07-05,99799
128,2020-07-06,100345
129,2020-07-07,100945
130,2020-07-08,101553
131,2020-07-09,102110
132,2020-07-10,102630
133,2020-07-11,103128
134,2020-07-12,103598
135,2020-07-13,104016
136,2020-07-14,104533
137,2020-07-15,104983
138,2020-07-16,105477
139,2020-07-17,105898
140,2020-07-18,106308
141,2020-07-19,106648
142,2020-07-20,107037
143,2020-07-21,107430
144,2020-07-22,107871
145,2020-07-23,108244
146,2020-07-24,108638
147,2020-07-25,109036
148,2020-07-26,109305
149,2020-07-27,109597
150,2020-07-28,109880
151,2020-07-29,110153
152,2020-07-30,110460
153,2020-07-31,110695
154,2020-08-01,110911
155,2020-08-02,111107
156,2020-08-03,111322
157,2020-08-04,111538
158,2020-08-05,111805
159,2020-08-06,112092
160,2020-08-07,112383
161,2020-08-08,112650
