,Date,Cases
0,2020-02-26,1
1,2020-02-27,1
2,2020-02-28,3
3,2020-02-29,3
4,2020-03-01,3
5,2020-03-02,3
6,2020-03-03,3
7,2020-03-04,4
8,2020-03-05,6
9,2020-03-06,9
10,2020-03-07,9
11,2020-03-08,15
12,2020-03-09,15
13,2020-03-10,25
14,2020-03-11,45
15,2020-03-12,49
16,2020-03-13,89
17,2020-03-14,123
18,2020-03-15,131
19,2020-03-16,158
20,2020-03-17,184
21,2020-03-18,260
22,2020-03-19,277
23,2020-03-20,308
24,2020-03-21,367
25,2020-03-22,433
26,2020-03-23,576
27,2020-03-24,794
28,2020-03-25,906
29,2020-03-26,1029
30,2020-03-27,1292
31,2020-03-28,1452
32,2020-03-29,1815
33,2020-03-30,2109
34,2020-03-31,2245
35,2020-04-01,2460
36,2020-04-02,2738
37,2020-04-03,3183
38,2020-04-04,3613
39,2020-04-05,3864
40,2020-04-06,4057
41,2020-04-07,4417
42,2020-04-08,4761
43,2020-04-09,5202
44,2020-04-10,5467
45,2020-04-11,5990
46,2020-04-12,6300
47,2020-04-13,6633
48,2020-04-14,6879
49,2020-04-15,7216
50,2020-04-16,7707
51,2020-04-17,8067
52,2020-04-18,8418
53,2020-04-19,8746
54,2020-04-20,8936
55,2020-04-21,9242
56,2020-04-22,9710
57,2020-04-23,10096
58,2020-04-24,10417
59,2020-04-25,10635
60,2020-04-26,11036
61,2020-04-27,11339
62,2020-04-28,11616
63,2020-04-29,11978
64,2020-04-30,12240
65,2020-05-01,12567
66,2020-05-02,12732
67,2020-05-03,13163
68,2020-05-04,13512
69,2020-05-05,13837
70,2020-05-06,14107
71,2020-05-07,14499
72,2020-05-08,14811
73,2020-05-09,15131
74,2020-05-10,15362
75,2020-05-11,15588
76,2020-05-12,15778
77,2020-05-13,16002
78,2020-05-14,16247
79,2020-05-15,16437
80,2020-05-16,16704
81,2020-05-17,16871
82,2020-05-18,17036
83,2020-05-19,17191
84,2020-05-20,17387
85,2020-05-21,17585
86,2020-05-22,17712
87,2020-05-23,17857
88,2020-05-24,18070
89,2020-05-25,18283
90,2020-05-26,18429
91,2020-05-27,18594
92,2020-05-28,18791
93,2020-05-29,18982
94,2020-05-30,19133
95,2020-05-31,19257
96,2020-06-01,19398
97,2020-06-02,19517
98,2020-06-03,19669
99,2020-06-04,19907
100,2020-06-05,20103
101,2020-06-06,20290
102,2020-06-07,20479
103,2020-06-08,20604
104,2020-06-09,20749
105,2020-06-10,20945
106,2020-06-11,21182
107,2020-06-12,21404
108,2020-06-13,21679
109,2020-06-14,21999
110,2020-06-15,22165
111,2020-06-16,22415
112,2020-06-17,22760
113,2020-06-18,23080
114,2020-06-19,23400
115,2020-06-20,23730
116,2020-06-21,24045
117,2020-06-22,24291
118,2020-06-23,24505
119,2020-06-24,24826
120,2020-06-25,25286
121,2020-06-26,25697
122,2020-06-27,26022
123,2020-06-28,26313
124,2020-06-29,26582
125,2020-06-30,26970
126,2020-07-01,27296
127,2020-07-02,27746
128,2020-07-03,28166
129,2020-07-04,28582
130,2020-07-05,28973
131,2020-07-06,29223
132,2020-07-07,29620
133,2020-07-08,30175
134,2020-07-09,30789
135,2020-07-10,31381
136,2020-07-11,32079
137,2020-07-12,32535
138,2020-07-13,32948
139,2020-07-14,33585
140,2020-07-15,34226
141,2020-07-16,35003
142,2020-07-17,35802
143,2020-07-18,36691
144,2020-07-19,37458
145,2020-07-20,38139
146,2020-07-21,39133
147,2020-07-22,40163
148,2020-07-23,41275
149,2020-07-24,42394
150,2020-07-25,43678
151,2020-07-26,44798
152,2020-07-27,45902
153,2020-07-28,47053
154,2020-07-29,48235
155,2020-07-30,49591
156,2020-07-31,50886
157,2020-08-01,52111
158,2020-08-02,53186
159,2020-08-03,54009
160,2020-08-04,55241
161,2020-08-05,56550
162,2020-08-06,57895
163,2020-08-07,59273
164,2020-08-08,60623
165,2020-08-09,61768
166,2020-08-10,62547
167,2020-08-11,63762
168,2020-08-12,65177
169,2020-08-13,66631
170,2020-08-14,68046
171,2020-08-15,69374
172,2020-08-16,70461
173,2020-08-17,71194
174,2020-08-18,72208
175,2020-08-19,73617
176,2020-08-20,74963
177,2020-08-21,76355
178,2020-08-22,77544
179,2020-08-23,78505
180,2020-08-24,79330
181,2020-08-25,80390
182,2020-08-26,81646
183,2020-08-27,83150
184,2020-08-28,84468
185,2020-08-29,85833
186,2020-08-30,86785
187,2020-08-31,87540
188,2020-09-01,88593
189,2020-09-02,89891
190,2020-09-03,91256
191,2020-09-04,92595
192,2020-09-05,93864
193,2020-09-06,95014
194,2020-09-07,95897
195,2020-09-08,97033
196,2020-09-09,98304
197,2020-09-10,99684
198,2020-09-11,101075
199,2020-09-12,102386
200,2020-09-13,103495
201,2020-09-14,104187
202,2020-09-15,105298
203,2020-09-16,107011
204,2020-09-17,108690
205,2020-09-18,110217
206,2020-09-19,111550
207,2020-09-20,112781
208,2020-09-21,113589
209,2020-09-22,114648
210,2020-09-23,116415
211,2020-09-24,118054
212,2020-09-25,119683
213,2020-09-26,121235
214,2020-09-27,122673
215,2020-09-28,123944
216,2020-09-29,125414
217,2020-09-30,127572
218,2020-10-01,129658
219,2020-10-02,132001
220,2020-10-03,134065
221,2020-10-04,135900
222,2020-10-05,137491
223,2020-10-06,139612
224,2020-10-07,142570
