,Date,Cases
0,2020-01-31,2
1,2020-02-01,2
2,2020-02-02,2
3,2020-02-03,2
4,2020-02-04,2
5,2020-02-05,2
6,2020-02-06,2
7,2020-02-07,2
8,2020-02-08,2
9,2020-02-09,2
10,2020-02-10,2
11,2020-02-11,2
12,2020-02-12,2
13,2020-02-13,2
14,2020-02-14,2
15,2020-02-15,2
16,2020-02-16,2
17,2020-02-17,2
18,2020-02-18,2
19,2020-02-19,2
20,2020-02-20,2
21,2020-02-21,2
22,2020-02-22,2
23,2020-02-23,2
24,2020-02-24,2
25,2020-02-25,2
26,2020-02-26,2
27,2020-02-27,2
28,2020-02-28,2
29,2020-02-29,2
30,2020-03-01,2
31,2020-03-02,3
32,2020-03-03,3
33,2020-03-04,3
34,2020-03-05,4
35,2020-03-06,13
36,2020-03-07,13
37,2020-03-08,17
38,2020-03-09,17
39,2020-03-10,20
40,2020-03-11,20
41,2020-03-12,28
42,2020-03-13,45
43,2020-03-14,59
44,2020-03-15,63
45,2020-03-16,90
46,2020-03-17,114
47,2020-03-18,147
48,2020-03-19,199
49,2020-03-20,253
50,2020-03-21,306
51,2020-03-22,367
52,2020-03-23,438
53,2020-03-24,495
54,2020-03-25,658
55,2020-03-26,840
56,2020-03-27,1036
57,2020-03-28,1264
58,2020-03-29,1534
59,2020-03-30,1836
60,2020-03-31,2337
61,2020-04-01,2777
62,2020-04-02,3548
63,2020-04-03,4149
64,2020-04-04,4731
65,2020-04-05,5389
66,2020-04-06,6343
67,2020-04-07,7497
68,2020-04-08,8672
69,2020-04-09,10131
70,2020-04-10,11917
71,2020-04-11,13584
72,2020-04-12,15770
73,2020-04-13,18328
74,2020-04-14,21102
75,2020-04-15,24490
76,2020-04-16,27938
77,2020-04-17,32008
78,2020-04-18,36793
79,2020-04-19,42853
80,2020-04-20,47121
81,2020-04-21,52763
82,2020-04-22,57999
83,2020-04-23,62773
84,2020-04-24,68622
85,2020-04-25,74588
86,2020-04-26,80949
87,2020-04-27,87147
88,2020-04-28,93558
89,2020-04-29,99399
90,2020-04-30,106498
91,2020-05-01,114431
92,2020-05-02,124054
93,2020-05-03,134687
94,2020-05-04,145268
95,2020-05-05,155370
96,2020-05-06,165929
97,2020-05-07,177160
98,2020-05-08,187859
99,2020-05-09,198676
100,2020-05-10,209688
101,2020-05-11,221344
102,2020-05-12,232243
103,2020-05-13,242271
104,2020-05-14,252245
105,2020-05-15,262843
106,2020-05-16,272043
107,2020-05-17,281752
108,2020-05-18,290678
109,2020-05-19,299941
110,2020-05-20,308705
111,2020-05-21,317554
112,2020-05-22,326448
113,2020-05-23,335882
114,2020-05-24,344481
115,2020-05-25,353427
116,2020-05-26,362342
117,2020-05-27,370680
118,2020-05-28,379051
119,2020-05-29,387623
120,2020-05-30,396575
121,2020-05-31,405843
122,2020-06-01,414328
123,2020-06-02,423186
124,2020-06-03,431715
125,2020-06-04,440538
126,2020-06-05,449256
127,2020-06-06,458102
128,2020-06-07,467073
129,2020-06-08,476043
130,2020-06-09,484630
131,2020-06-10,493023
132,2020-06-11,501800
133,2020-06-12,510761
134,2020-06-13,519458
135,2020-06-14,528267
136,2020-06-15,536484
137,2020-06-16,544725
138,2020-06-17,552549
139,2020-06-18,560321
140,2020-06-19,568292
141,2020-06-20,576162
142,2020-06-21,583879
143,2020-06-22,591465
144,2020-06-23,598878
145,2020-06-24,606043
146,2020-06-25,613148
147,2020-06-26,619936
148,2020-06-27,626779
149,2020-06-28,633563
150,2020-06-29,640246
151,2020-06-30,646929
152,2020-07-01,653479
153,2020-07-02,660231
154,2020-07-03,666941
155,2020-07-04,673564
156,2020-07-05,680283
157,2020-07-06,686852
158,2020-07-07,693215
159,2020-07-08,699749
160,2020-07-09,706240
161,2020-07-10,712863
162,2020-07-11,719449
163,2020-07-12,726036
164,2020-07-13,732547
165,2020-07-14,738787
166,2020-07-15,745197
167,2020-07-16,751612
168,2020-07-17,758001
169,2020-07-18,764215
170,2020-07-19,770311
171,2020-07-20,776212
172,2020-07-21,782040
173,2020-07-22,787890
174,2020-07-23,793720
175,2020-07-24,799499
176,2020-07-25,805332
177,2020-07-26,811073
178,2020-07-27,816680
179,2020-07-28,822060
180,2020-07-29,827509
181,2020-07-30,832993
182,2020-07-31,838461
183,2020-08-01,843890
184,2020-08-02,849277
185,2020-08-03,854641
186,2020-08-04,859762
187,2020-08-05,864948
188,2020-08-06,870187
189,2020-08-07,875378
190,2020-08-08,880563
191,2020-08-09,885718
192,2020-08-10,890799
193,2020-08-11,895691
194,2020-08-12,900745
195,2020-08-13,905762
196,2020-08-14,910778
197,2020-08-15,915808
198,2020-08-16,920719
